group,Report ISO,Partner ISO,year,Element,trade,gdp_pc,distance,country,Population.WB,Urban.population.pct.WB
Animals live nes (heads),AUS,AUS,1990,Export Quantity,0.0,23034.15158,1180.0,Australia,17065100.0,85.433
Animals live nes (heads),AUS,AUS,1990,Import Quantity,0.0,23034.15158,1180.0,Australia,17065100.0,85.433
Animals live nes (heads),AUS,AUS,1991,Export Quantity,0.0,22276.35852,1180.0,Australia,17284000.0,85.403
Animals live nes (heads),AUS,AUS,1991,Import Quantity,0.0,22276.35852,1180.0,Australia,17284000.0,85.403
Animals live nes (heads),AUS,AUS,1992,Export Quantity,0.0,21922.02316,1180.0,Australia,17495000.0,85.285
Animals live nes (heads),AUS,AUS,1992,Import Quantity,0.0,21922.02316,1180.0,Australia,17495000.0,85.285
Animals live nes (heads),AUS,AUS,1993,Export Quantity,0.0,23264.57737,1180.0,Australia,17667000.0,85.157
Animals live nes (heads),AUS,AUS,1993,Import Quantity,0.0,23264.57737,1180.0,Australia,17667000.0,85.157
Animals live nes (heads),AUS,AUS,1994,Export Quantity,0.0,24627.66384,1180.0,Australia,17855000.0,85.028
Animals live nes (heads),AUS,AUS,1994,Import Quantity,0.0,24627.66384,1180.0,Australia,17855000.0,85.028
Animals live nes (heads),AUS,AUS,1995,Export Quantity,0.0,25919.5158,1180.0,Australia,18072000.0,84.898
Animals live nes (heads),AUS,AUS,1995,Import Quantity,0.0,25919.5158,1180.0,Australia,18072000.0,84.898
Animals live nes (heads),AUS,AUS,1996,Export Quantity,0.0,27243.79006,1180.0,Australia,18311000.0,84.767
Animals live nes (heads),AUS,AUS,1996,Import Quantity,15.0,27243.79006,1180.0,Australia,18311000.0,84.767
Animals live nes (heads),AUS,AUS,1997,Export Quantity,0.0,28796.33496,1180.0,Australia,18517000.0,84.636
Animals live nes (heads),AUS,AUS,1997,Import Quantity,0.0,28796.33496,1180.0,Australia,18517000.0,84.636
Animals live nes (heads),AUS,AUS,1998,Export Quantity,0.0,30842.83475,1180.0,Australia,18711000.0,84.503
Animals live nes (heads),AUS,AUS,1998,Import Quantity,0.0,30842.83475,1180.0,Australia,18711000.0,84.503
Animals live nes (heads),AUS,AUS,1999,Export Quantity,0.0,33282.63602,1180.0,Australia,18926000.0,84.37
Animals live nes (heads),AUS,AUS,1999,Import Quantity,32.0,33282.63602,1180.0,Australia,18926000.0,84.37
Animals live nes (heads),AUS,AUS,2000,Export Quantity,2.0,35105.04282,1180.0,Australia,19153000.0,84.235
Animals live nes (heads),AUS,AUS,2000,Import Quantity,34.0,35105.04282,1180.0,Australia,19153000.0,84.235
Animals live nes (heads),AUS,AUS,2001,Export Quantity,2.0,35503.35413,1180.0,Australia,19413000.0,84.1
Animals live nes (heads),AUS,AUS,2001,Import Quantity,2.0,35503.35413,1180.0,Australia,19413000.0,84.1
Animals live nes (heads),AUS,AUS,2002,Export Quantity,1.0,37475.36584,1180.0,Australia,19651400.0,84.222
Animals live nes (heads),AUS,AUS,2002,Import Quantity,2.0,37475.36584,1180.0,Australia,19651400.0,84.222
Animals live nes (heads),AUS,AUS,2003,Export Quantity,0.0,38777.82096,1180.0,Australia,19895400.0,84.343
Animals live nes (heads),AUS,AUS,2003,Import Quantity,21.0,38777.82096,1180.0,Australia,19895400.0,84.343
Animals live nes (heads),AUS,AUS,2004,Export Quantity,5.0,41024.55795,1180.0,Australia,20127400.0,84.463
Animals live nes (heads),AUS,AUS,2004,Import Quantity,5.0,41024.55795,1180.0,Australia,20127400.0,84.463
Animals live nes (heads),AUS,AUS,2005,Export Quantity,1.0,42557.36905,1180.0,Australia,20394800.0,84.582
Animals live nes (heads),AUS,AUS,2005,Import Quantity,9.0,42557.36905,1180.0,Australia,20394800.0,84.582
Animals live nes (heads),AUS,AUS,2006,Export Quantity,0.0,43661.79289,1180.0,Australia,20697900.0,84.7
Animals live nes (heads),AUS,AUS,2006,Import Quantity,35.0,43661.79289,1180.0,Australia,20697900.0,84.7
Animals live nes (heads),AUS,AUS,2007,Export Quantity,2.0,46498.72916,1180.0,Australia,20827600.0,84.822
Animals live nes (heads),AUS,AUS,2007,Import Quantity,1057.0,46498.72916,1180.0,Australia,20827600.0,84.822
Animals live nes (heads),AUS,AUS,2008,Export Quantity,5.0,47999.7848,1180.0,Australia,21249200.0,84.943
Animals live nes (heads),AUS,AUS,2008,Import Quantity,178.0,47999.7848,1180.0,Australia,21249200.0,84.943
Animals live nes (heads),AUS,AUS,2009,Export Quantity,0.0,47863.04335,1180.0,Australia,21691700.0,85.063
Animals live nes (heads),AUS,AUS,2009,Import Quantity,103.0,47863.04335,1180.0,Australia,21691700.0,85.063
Animals live nes (heads),AUS,AUS,2010,Export Quantity,6.0,48335.2714,1180.0,Australia,22031750.0,85.182
Animals live nes (heads),AUS,AUS,2010,Import Quantity,1731.0,48335.2714,1180.0,Australia,22031750.0,85.182
Animals live nes (heads),AUS,AUS,2011,Export Quantity,0.0,49354.5507,1180.0,Australia,22340024.0,85.3
Animals live nes (heads),AUS,AUS,2011,Import Quantity,133.0,49354.5507,1180.0,Australia,22340024.0,85.3
Animals live nes (heads),AUS,AUS,2012,Export Quantity,0.0,51469.04552,1180.0,Australia,22733465.0,85.402
Animals live nes (heads),AUS,AUS,2012,Import Quantity,112.0,51469.04552,1180.0,Australia,22733465.0,85.402
Animals live nes (heads),AUS,AUS,2013,Export Quantity,0.0,52331.48408,1180.0,Australia,23128129.0,85.502
Animals live nes (heads),AUS,AUS,2013,Import Quantity,87.0,52331.48408,1180.0,Australia,23128129.0,85.502
Animals live nes (heads),AUS,AUS,2014,Export Quantity,0.0,53399.3261,1180.0,Australia,23475686.0,85.602
