...1,historical,fitted,year,Trend,Static,AgS1,AgS2,AgS3,AgS4
1,1367.0,1285.890402872004,1990,,94792.0,1367.0,1367.0,1367.0,1367.0
2,1669.0,1532.100504559907,1991,,94792.0,1669.0,1669.0,1669.0,1669.0
3,1659.0,1786.344469599921,1992,,94792.0,1659.0,1659.0,1659.0,1659.0
4,2148.0,1976.491916605746,1993,,94792.0,2148.0,2148.0,2148.0,2148.0
5,1646.0,2229.701579647727,1994,,94792.0,1646.0,1646.0,1646.0,1646.0
6,2442.0,2308.195098902668,1995,,94792.0,2442.0,2442.0,2442.0,2442.0
7,2137.0,2544.392797192329,1996,,94792.0,2137.0,2137.0,2137.0,2137.0
8,4420.0,2654.340134714773,1997,,94792.0,4420.0,4420.0,4420.0,4420.0
9,3150.0,3250.638335283958,1998,,94792.0,3150.0,3150.0,3150.0,3150.0
10,2947.0,3421.846584656822,1999,,94792.0,2947.0,2947.0,2947.0,2947.0
11,2944.0,3504.725897030248,2000,,94792.0,2944.0,2944.0,2944.0,2944.0
12,4415.0,3564.413574181776,2001,,94792.0,4415.0,4415.0,4415.0,4415.0
13,3136.0,3938.858373802141,2002,,94792.0,3136.0,3136.0,3136.0,3136.0
14,3762.0,3936.535404598284,2003,,94792.0,3762.0,3762.0,3762.0,3762.0
15,215369.0,4072.41281188118,2004,,94792.0,215369.0,215369.0,215369.0,215369.0
16,2696.0,51927.91585990708,2005,,94792.0,2696.0,2696.0,2696.0,2696.0
17,4582.0,40990.54553251221,2006,,94792.0,4582.0,4582.0,4582.0,4582.0
18,222541.0,32942.52733439978,2007,,94792.0,222541.0,222541.0,222541.0,222541.0
19,126996.0,75893.83358685824,2008,,94792.0,126996.0,126996.0,126996.0,126996.0
20,95629.0,87591.21048892694,2009,,94792.0,95629.0,95629.0,95629.0,95629.0
21,94792.0,89567.96512573457,2010,,94792.0,94792.0,94792.0,94792.0,94792.0
22,,90906.65100902489,2011,90906.65100902489,94792.0,216928.6785619768,173308.0257166782,90906.65100902489,94792.0
23,,70983.3357476367,2012,70983.3357476367,94792.0,197005.3633005886,153384.71045529,70983.3357476367,94792.0
24,,55712.67634848992,2013,55712.67634848992,94792.0,181734.7039014418,138114.0510561433,55712.67634848992,94792.0
25,,43928.12283711899,2014,43928.12283711899,94792.0,169950.1503900709,126329.4975447723,43928.12283711899,94792.0
26,,37221.74219457984,2015,37221.74219457984,94792.0,163243.7697475317,119623.1169022332,37221.74219457984,94792.0
27,,37361.24534607523,2016,37361.24534607523,94792.0,166552.4428823419,121834.8289237028,37361.24534607523,94792.0
28,,37497.95843454071,2017,37497.95843454071,94792.0,169783.0103580233,123994.5046608591,37497.95843454071,94792.0
29,,37631.93726123688,2018,37631.93726123688,94792.0,172940.6829529938,126105.5705733512,37631.93726123688,94792.0
30,,37763.23651139913,2019,37763.23651139913,94792.0,176030.1073968504,128171.083922833,37763.23651139913,94792.0
31,,37891.90977655814,2020,37891.90977655814,94792.0,179055.4488458605,130193.7867085134,37891.90977655814,94792.0
32,,38018.00957641396,2021,38018.00957641396,94792.0,182020.4584540625,132176.1498570959,38018.00957641396,94792.0
33,,38141.58738027267,2022,38141.58738027267,94792.0,184928.5292058101,134120.4097371369,38141.58738027267,94792.0
