...1,historical,fitted,year,Trend,Static,AgS1,AgS2,AgS3,AgS4
1,23802.0,27854.77811415624,1990,,4086.0,23802.0,23802.0,23802.0,23802.0
2,22086.0,25322.28860490966,1991,,4086.0,22086.0,22086.0,22086.0,22086.0
3,33816.0,23067.85591756952,1992,,4086.0,33816.0,33816.0,33816.0,33816.0
4,35991.0,29622.46063105994,1993,,4086.0,35991.0,35991.0,35991.0,35991.0
5,29672.0,34053.57009854999,1994,,4086.0,29672.0,29672.0,29672.0,29672.0
6,28844.0,31892.95525349286,1995,,4086.0,28844.0,28844.0,28844.0,28844.0
7,19980.0,30205.67970841437,1996,,4086.0,19980.0,19980.0,19980.0,19980.0
8,35014.0,23693.20944825207,1997,,4086.0,35014.0,35014.0,35014.0,35014.0
9,29029.0,30389.53367429366,1998,,4086.0,29029.0,29029.0,29029.0,29029.0
10,24989.0,29722.23631925497,1999,,4086.0,24989.0,24989.0,24989.0,24989.0
11,34668.0,26775.62073673953,2000,,4086.0,34668.0,34668.0,34668.0,34668.0
12,32570.0,31628.47376267805,2001,,4086.0,32570.0,32570.0,32570.0,32570.0
13,24336.0,32521.5562615434,2002,,4086.0,24336.0,24336.0,24336.0,24336.0
14,29308.0,27563.92231724624,2003,,4086.0,29308.0,29308.0,29308.0,29308.0
15,9518.0,28440.81842826869,2004,,4086.0,9518.0,9518.0,9518.0,9518.0
16,11642.0,16226.80525994845,2005,,4086.0,11642.0,11642.0,11642.0,11642.0
17,7395.0,12131.62257965399,2006,,4086.0,7395.0,7395.0,7395.0,7395.0
18,4426.0,7908.102440151657,2007,,4086.0,4426.0,4426.0,4426.0,4426.0
19,3324.0,4454.641898523918,2008,,4086.0,3324.0,3324.0,3324.0,3324.0
20,3908.0,2552.528603349659,2009,,4086.0,3908.0,3908.0,3908.0,3908.0
21,4086.0,2413.761347155105,2010,,4086.0,4086.0,4086.0,4086.0,4086.0
22,,2756.997832432619,2011,2756.997832432619,4086.0,15310.67367731787,10965.40526198422,2756.997832432619,4086.0
23,,1934.778345794832,2012,1934.778345794832,4086.0,14488.45419068008,10143.18577534643,1934.778345794832,4086.0
24,,2602.723849925088,2013,2602.723849925088,4086.0,15156.39969481034,10811.13127947668,2602.723849925088,4086.0
