...1,historical,fitted,year,Trend,Static,AgS1,AgS2,AgS3,AgS4
1,83.0,89.90538049460731,1990,,71.0,83.0,83.0,83.0,83.0
2,7.0,88.72592982173396,1991,,71.0,7.0,7.0,7.0,7.0
3,119.0,11.69897944882175,1992,,71.0,119.0,119.0,119.0,119.0
4,4.0,122.8468414118512,1993,,71.0,4.0,4.0,4.0,4.0
5,486.0,7.167240064539985,1994,,71.0,486.0,486.0,486.0,486.0
6,566.0,488.5803437596765,1995,,71.0,566.0,566.0,566.0,566.0
7,604.0,568.1550482785395,1996,,71.0,604.0,604.0,604.0,604.0
8,240.0,605.7739078615343,1997,,71.0,240.0,240.0,240.0,240.0
9,44.0,241.464986798922,1998,,71.0,44.0,44.0,44.0,44.0
10,79.0,45.17554444697106,1999,,71.0,79.0,79.0,79.0,79.0
11,10.0,79.9477152534657,2000,,71.0,10.0,10.0,10.0,10.0
12,6.0,10.78162403029475,2001,,71.0,6.0,6.0,6.0,6.0
13,21.0,6.635662807245999,2002,,71.0,21.0,21.0,21.0,21.0
14,4.0,21.52090580588692,2003,,71.0,4.0,4.0,4.0,4.0
15,10.0,4.428892168706823,2004,,71.0,10.0,10.0,10.0,10.0
16,15.0,10.35036486833213,2005,,71.0,15.0,15.0,15.0,15.0
17,2.0,15.28784509389531,2006,,71.0,2.0,2.0,2.0,2.0
18,1.0,2.236794666947379,2007,,71.0,1.0,1.0,1.0,1.0
19,1.0,1.193220030986845,2008,,71.0,1.0,1.0,1.0,1.0
20,23.0,1.158437437858131,2009,,71.0,23.0,23.0,23.0,23.0
21,71.0,23.12958850752434,2010,,71.0,71.0,71.0,71.0,71.0
22,,71.1072586804931,2011,71.1072586804931,71.0,336.4683966018049,244.6175805130441,71.1072586804931,71.0
23,,0.09320961002749845,2012,0.09320961002749845,71.0,265.4543475313393,173.6035314425785,0.09320961002749845,71.0
24,,0.0706451000693337,2013,0.0706451000693337,71.0,265.4317830213811,173.5809669326203,0.0706451000693337,71.0
25,,0.05795734435354594,2014,0.05795734435354594,71.0,265.4190952656654,173.5682791769045,0.05795734435354594,71.0
26,,44.04675857149564,2015,44.04675857149564,71.0,309.4078964928075,217.5570804040466,44.04675857149564,71.0
27,,44.08872900317267,2016,44.08872900317267,71.0,419.3626793854999,289.4671759614411,44.08872900317267,71.0
28,,44.12316539707199,2017,44.12316539707199,71.0,503.7469488657575,344.6550036920776,44.12316539707199,71.0
29,,44.15142017495739,2018,44.15142017495739,71.0,574.8917387009805,391.1838613166149,44.15142017495739,71.0
30,,44.17460298775968,2019,44.17460298775968,71.0,637.5740737658688,432.1776615988001,44.17460298775968,71.0
31,,44.19362429493842,2020,44.19362429493842,71.0,694.244249559761,469.2388817907682,44.19362429493842,71.0
32,,44.20923112098986,2021,44.20923112098986,71.0,746.3580730217511,503.3196814563386,44.20923112098986,71.0
33,,44.22203639336736,2022,44.22203639336736,71.0,794.8642300817253,535.0405851387404,44.22203639336736,71.0
34,,44.23254301400384,2023,44.23254301400384,71.0,840.4217810833399,564.8327033057084,44.23254301400384,71.0
35,,44.24116360979786,2024,44.24116360979786,71.0,883.5106534082012,593.0099864294507,44.24116360979786,71.0
36,,44.24823673772502,2025,44.24823673772502,71.0,924.493201462093,619.8094825072448,44.24823673772502,71.0
37,,44.25404018099847,2026,44.25404018099847,71.0,963.6509715729271,645.415380938354,44.25404018099847,71.0
38,,44.25880185845928,2027,44.25880185845928,71.0,1001.207885266893,669.9741750296372,44.25880185845928,71.0
39,,44.26270877564144,2028,44.26270877564144,71.0,1037.345512423477,693.604651673111,44.26270877564144,71.0
40,,44.26591436904712,2029,44.26591436904712,71.0,1072.213502684652,716.4047146199135,44.26591436904712,71.0
41,,44.26854453206398,2030,44.26854453206398,71.0,1105.936928749335,738.4561880882487,44.26854453206398,71.0
42,,44.27070255918091,2031,44.27070255918091,71.0,1138.621590553512,759.8282866917162,44.27070255918091,71.0
43,,44.27247320267621,2032,44.27247320267621,71.0,1170.357932512551,780.5801781905526,44.27247320267621,71.0
44,,44.27392600109698,2033,44.27392600109698,71.0,1201.223992928635,800.7629131575934,44.27392600109698,71.0
45,,44.27511801024902,2034,44.27511801024902,71.0,1231.28766272947,820.4209028334241,44.27511801024902,71.0
46,,44.27609604395158,2035,44.27609604395158,71.0,1260.608441505237,839.5930681128283,44.27609604395158,71.0
47,,44.27689851255822,2036,44.27689851255822,71.0,1289.238821183047,858.3137449172606,44.27689851255822,71.0
48,,44.27755693144805,2037,44.27755693144805,71.0,1317.225389524664,876.6134062553691,44.27755693144805,71.0
49,,44.27809715873032,2038,44.27809715873032,71.0,1344.609719815097,894.519244387506,44.27809715873032,71.0
50,,44.27854041077097,2039,44.27854041077097,71.0,1371.429095292484,912.0556448564807,44.27854041077097,71.0
51,,44.27890409542367,2040,44.27890409542367,71.0,1397.717104354316,929.244575960402,44.27890409542367,71.0
52,,44.27920249568917,2041,44.27920249568917,71.0,1423.504133641153,946.105911399427,44.27920249568917,71.0
53,,44.27944733065207,2042,44.27944733065207,71.0,1448.817779627479,962.6576995947137,44.27944733065207,71.0
54,,44.27964821572486,2043,44.27964821572486,71.0,1473.683194598124,978.9163900695554,44.27964821572486,71.0
55,,44.27981304027441,2044,44.27981304027441,71.0,1498.123379357107,994.8970249721124,44.27981304027441,71.0
56,,44.27994827746129,2045,44.27994827746129,71.0,1522.159432360631,1010.613402081968,44.27994827746129,71.0
57,,44.28005923846052,2046,44.28005923846052,71.0,1545.810762948665,1026.07821432276,44.28005923846052,71.0
58,,44.28015028104752,2047,44.28015028104752,71.0,1569.09527480176,1041.303169790348,44.28015028104752,71.0
59,,44.28022498074114,2048,44.28022498074114,71.0,1592.029524551331,1056.299095521733,44.28022498074114,71.0
60,,44.2802862712252,2049,44.2802862712252,71.0,1614.62885953581,1071.076027617579,44.2802862712252,71.0
61,,44.28033655956313,2050,44.28033655956313,71.0,1636.907537958512,1085.643289849089,44.28033655956313,71.0
