...1,historical,fitted,year,Trend,Static,AgS1,AgS2,AgS3,AgS4
1,27691.0,23546.59681254107,1990,,261919.0,27691.0,27691.0,27691.0,27691.0
2,45834.0,39785.42046793361,1991,,261919.0,45834.0,45834.0,45834.0,45834.0
3,79233.0,55625.87887073841,1992,,261919.0,79233.0,79233.0,79233.0,79233.0
4,66928.0,71079.35017295826,1993,,261919.0,66928.0,66928.0,66928.0,66928.0
5,112474.0,86150.79632438721,1994,,261919.0,112474.0,112474.0,112474.0,112474.0
6,58553.0,100855.4017672971,1995,,261919.0,58553.0,58553.0,58553.0,58553.0
7,121259.0,115192.2168181015,1996,,261919.0,121259.0,121259.0,121259.0,121259.0
8,127410.0,129181.8832865937,1997,,261919.0,127410.0,127410.0,127410.0,127410.0
9,139082.0,142827.4062202871,1998,,261919.0,139082.0,139082.0,139082.0,139082.0
10,229155.0,156137.7963710453,1999,,261919.0,229155.0,229155.0,229155.0,229155.0
11,259183.0,169129.2807139644,2000,,261919.0,259183.0,259183.0,259183.0,259183.0
12,289606.0,181803.9318870858,2001,,261919.0,289606.0,289606.0,289606.0,289606.0
13,329606.0,194169.6700819701,2002,,261919.0,329606.0,329606.0,329606.0,329606.0
14,95986.0,206235.1573095287,2003,,261919.0,95986.0,95986.0,95986.0,95986.0
15,245725.0,217980.0749380122,2004,,261919.0,245725.0,245725.0,245725.0,245725.0
16,150218.0,229450.2943375635,2005,,261919.0,150218.0,150218.0,150218.0,150218.0
17,247366.0,240628.214815358,2006,,261919.0,247366.0,247366.0,247366.0,247366.0
18,123817.0,251540.1912845413,2007,,261919.0,123817.0,123817.0,123817.0,123817.0
19,112477.0,262170.6870809933,2008,,261919.0,112477.0,112477.0,112477.0,112477.0
20,151203.0,272537.4921483758,2009,,261919.0,151203.0,151203.0,151203.0,151203.0
21,261919.0,282652.1066736604,2010,,261919.0,261919.0,261919.0,261919.0,261919.0
22,,292528.1880442817,2011,292528.1880442817,261919.0,436877.717567965,386913.2721610773,292528.1880442817,261919.0
23,,302169.6660878446,2012,302169.6660878446,261919.0,446519.1956115279,396554.7502046402,302169.6660878446,261919.0
24,,311577.5800252539,2013,311577.5800252539,261919.0,455927.1095489372,405962.6641420495,311577.5800252539,261919.0
25,,320751.4608764914,2014,320751.4608764914,261919.0,465100.9904001747,415136.544993287,320751.4608764914,261919.0
26,,329700.7431953551,2015,329700.7431953551,261919.0,474050.2727190384,424085.8273121506,329700.7431953551,261919.0
27,,338425.0845913407,2016,338425.0845913407,261919.0,482774.6148619006,432810.1691964927,338425.0845913407,261919.0
28,,346935.2900603274,2017,346935.2900603274,261919.0,491284.8211026904,441320.3751701342,346935.2900603274,261919.0
29,,355236.61549421,2018,355236.61549421,261919.0,499586.1473330848,449621.701124828,355236.61549421,261919.0
30,,363334.1877808438,2019,363334.1877808438,261919.0,507683.7204407081,457719.2739482779,363334.1877808438,261919.0
