...1,historical,fitted,year,Trend,Static,AgS1,AgS2,AgS3,AgS4
1,69374.0,57292.551472846,1990,,10478.0,69374.0,69374.0,69374.0,69374.0
2,68245.0,66352.39707074543,1991,,10478.0,68245.0,68245.0,68245.0,68245.0
3,53385.0,67923.16662729997,1992,,10478.0,53385.0,53385.0,53385.0,53385.0
4,55914.0,57454.07542024944,1993,,10478.0,55914.0,55914.0,55914.0,55914.0
5,14932.0,56448.96814088094,1994,,10478.0,14932.0,14932.0,14932.0,14932.0
6,74838.0,26217.62012253514,1995,,10478.0,74838.0,74838.0,74838.0,74838.0
7,61542.0,61808.40536676277,1996,,10478.0,61542.0,61542.0,61542.0,61542.0
8,63578.0,61675.85619283461,1997,,10478.0,63578.0,63578.0,63578.0,63578.0
9,60158.0,63114.95865548955,1998,,10478.0,60158.0,60158.0,60158.0,60158.0
10,68190.0,60994.76234900724,1999,,10478.0,68190.0,68190.0,68190.0,68190.0
11,60996.0,66282.41292646118,2000,,10478.0,60996.0,60996.0,60996.0,60996.0
12,62758.0,62446.50449819391,2001,,10478.0,62758.0,62758.0,62758.0,62758.0
13,34842.0,62694.35243025746,2002,,10478.0,34842.0,34842.0,34842.0,34842.0
14,11467.0,42365.1161089829,2003,,10478.0,11467.0,11467.0,11467.0,11467.0
15,7319.0,19806.46595633202,2004,,10478.0,7319.0,7319.0,7319.0,7319.0
16,7514.0,10692.58275681738,2005,,10478.0,7514.0,7514.0,7514.0,7514.0
17,6501.0,8376.454767706928,2006,,10478.0,6501.0,6501.0,6501.0,6501.0
18,6724.0,7010.932353619047,2007,,10478.0,6724.0,6724.0,6724.0,6724.0
19,9675.0,6804.810270959934,2008,,10478.0,9675.0,9675.0,9675.0,9675.0
20,11645.0,8904.184116148796,2009,,10478.0,11645.0,11645.0,11645.0,11645.0
21,10478.0,10908.63416995352,2010,,10478.0,10478.0,10478.0,10478.0,10478.0
22,,10596.07215603346,2011,10596.07215603346,10478.0,44144.59139717298,32532.26980778519,10596.07215603346,10478.0
23,,10659.69484655486,2012,10659.69484655486,10478.0,44208.21408769437,32595.89249830659,10659.69484655486,10478.0
24,,27612.63404625276,2013,27612.63404625276,10478.0,61161.15328739227,49548.83169800448,27612.63404625276,10478.0
25,,40559.05242713978,2014,40559.05242713978,10478.0,74107.5716682793,62495.25007889151,40559.05242713978,10478.0
26,,43197.08461526037,2015,43197.08461526037,10478.0,76745.60385639989,65133.28226701209,43197.08461526037,10478.0
27,,43199.26145196985,2016,43199.26145196985,10478.0,84745.2300236712,70364.71014649027,43199.26145196985,10478.0
28,,43201.00292133744,2017,43201.00292133744,10478.0,91436.97222223323,74740.8079691485,43201.00292133744,10478.0
29,,43202.39609683152,2018,43202.39609683152,10478.0,97307.95461546814,78580.11924437986,43202.39609683152,10478.0
30,,43203.51063722677,2019,43203.51063722677,10478.0,102601.8556630046,82042.00086408036,43203.51063722677,10478.0
31,,43204.40226954297,2020,43204.40226954297,10478.0,107461.3449544905,85219.75874780444,43204.40226954297,10478.0
32,,43205.11557539594,2021,43205.11557539594,10478.0,111978.4931668912,88173.61010661241,43205.11557539594,10478.0
33,,43205.68622007831,2022,43205.68622007831,10478.0,116216.8185262597,90945.09962115067,43205.68622007831,10478.0
34,,43206.14273582421,2023,43206.14273582421,10478.0,120222.3330520779,93564.32280985135,43206.14273582421,10478.0
35,,43206.50794842093,2024,43206.50794842093,10478.0,124029.6347451476,96053.90999028127,43206.50794842093,10478.0
36,,43206.8001184983,2025,43206.8001184983,10478.0,127665.5177210241,98431.38721355484,43206.8001184983,10478.0
37,,43207.0338545602,2026,43207.0338545602,10478.0,131151.234644725,100710.6559069077,43207.0338545602,10478.0
38,,43207.22084340972,2027,43207.22084340972,10478.0,134503.9797234356,102902.9628033325,43207.22084340972,10478.0
39,,43207.37043448933,2028,43207.37043448933,10478.0,137737.8973349064,105017.5596504993,43207.37043448933,10478.0
