...1,historical,fitted,year,Trend,Static,AgS1,AgS2,AgS3,AgS4
1,901136.9,907213.7873575145,1990,,1212113.5,901136.9,901136.9,901136.9,901136.9
2,930796.0,927839.9202421781,1991,,1212113.5,930796.0,930796.0,930796.0,930796.0
3,1002051.5,948191.515215746,1992,,1212113.5,1002051.5,1002051.5,1002051.5,1002051.5
4,987669.1,969348.3490058737,1993,,1212113.5,987669.1,987669.1,987669.1,987669.1
5,1009225.6,989889.1227284471,1994,,1212113.5,1009225.6,1009225.6,1009225.6,1009225.6
6,977226.0000000001,1010256.649221372,1995,,1212113.5,977226.0000000001,977226.0000000001,977226.0000000001,977226.0000000001
7,913545.1,1029231.177313477,1996,,1212113.5,913545.1,913545.1,913545.1,913545.1
8,1051679.7,1045527.924754117,1997,,1212113.5,1051679.7,1051679.7,1051679.7,1051679.7
9,1142839.3,1062965.89123723,1998,,1212113.5,1142839.3,1142839.3,1142839.3,1142839.3
10,1133328.3,1081832.628012626,1999,,1212113.5,1133328.3,1133328.3,1133328.3,1133328.3
11,1166720.2,1100598.750318859,2000,,1212113.5,1166720.2,1166720.2,1166720.2,1166720.2
12,1225576.3,1119929.636300427,2001,,1212113.5,1225576.3,1225576.3,1225576.3,1225576.3
13,1190025.0,1140560.967025593,2002,,1212113.5,1190025.0,1190025.0,1190025.0,1190025.0
14,1100635.8,1160714.234181439,2003,,1212113.5,1100635.8,1100635.8,1100635.8,1100635.8
15,1227298.9,1178507.983633338,2004,,1212113.5,1227298.9,1227298.9,1227298.9,1227298.9
16,1230395.5,1197762.713470203,2005,,1212113.5,1230395.5,1230395.5,1230395.5,1230395.5
17,1274972.0,1216828.603991529,2006,,1212113.5,1274972.0,1274972.0,1274972.0,1274972.0
18,1245134.6,1236484.695499547,2007,,1212113.5,1245134.6,1245134.6,1245134.6,1245134.6
19,1253442.5,1255281.940544115,2008,,1212113.5,1253442.5,1253442.5,1253442.5,1253442.5
20,1211084.2,1273561.624983682,2009,,1212113.5,1211084.2,1211084.2,1211084.2,1211084.2
21,1212113.5,1290051.281281353,2010,,1212113.5,1212113.5,1212113.5,1212113.5,1212113.5
22,,1305123.433397066,2011,1305123.433397066,1212113.5,1495984.439758158,1429920.737547976,1305123.433397066,1212113.5
23,,1316688.692469748,2012,1316688.692469748,1212113.5,1507549.69883084,1441485.996620659,1316688.692469748,1212113.5
24,,1328200.201686346,2013,1328200.201686346,1212113.5,1519061.208047438,1452997.505837257,1328200.201686346,1212113.5
25,,1343247.076082435,2014,1343247.076082435,1212113.5,1534108.082443528,1468044.380233346,1343247.076082435,1212113.5
26,,1364545.637281983,2015,1364545.637281983,1212113.5,1555406.643643076,1489342.941432894,1364545.637281983,1212113.5
27,,1381476.728813285,2016,1381476.728813285,1212113.5,1572388.811396945,1506307.429911032,1381476.728813285,1212113.5
28,,1398069.19851396,2017,1398069.19851396,1212113.5,1589093.871338097,1522973.518412913,1398069.19851396,1212113.5
29,,1414329.818820623,2018,1414329.818820623,1212113.5,1605550.533915361,1539362.323870315,1414329.818820623,1212113.5
30,,1430265.226721151,2019,1430265.226721151,1212113.5,1621785.831382852,1555493.819018907,1430265.226721151,1212113.5
31,,1445881.926463669,2020,1445881.926463669,1212113.5,1637825.093207687,1571386.81725589,1445881.926463669,1212113.5
32,,1461186.292211337,2021,1461186.292211337,1212113.5,1653691.911586377,1587058.951011294,1461186.292211337,1212113.5
33,,1476184.570644052,2022,1476184.570644052,1212113.5,1669408.103167419,1602526.647620272,1476184.570644052,1212113.5
34,,1490882.883508112,2023,1490882.883508112,1212113.5,1684993.672772455,1617805.10648416,1490882.883508112,1212113.5
35,,1505287.230114891,2024,1505287.230114891,1212113.5,1700466.784437408,1632908.281000179,1505287.230114891,1212113.5
36,,1519403.489789534,2025,1519403.489789534,1212113.5,1715843.744424901,1647848.868301432,1519403.489789534,1212113.5
37,,1533237.424270685,2026,1533237.424270685,1212113.5,1731138.999987645,1662638.309278952,1533237.424270685,1212113.5
38,,1546794.680062212,2027,1546794.680062212,1212113.5,1746365.156618692,1677286.80067506,1546794.680062212,1212113.5
39,,1560080.790737909,2028,1560080.790737909,1212113.5,1761533.015364471,1691803.320278776,1560080.790737909,1212113.5
40,,1573101.179200092,2029,1573101.179200092,1212113.5,1776651.630575953,1706195.665469063,1573101.179200092,1212113.5
