...1,historical,fitted,year,Trend,Static,AgS1,AgS2,AgS3,AgS4
1,99335.0,0.0,1990,,873236.0,99335.0,99335.0,99335.0,99335.0
2,120959.0,239211.0498950314,1991,,873236.0,120959.0,120959.0,120959.0,120959.0
3,147373.0,250542.8554637232,1992,,873236.0,147373.0,147373.0,147373.0,147373.0
4,212749.0,265976.5384683528,1993,,873236.0,212749.0,212749.0,212749.0,212749.0
5,302121.0,321132.116713204,1994,,873236.0,302121.0,302121.0,302121.0,302121.0
6,509649.0,401205.0307490715,1995,,873236.0,509649.0,509649.0,509649.0,509649.0
7,1161927.0,599772.9343581788,1996,,873236.0,1161927.0,1161927.0,1161927.0,1161927.0
8,1530575.0,1242282.783632453,1997,,873236.0,1530575.0,1530575.0,1530575.0,1530575.0
9,1003560.0,1605247.902196959,1998,,873236.0,1003560.0,1003560.0,1003560.0,1003560.0
10,1387186.0,1075995.77804933,1999,,873236.0,1387186.0,1387186.0,1387186.0,1387186.0
11,891366.0,1449422.418646639,2000,,873236.0,891366.0,891366.0,891366.0,891366.0
12,817090.0,952311.8080267537,2001,,873236.0,817090.0,817090.0,817090.0,817090.0
13,972340.0,871084.4544740128,2002,,873236.0,972340.0,972340.0,972340.0,972340.0
14,774226.0,1020709.832399722,2003,,873236.0,774226.0,774226.0,774226.0,774226.0
15,637152.0,820103.9303461871,2004,,873236.0,637152.0,637152.0,637152.0,637152.0
16,572799.0,678934.1422130442,2005,,873236.0,572799.0,572799.0,572799.0,572799.0
17,637012.0,610749.4491008028,2006,,873236.0,637012.0,637012.0,637012.0,637012.0
18,718988.0,671170.6671365973,2007,,873236.0,718988.0,718988.0,718988.0,718988.0
19,868510.0,750152.1506221719,2008,,873236.0,868510.0,868510.0,868510.0,868510.0
20,954143.0,896696.8717404294,2009,,873236.0,954143.0,954143.0,954143.0,954143.0
21,873236.0,980196.6714735937,2010,,873236.0,873236.0,873236.0,873236.0,873236.0
22,,897839.4932141466,2011,897839.4932141466,873236.0,1491364.176549084,1285924.423915437,897839.4932141466,873236.0
23,,647952.705566279,2012,647952.705566279,873236.0,1241477.388901217,1036037.63626757,647952.705566279,873236.0
24,,637616.4936126912,2013,637616.4936126912,873236.0,1231141.176947629,1025701.424313982,637616.4936126912,873236.0
25,,868211.2124457153,2014,868211.2124457153,873236.0,1461735.895780653,1256296.143147006,868211.2124457153,873236.0
26,,1745540.144536124,2015,1745540.144536124,873236.0,2339064.827871062,2133625.075237415,1745540.144536124,873236.0
27,,1761106.115598985,2016,1761106.115598985,873236.0,2598517.020973053,2308659.675384474,1761106.115598985,873236.0
28,,1775357.145587374,2017,1775357.145587374,873236.0,2800199.084205144,2445465.270650488,1775357.145587374,873236.0
29,,1788404.314627441,2018,1788404.314627441,873236.0,2971366.079161425,2561901.436654251,1788404.314627441,873236.0
30,,1800349.319311228,2019,1800349.319311228,873236.0,3122674.965636885,2664971.585626035,1800349.319311228,873236.0
31,,1811285.265374126,2020,1811285.265374126,873236.0,3259641.780575115,2758314.687426558,1811285.265374126,873236.0
32,,1821297.393410622,2021,1821297.393410622,873236.0,3385576.520160231,2844124.536994664,1821297.393410622,873236.0
33,,1830463.743284939,2022,1830463.743284939,873236.0,3502659.729991761,2923853.928801244,1830463.743284939,873236.0
34,,1838855.76241535,2023,1838855.76241535,873236.0,3612423.948853659,2998529.666557778,1838855.76241535,873236.0
35,,1846538.862673449,2024,1846538.862673449,873236.0,3715998.773613861,3068912.995303636,1846538.862673449,873236.0
36,,1853572.930239152,2025,1853572.930239152,873236.0,3814247.684956418,3135589.243422247,1853572.930239152,873236.0
37,,1860012.792385521,2026,1860012.792385521,873236.0,3907849.963193606,3199021.546082287,1860012.792385521,873236.0
38,,1865908.644831755,2027,1865908.644831755,873236.0,3997352.493085699,3259584.866510525,1865908.644831755,873236.0
39,,1871306.442995396,2028,1871306.442995396,873236.0,4083204.010523184,3317588.524119832,1871306.442995396,873236.0
40,,1876248.260193351,2029,1876248.260193351,873236.0,4165778.587311966,3373291.674370812,1876248.260193351,873236.0
41,,1880772.615583759,2030,1880772.615583759,873236.0,4245392.240962814,3426914.282841566,1880772.615583759,873236.0
42,,1884914.774404846,2031,1884914.774404846,873236.0,4322314.996268876,3478645.115792539,1884914.774404846,873236.0
43,,1888707.022850998,2032,1888707.022850998,873236.0,4396779.846408105,3528647.694660721,1888707.022850998,873236.0
44,,1892178.919728571,2033,1892178.919728571,873236.0,4468989.544755461,3577064.824093863,1892178.919728571,873236.0
45,,1895357.526852988,2034,1895357.526852988,873236.0,4539121.843872447,3624022.097290149,1895357.526852988,873236.0
46,,1898267.61998296,2035,1898267.61998296,873236.0,4607333.600262256,3669630.652965059,1898267.61998296,873236.0
47,,1900931.881935957,2036,1900931.881935957,873236.0,4673764.035569267,3713989.374579161,1900931.881935957,873236.0
48,,1903371.079390182,2037,1903371.079390182,873236.0,4738537.360165973,3757186.667006774,1903371.079390182,873236.0
49,,1905604.224751136,2038,1905604.224751136,873236.0,4801764.907690769,3799301.908262909,1905604.224751136,873236.0
50,,1907648.724344439,2039,1907648.724344439,873236.0,4863546.889470442,3840406.647953227,1907648.724344439,873236.0
51,,1909520.514090015,2040,1909520.514090015,873236.0,4923973.849897539,3880565.605855744,1909520.514090015,873236.0
52,,1911234.183715151,2041,1911234.183715151,873236.0,4983127.883920859,3919837.51098959,1911234.183715151,873236.0
53,,1912803.090474606,2042,1912803.090474606,873236.0,5041083.663364642,3958275.812051575,1912803.090474606,873236.0
54,,1914239.463264179,2043,1914239.463264179,873236.0,5097909.308172533,3995929.283129364,1914239.463264179,873236.0
55,,1915554.497939243,2044,1915554.497939243,873236.0,5153667.130764951,4032842.543403697,1915554.497939243,873236.0
56,,1916758.444581212,2045,1916758.444581212,873236.0,5208414.275741545,4069056.505633328,1916758.444581212,873236.0
57,,1917860.687392137,2046,1917860.687392137,873236.0,5262203.272623898,4104608.765228386,1917860.687392137,873236.0
58,,1918869.817840186,2047,1918869.817840186,873236.0,5315082.515843865,4139533.939416098,1918869.817840186,873236.0
59,,1919793.701626124,2048,1919793.701626124,873236.0,5367096.683472952,4173863.964212669,1919793.701626124,873236.0
60,,1920639.539992776,2049,1920639.539992776,873236.0,5418287.104064958,4207628.355510146,1920639.539992776,873236.0
61,,1921413.925855362,2050,1921413.925855362,873236.0,5468692.079306876,4240854.43947519,1921413.925855362,873236.0
