...1,historical,fitted,year,Trend,Static,AgS1,AgS2,AgS3,AgS4
1,3042271.0,2587918.255757391,1990,,3561687.0,3042271.0,3042271.0,3042271.0,3042271.0
2,2733380.0,2686852.13711492,1991,,3561687.0,2733380.0,2733380.0,2733380.0,2733380.0
3,3023149.0,2620938.051675118,1992,,3561687.0,3023149.0,3023149.0,3023149.0,3023149.0
4,1794968.0,2735268.638258624,1993,,3561687.0,1794968.0,1794968.0,1794968.0,1794968.0
5,755938.0,2249077.802896464,1994,,3561687.0,755938.0,755938.0,755938.0,755938.0
6,568095.0,1520977.464137488,1995,,3561687.0,568095.0,568095.0,568095.0,568095.0
7,1135912.0,1049050.654859354,1996,,3561687.0,1135912.0,1135912.0,1135912.0,1135912.0
8,845956.0,1060157.236187916,1997,,3561687.0,845956.0,845956.0,845956.0,845956.0
9,2148950.0,939195.9608402681,1998,,3561687.0,2148950.0,2148950.0,2148950.0,2148950.0
10,1823686.0,1474576.628245861,1999,,3561687.0,1823686.0,1823686.0,1823686.0,1823686.0
11,3700858.0,1619731.63176303,2000,,3561687.0,3700858.0,3700858.0,3700858.0,3700858.0
12,3070368.0,2560593.100017903,2001,,3561687.0,3070368.0,3070368.0,3070368.0,3070368.0
13,4097832.0,2784625.570143444,2002,,3561687.0,4097832.0,4097832.0,4097832.0,4097832.0
14,1881112.0,3378274.741437958,2003,,3561687.0,1881112.0,1881112.0,1881112.0,1881112.0
15,4433980.0,2687101.310041524,2004,,3561687.0,4433980.0,4433980.0,4433980.0,4433980.0
16,3841484.0,3481908.013918946,2005,,3561687.0,3841484.0,3841484.0,3841484.0,3841484.0
17,4420938.0,3642730.633333477,2006,,3561687.0,4420938.0,4420938.0,4420938.0,4420938.0
18,2493178.0,3995929.396372832,2007,,3561687.0,2493178.0,2493178.0,2493178.0,2493178.0
19,4455846.0,3305723.295892998,2008,,3561687.0,4455846.0,4455846.0,4455846.0,4455846.0
20,4069314.0,3830206.416780865,2009,,3561687.0,4069314.0,4069314.0,4069314.0,4069314.0
21,3561687.0,3938127.542739543,2010,,3561687.0,3561687.0,3561687.0,3561687.0,3561687.0
22,,3764614.915781284,2011,3764614.915781284,3561687.0,5776736.056221155,5080270.212478602,3764614.915781284,3561687.0
23,,3450843.756752632,2012,3450843.756752632,3561687.0,5462964.897192502,4766499.05344995,3450843.756752632,3561687.0
24,,3923643.637331631,2013,3923643.637331631,3561687.0,5935764.777771503,5239298.93402895,3923643.637331631,3561687.0
25,,4145365.051118112,2014,4145365.051118112,3561687.0,6157486.191557983,5461020.347815431,4145365.051118112,3561687.0
26,,3432779.324466378,2015,3432779.324466378,3561687.0,5444900.464906249,4748434.621163697,3432779.324466378,3561687.0
27,,3432353.129234645,2016,3432353.129234645,3561687.0,5645231.131101391,4879276.281915454,3432353.129234645,3561687.0
28,,3432012.173049259,2017,3432012.173049259,3561687.0,5828913.335501293,4999261.6028478,3432012.173049259,3561687.0
29,,3431739.40810095,2018,3431739.40810095,3561687.0,5999526.036745564,5110724.838384883,3431739.40810095,3561687.0
30,,3431521.196142302,2019,3431521.196142302,3561687.0,6159522.414276338,5215265.315668905,3431521.196142302,3561687.0
31,,3431346.626575385,2020,3431346.626575385,3561687.0,6310670.976948988,5314035.623943832,3431346.626575385,3561687.0
32,,3431206.97092185,2021,3431206.97092185,3561687.0,6454296.658406217,5407899.069520028,3431206.97092185,3561687.0
33,,3431095.246399023,2022,3431095.246399023,3561687.0,6591422.663559876,5497522.273141792,3431095.246399023,3561687.0
34,,3431005.866780761,2023,3431005.866780761,3561687.0,6722858.836494232,5583432.829804237,3431005.866780761,3561687.0
35,,3430934.363086151,2024,3430934.363086151,3561687.0,6849259.294610765,5666056.897015541,3430934.363086151,3561687.0
36,,3430877.160130464,2025,3430877.160130464,3561687.0,6971161.45932862,5745744.638256639,3430877.160130464,3561687.0
37,,3430831.397765914,2026,3430831.397765914,3561687.0,7089013.333601236,5822787.996915823,3430831.397765914,3561687.0
38,,3430794.787874274,2027,3430794.787874274,3561687.0,7203193.082350906,5897433.449746843,3430794.787874274,3561687.0
39,,3430765.499960962,2028,3430765.499960962,3561687.0,7314023.415256644,5969891.371668499,3430765.499960962,3561687.0
40,,3430742.069630312,2029,3430742.069630312,3561687.0,7421782.365556961,6040343.051965024,3430742.069630312,3561687.0
41,,3430723.325365792,2030,3430723.325365792,3561687.0,7526711.511470759,6108946.044640323,3430723.325365792,3561687.0
42,,3430708.329954177,2031,3430708.329954177,3561687.0,7629022.345571131,6175838.312852488,3430708.329954177,3561687.0
43,,3430696.333624884,2032,3430696.333624884,3561687.0,7728901.27843152,6241141.484402049,3430696.333624884,3561687.0
44,,3430686.73656145,2033,3430686.73656145,3561687.0,7826513.618736973,6304963.441210741,3430686.73656145,3561687.0
45,,3430679.058910702,2034,3430679.058910702,3561687.0,7922006.775064087,6367400.402472002,3430679.058910702,3561687.0
46,,3430672.916790104,2035,3430672.916790104,3561687.0,8015512.857942661,6428538.617742935,3430672.916790104,3561687.0
47,,3430668.003093626,2036,3430668.003093626,3561687.0,8107150.814256868,6488455.755910464,3430668.003093626,3561687.0
48,,3430664.072136444,2037,3430664.072136444,3561687.0,8197028.192956172,6547222.054412626,3430664.072136444,3561687.0
49,,3430660.927370697,2038,3430660.927370697,3561687.0,8285242.617174935,6604901.277553841,3430660.927370697,3561687.0
50,,3430658.4115581,2039,3430658.4115581,3561687.0,8371883.020399312,6661551.521389399,3430658.4115581,3561687.0
51,,3430656.398908023,2040,3430656.398908023,3561687.0,8457030.691386253,6717225.894239976,3430656.398908023,3561687.0
52,,3430654.788787961,2041,3430654.788787961,3561687.0,8540760.162846347,6771973.095593086,3430654.788787961,3561687.0
53,,3430653.500691911,2042,3430653.500691911,3561687.0,8623139.971558824,6825837.911373952,3430653.500691911,3561687.0
54,,3430652.470215071,2043,3430652.470215071,3561687.0,8704233.311967706,6878861.639915753,3430652.470215071,3561687.0
55,,3430651.6458336,2044,3430651.6458336,3561687.0,8784098.600967476,6931082.460138487,3430651.6458336,3561687.0
56,,3430650.986328423,2045,3430650.986328423,3561687.0,8862789.968204506,6982535.751248132,3430650.986328423,3561687.0
57,,3430650.458724281,2046,3430650.458724281,3561687.0,8940357.683563579,7033254.37154169,3430650.458724281,3561687.0
58,,3430650.036640967,2047,3430650.036640967,3561687.0,9016848.531405495,7083268.90253731,3430650.036640967,3561687.0
59,,3430649.698974316,2048,3430649.698974316,3561687.0,9092306.139444737,7132607.863559283,3430649.698974316,3561687.0
60,,3430649.428840996,2049,3430649.428840996,3561687.0,9166771.268809963,7181297.90103315,3430649.428840996,3561687.0
61,,3430649.212734339,2050,3430649.212734339,3561687.0,9240282.07074251,7229363.956039649,3430649.212734339,3561687.0
