...1,historical,fitted,year,Trend,Static,AgS1,AgS2,AgS3,AgS4
1,63897.0,50678.14671981533,1990,,194466.0,63897.0,63897.0,63897.0,63897.0
2,76017.0,79656.02376716254,1991,,194466.0,76017.0,76017.0,76017.0,76017.0
3,87825.0,91552.19448713934,1992,,194466.0,87825.0,87825.0,87825.0,87825.0
4,102161.0,101195.1584363026,1993,,194466.0,102161.0,102161.0,102161.0,102161.0
5,138359.0,113632.4649510675,1994,,194466.0,138359.0,138359.0,138359.0,138359.0
6,150691.0,148881.5274987684,1995,,194466.0,150691.0,150691.0,150691.0,150691.0
7,156208.0,162952.1068804447,1996,,194466.0,156208.0,156208.0,156208.0,156208.0
8,179013.0,167275.1031751575,1997,,194466.0,179013.0,179013.0,179013.0,179013.0
9,217933.0,188171.0838722184,1998,,194466.0,217933.0,217933.0,217933.0,217933.0
10,245808.0,227693.5947288117,1999,,194466.0,245808.0,245808.0,245808.0,245808.0
11,267021.0,258110.9175531374,2000,,194466.0,267021.0,267021.0,267021.0,267021.0
12,239258.0,280153.5582694957,2001,,194466.0,239258.0,239258.0,239258.0,239258.0
13,266041.0,251650.0134708387,2002,,194466.0,266041.0,266041.0,266041.0,266041.0
14,273460.0,272418.6857064677,2003,,194466.0,273460.0,273460.0,273460.0,273460.0
15,315354.0,280821.5403158476,2004,,194466.0,315354.0,315354.0,315354.0,315354.0
16,280316.0,322307.8249587442,2005,,194466.0,280316.0,280316.0,280316.0,280316.0
17,273395.0,290187.4532102336,2006,,194466.0,273395.0,273395.0,273395.0,273395.0
18,257076.0,277147.7251728528,2007,,194466.0,257076.0,257076.0,257076.0,257076.0
19,212091.0,258294.463255961,2008,,194466.0,212091.0,212091.0,212091.0,212091.0
20,218689.0,210459.0039245029,2009,,194466.0,218689.0,218689.0,218689.0,218689.0
21,194466.0,211917.7959254303,2010,,194466.0,194466.0,194466.0,194466.0,194466.0
22,,189257.4734287731,2011,189257.4734287731,194466.0,232063.637662488,217246.919776457,189257.4734287731,194466.0
23,,167899.8449149671,2012,167899.8449149671,194466.0,210706.0091486821,195889.291262651,167899.8449149671,194466.0
24,,195239.4240253229,2013,195239.4240253229,194466.0,238045.5882590378,223228.8703730068,195239.4240253229,194466.0
25,,198722.389096938,2014,198722.389096938,194466.0,241528.5533306529,226711.8354446219,198722.389096938,194466.0
26,,185098.1934931505,2015,185098.1934931505,194466.0,227904.3577268654,213087.6398408344,185098.1934931505,194466.0
27,,182235.7195549554,2016,182235.7195549554,194466.0,243019.9490656874,221980.3909388948,182235.7195549554,194466.0
28,,179688.410186605,2017,179688.410186605,194466.0,257422.8744401991,230516.2443441507,179688.410186605,194466.0
29,,177421.5650875096,2018,177421.5650875096,194466.0,271601.8575034927,239002.7482833199,177421.5650875096,194466.0
