...1,historical,fitted,year,Trend,Static,AgS1,AgS2,AgS3,AgS4
1,729.0,406.5920796138928,1990,,6994.0,729.0,729.0,729.0,729.0
2,887.0,1369.691954782483,1991,,6994.0,887.0,887.0,887.0,887.0
3,1236.0,1481.466044388883,1992,,6994.0,1236.0,1236.0,1236.0,1236.0
4,2045.0,1777.261980838317,1993,,6994.0,2045.0,2045.0,2045.0,2045.0
5,4538.0,2534.32872497792,1994,,6994.0,4538.0,4538.0,4538.0,4538.0
6,4873.0,4965.736674270042,1995,,6994.0,4873.0,4873.0,4873.0,4873.0
7,6035.0,5285.728917591761,1996,,6994.0,6035.0,6035.0,6035.0,6035.0
8,6561.0,6403.009695150027,1997,,6994.0,6561.0,6561.0,6561.0,6561.0
9,5782.0,6903.40354559405,1998,,6994.0,5782.0,5782.0,5782.0,5782.0
10,6728.0,6109.199809337847,1999,,6994.0,6728.0,6728.0,6728.0,6728.0
11,6786.0,7008.678960870671,2000,,6994.0,6786.0,6786.0,6786.0,6786.0
12,5365.0,7051.471437873959,2001,,6994.0,5365.0,5365.0,5365.0,5365.0
13,5496.0,5624.25844897399,2002,,6994.0,5496.0,5496.0,5496.0,5496.0
14,5093.0,5717.091926402366,2003,,6994.0,5093.0,5093.0,5093.0,5093.0
15,5359.0,5300.785866800193,2004,,6994.0,5359.0,5359.0,5359.0,5359.0
16,5747.0,5541.890394504293,2005,,6994.0,5747.0,5747.0,5747.0,5747.0
17,6374.0,5912.515025163169,2006,,6994.0,6374.0,6374.0,6374.0,6374.0
18,6280.0,6522.277665732418,2007,,6994.0,6280.0,6280.0,6280.0,6280.0
19,6283.0,6423.022544277013,2008,,6994.0,6283.0,6283.0,6283.0,6283.0
20,6706.0,6412.827776161836,2009,,6994.0,6706.0,6706.0,6706.0,6706.0
21,6994.0,6819.977020056088,2010,,6994.0,6994.0,6994.0,6994.0,6994.0
22,,7099.278095661275,2011,7099.278095661275,6994.0,8591.35194888311,8074.892748577123,7099.278095661275,6994.0
23,,6888.531986545026,2012,6888.531986545026,6994.0,8380.60583976686,7864.146639460874,6888.531986545026,6994.0
24,,5655.555144700011,2013,5655.555144700011,6994.0,7147.628997921845,6631.169797615858,5655.555144700011,6994.0
25,,6748.390125310626,2014,6748.390125310626,6994.0,8240.46397853246,7724.004778226474,6748.390125310626,6994.0
26,,7853.244781599217,2015,7853.244781599217,6994.0,9345.318634821051,8828.859434515065,7853.244781599217,6994.0
