...1,historical,fitted,year,Trend,Static,AgS1,AgS2,AgS3,AgS4
1,153862.0,89722.65002944019,1990,,147524.0,153862.0,153862.0,153862.0,153862.0
2,159079.0,176764.5960953144,1991,,147524.0,159079.0,159079.0,159079.0,159079.0
3,159956.0,179751.6887858624,1992,,147524.0,159956.0,159956.0,159956.0,159956.0
4,163815.0,178609.113308817,1993,,147524.0,163815.0,163815.0,163815.0,163815.0
5,149896.0,180645.4597775905,1994,,147524.0,149896.0,149896.0,149896.0,149896.0
6,133670.0,165082.3501907472,1995,,147524.0,133670.0,133670.0,133670.0,133670.0
7,195213.0,147371.3136496823,1996,,147524.0,195213.0,195213.0,195213.0,195213.0
8,280177.0,207573.4196767631,1997,,147524.0,280177.0,280177.0,280177.0,280177.0
9,346193.0,291334.3403162141,1998,,147524.0,346193.0,346193.0,346193.0,346193.0
10,448537.0,356267.1195271998,1999,,147524.0,448537.0,448537.0,448537.0,448537.0
11,619309.0,457631.6814381051,2000,,147524.0,619309.0,619309.0,619309.0,619309.0
12,655010.0,627522.5587537616,2001,,147524.0,655010.0,655010.0,655010.0,655010.0
13,471362.0,662436.0301405144,2002,,147524.0,471362.0,471362.0,471362.0,471362.0
14,155864.0,478067.4107979276,2003,,147524.0,155864.0,155864.0,155864.0,155864.0
15,169315.0,161900.7008762442,2004,,147524.0,169315.0,169315.0,169315.0,169315.0
16,240045.0,174733.220161287,2005,,147524.0,240045.0,240045.0,240045.0,240045.0
17,161887.0,244934.296807107,2006,,147524.0,161887.0,161887.0,161887.0,161887.0
18,39824.0,166305.6838594591,2007,,147524.0,39824.0,39824.0,39824.0,39824.0
19,17739.0,43805.05141060193,2008,,147524.0,17739.0,17739.0,17739.0,17739.0
20,104305.0,21320.24224219734,2009,,147524.0,104305.0,104305.0,104305.0,104305.0
21,147524.0,107533.460139261,2010,,147524.0,147524.0,147524.0,147524.0,147524.0
22,,150444.3790100887,2011,150444.3790100887,147524.0,437747.6628779806,338301.8989090606,150444.3790100887,147524.0
23,,565471.8556981214,2012,565471.8556981214,147524.0,852775.1395660134,753329.3755970934,565471.8556981214,147524.0
24,,765274.9121571179,2013,765274.9121571179,147524.0,1052578.19602501,953132.4320560899,765274.9121571179,147524.0
25,,522959.5526590793,2014,522959.5526590793,147524.0,810262.8365269712,710817.0725580512,522959.5526590793,147524.0
26,,328156.874862271,2015,328156.874862271,147524.0,615460.1587301629,516014.394761243,328156.874862271,147524.0
27,,329910.3682686748,2016,329910.3682686748,147524.0,736216.5837069745,595579.7227020666,329910.3682686748,147524.0
28,,331492.6767315926,2017,331492.6767315926,147524.0,829126.8256980333,656878.1571316606,331492.6767315926,147524.0
29,,332920.5121957453,2018,332920.5121957453,147524.0,907556.816436732,708654.9956493365,332920.5121957453,147524.0
30,,334208.9551008237,2019,334208.9551008237,147524.0,976692.3907144694,754306.293236536,334208.9551008237,147524.0
31,,335371.6136573068,2020,335371.6136573068,147524.0,1039198.95527014,795579.5759626407,335371.6136573068,147524.0
32,,336420.7675729637,2021,336420.7675729637,147524.0,1096664.020436314,833517.1114786828,336420.7675729637,147524.0
33,,337367.4977480441,2022,337367.4977480441,147524.0,1150124.980208018,868801.0507472835,337367.4977480441,147524.0
34,,338221.8033089653,2023,338221.8033089653,147524.0,1200304.69204464,901907.5059050163,338221.8033089653,147524.0
35,,338992.7072165743,2024,338992.7072165743,147524.0,1247731.195622265,933184.8667017105,338992.7072165743,147524.0
36,,339688.3515643953,2025,339688.3515643953,147524.0,1292804.444023052,962897.4666659601,339688.3515643953,147524.0
37,,340316.083573377,2026,340316.083573377,147524.0,1335836.1819346,991251.6878239498,340316.083573377,147524.0
38,,340882.5331913959,2027,340882.5331913959,147524.0,1377075.112409316,1018412.443218824,340882.5331913959,147524.0
39,,341393.6831171011,2028,341393.6831171011,147524.0,1416723.493346788,1044514.053004934,341393.6831171011,147524.0
40,,341854.9319876754,2029,341854.9319876754,147524.0,1454948.486379392,1069667.686956774,341854.9319876754,147524.0
41,,342271.1513978856,2030,342271.1513978856,147524.0,1491890.157305743,1093966.615407537,342271.1513978856,147524.0
42,,342646.7373526437,2031,342646.7373526437,147524.0,1527667.264262886,1117490.011741022,342646.7373526437,147524.0
43,,342985.656696507,2032,342985.656696507,147524.0,1562381.540145236,1140305.768585749,342985.656696507,147524.0
44,,343291.4890104939,2033,343291.4890104939,147524.0,1596120.923393695,1162472.624816378,343291.4890104939,147524.0
45,,343567.4644187207,2034,343567.4644187207,147524.0,1628962.037572146,1184041.79994784,343567.4644187207,147524.0
46,,343816.4977041609,2035,343816.4977041609,147524.0,1660972.123544455,1205058.269326629,343816.4977041609,147524.0
47,,344041.2190938514,2036,344041.2190938514,147524.0,1692210.565646301,1225561.772696771,344041.2190938514,147524.0
48,,344244.0020386901,2037,344244.0020386901,147524.0,1722730.111914216,1245587.62168027,344244.0020386901,147524.0
49,,344426.9882812286,2038,344426.9882812286,147524.0,1752577.860459674,1265167.353409301,344426.9882812286,147524.0
50,,344592.1104762187,2039,344592.1104762187,147524.0,1781796.064765905,1284329.264911261,344592.1104762187,147524.0
51,,344741.1126028274,2040,344741.1126028274,147524.0,1810422.79711672,1303098.853966947,344741.1126028274,147524.0
52,,344875.5683841064,2041,344875.5683841064,147524.0,1838492.499677325,1321499.185818556,344875.5683841064,147524.0
53,,344996.8979082603,2042,344996.8979082603,147524.0,1866036.445725112,1339551.200505499,344996.8979082603,147524.0
54,,345106.3826272615,2043,345106.3826272615,147524.0,1893083.128370199,1357273.972226639,345106.3826272615,147524.0
55,,345205.178891224,2044,345205.178891224,147524.0,1919658.590268858,1374684.929613046,345205.178891224,147524.0
56,,345294.3301614836,2045,345294.3301614836,147524.0,1945786.704946376,1391800.043902499,345294.3301614836,147524.0
57,,345374.7780313737,2046,345374.7780313737,147524.0,1971489.418150814,1408633.990566907,345374.7780313737,147524.0
58,,345447.3721710985,2047,345447.3721710985,147524.0,1996786.955973261,1425200.288837094,345447.3721710985,147524.0
59,,345512.8793017356,2048,345512.8793017356,147524.0,2021698.005163473,1441511.422711084,345512.8793017356,147524.0
60,,345571.9912931523,2049,345571.9912931523,147524.0,2046239.870048134,1457578.946360403,345571.9912931523,147524.0
61,,345625.3324713609,2050,345625.3324713609,147524.0,2070428.609653765,1473413.576319265,345625.3324713609,147524.0
