...1,historical,fitted,year,Trend,Static,AgS1,AgS2,AgS3,AgS4
1,289.0,0.0,1990,,261.0,289.0,289.0,289.0,289.0
2,372.0,258.4631641180428,1991,,261.0,372.0,372.0,372.0,372.0
3,125.0,411.1323072582503,1992,,261.0,125.0,125.0,125.0,125.0
4,133.0,337.4489627063085,1993,,261.0,133.0,133.0,133.0,133.0
5,357.0,295.7324719359743,1994,,261.0,357.0,357.0,357.0,357.0
6,623.0,385.6875302340082,1995,,261.0,623.0,623.0,623.0,623.0
7,1209.0,561.0086384537625,1996,,261.0,1209.0,1209.0,1209.0,1209.0
8,1020.0,947.8927004968923,1997,,261.0,1020.0,1020.0,1020.0,1020.0
9,1239.0,1021.980339555857,1998,,261.0,1239.0,1239.0,1239.0,1239.0
10,1447.0,1168.022733138052,1999,,261.0,1447.0,1447.0,1447.0,1447.0
11,803.0,1342.610257910348,2000,,261.0,803.0,803.0,803.0,803.0
12,847.0,1077.436975874688,2001,,261.0,847.0,847.0,847.0,847.0
13,1001.0,973.6495484339431,2002,,261.0,1001.0,1001.0,1001.0,1001.0
14,820.0,1004.372263686552,2003,,261.0,820.0,820.0,820.0,820.0
15,1584.0,919.9710415530933,2004,,261.0,1584.0,1584.0,1584.0,1584.0
16,540.0,1285.384225624948,2005,,261.0,540.0,540.0,540.0,540.0
17,479.0,898.4758282272378,2006,,261.0,479.0,479.0,479.0,479.0
18,302.0,683.6363699482769,2007,,261.0,302.0,302.0,302.0,302.0
19,385.0,487.6789986980462,2008,,261.0,385.0,385.0,385.0,385.0
20,544.0,439.2056735159971,2009,,261.0,544.0,544.0,544.0,544.0
21,261.0,500.314856004529,2010,,261.0,261.0,261.0,261.0,261.0
22,,377.3868277523722,2011,377.3868277523722,261.0,1062.317641174022,825.2390144017302,377.3868277523722,261.0
23,,575.4264293898347,2012,575.4264293898347,261.0,1260.357242811484,1023.278616039193,575.4264293898347,261.0
24,,742.0051115523987,2013,742.0051115523987,261.0,1426.935924974048,1189.857298201757,742.0051115523987,261.0
25,,693.1741594025926,2014,693.1741594025926,261.0,1378.104972824242,1141.026346051951,693.1741594025926,261.0
26,,453.7038357078047,2015,453.7038357078047,261.0,1138.634649129454,901.5560223571626,453.7038357078047,261.0
27,,455.7463216896465,2016,455.7463216896465,261.0,1231.758403012482,963.1533483214052,455.7463216896465,261.0
28,,457.4897221065241,2017,457.4897221065241,261.0,1314.973640425668,1018.168319580395,457.4897221065241,261.0
29,,458.9778326936176,2018,458.9778326936176,261.0,1390.846461108579,1068.293977810103,458.9778326936176,261.0
30,,460.2480360834882,2019,460.2480360834882,261.0,1460.994626871117,1114.601060043913,460.2480360834882,261.0
31,,461.33224089033,2020,461.33224089033,261.0,1526.517857127106,1157.819678849133,461.33224089033,261.0
32,,462.2576832821177,2021,462.2576832821177,261.0,1588.204995246711,1198.475058576174,462.2576832821177,261.0
33,,463.0476111768413,2022,463.0476111768413,261.0,1646.645130915459,1236.960431188016,463.0476111768413,261.0
34,,463.7218682504309,2023,463.7218682504309,261.0,1702.292144327865,1273.579441585654,463.7218682504309,261.0
35,,464.2973924271593,2024,464.2973924271593,261.0,1755.504568408663,1308.572384658631,464.2973924271593,261.0
36,,464.7886413750354,2025,464.7886413750354,261.0,1806.571440078428,1342.133255797978,464.7886413750354,261.0
37,,465.2079556950022,2026,465.2079556950022,261.0,1855.729746743407,1374.421284255299,465.2079556950022,261.0
38,,465.5658689275687,2027,465.5658689275687,261.0,1903.176597091799,1405.568998502897,465.5658689275687,261.0
39,,465.8713721645113,2028,465.8713721645113,261.0,1949.077952155051,1435.688026759311,465.8713721645113,261.0
40,,466.1321399129209,2029,466.1321399129209,261.0,1993.575040088953,1464.873369568702,466.1321399129209,261.0
41,,466.3547228854981,2030,466.3547228854981,261.0,2036.789167249613,1493.206612325851,466.3547228854981,261.0
42,,466.5447125601548,2031,466.5447125601548,261.0,2078.825391773797,1520.758384261085,466.5447125601548,261.0
43,,466.7068816428039,2032,466.7068816428039,261.0,2119.775373069656,1547.590270241233,466.7068816428039,261.0
44,,466.8453039618839,2033,466.8453039618839,261.0,2159.719612999878,1573.756317700228,466.8453039618839,261.0
45,,466.9634568064737,2034,466.9634568064737,261.0,2198.729240512453,1599.304238969257,466.9634568064737,261.0
46,,467.0643082788188,2035,467.0643082788188,261.0,2236.867448489934,1624.276381017778,467.0643082788188,261.0
47,,467.1503918556426,2036,467.1503918556426,261.0,2274.19066211975,1648.710515218092,467.1503918556426,261.0
48,,467.2238700312849,2037,467.2238700312849,261.0,2310.749497500173,1672.640486173224,467.2238700312849,261.0
49,,467.2865886414419,2038,467.2865886414419,261.0,2346.589554564332,1696.096748985422,467.2865886414419,261.0
50,,467.340123232164,2039,467.340123232164,261.0,2381.752077841549,1719.10681735471,467.340123232164,261.0
51,,467.3858186389439,2040,467.3858186389439,261.0,2416.27451084025,1741.695639770104,467.3858186389439,261.0
52,,467.4248227701534,2041,467.4248227701534,261.0,2450.190964097857,1763.885917244625,467.4248227701534,261.0
53,,467.4581154435011,2042,467.4581154435011,261.0,2483.532612633905,1785.698373177229,467.4581154435011,261.0
54,,467.486532999905,2043,467.486532999905,261.0,2516.328035270643,1807.151983742353,467.486532999905,261.0
55,,467.5107893131046,2044,467.5107893131046,261.0,2548.603505775646,1828.264175529999,467.5107893131046,261.0
56,,467.5314937227897,2045,467.5314937227897,261.0,2580.383243837262,1849.050995857048,467.5314937227897,261.0
57,,467.5491663417437,2046,467.5491663417437,261.0,2611.68963236533,1869.527260150896,467.5491663417437,261.0
58,,467.5642511215297,2047,467.5642511215297,261.0,2642.543406413551,1889.706680001656,467.5642511215297,261.0
59,,467.5771270049389,2048,467.5771270049389,261.0,2672.963818070709,1909.601974838975,467.5771270049389,261.0
60,,467.5881174453644,2049,467.5881174453644,261.0,2702.968780909126,1929.224969676802,467.5881174453644,261.0
61,,467.597498532231,2050,467.597498532231,261.0,2732.574996968307,1948.58668095602,467.597498532231,261.0
