...1,historical,fitted,year,Trend,Static,AgS1,AgS2,AgS3,AgS4
1,92941.0,94532.04885262765,1990,,324952.0,92941.0,92941.0,92941.0,92941.0
2,19272.0,118784.6422063534,1991,,324952.0,19272.0,19272.0,19272.0,19272.0
3,158576.0,52971.11931915274,1992,,324952.0,158576.0,158576.0,158576.0,158576.0
4,251019.0,170886.4661127992,1993,,324952.0,251019.0,251019.0,251019.0,251019.0
5,289187.0,264378.7034865069,1994,,324952.0,289187.0,289187.0,289187.0,289187.0
6,265568.0,306573.6894419151,1995,,324952.0,265568.0,265568.0,265568.0,265568.0
7,292311.0,288076.9458872103,1996,,324952.0,292311.0,292311.0,292311.0,292311.0
8,273303.0,309264.2042958196,1997,,324952.0,273303.0,273303.0,273303.0,273303.0
9,311817.0,293049.919933817,1998,,324952.0,311817.0,311817.0,311817.0,311817.0
10,327251.0,325233.7345178429,1999,,324952.0,327251.0,327251.0,327251.0,327251.0
11,338922.0,341327.3812892818,2000,,324952.0,338922.0,338922.0,338922.0,338922.0
12,355410.0,352524.0740805222,2001,,324952.0,355410.0,355410.0,355410.0,355410.0
13,317634.0,367654.0272870398,2002,,324952.0,317634.0,317634.0,317634.0,317634.0
14,307685.0,334208.3391481254,2003,,324952.0,307685.0,307685.0,307685.0,307685.0
15,354022.0,321238.5155356483,2004,,324952.0,354022.0,354022.0,354022.0,354022.0
16,328407.0,361136.7273200539,2005,,324952.0,328407.0,328407.0,328407.0,328407.0
17,327944.0,341216.3387606647,2006,,324952.0,327944.0,327944.0,327944.0,327944.0
18,331470.0,338257.2076697689,2007,,324952.0,331470.0,331470.0,331470.0,331470.0
19,332043.0,340583.2742143078,2008,,324952.0,332043.0,332043.0,332043.0,332043.0
20,302791.0,340790.6288996807,2009,,324952.0,302791.0,302791.0,302791.0,302791.0
21,324952.0,313889.1275720489,2010,,324952.0,324952.0,324952.0,324952.0,324952.0
22,,330827.8196462078,2011,330827.8196462078,324952.0,416034.7382527608,386541.6290818872,330827.8196462078,324952.0
23,,320354.7123163427,2012,320354.7123163427,324952.0,405561.6309228956,376068.521752022,320354.7123163427,324952.0
24,,334954.6071606062,2013,334954.6071606062,324952.0,420161.5257671592,390668.4165962855,334954.6071606062,324952.0
25,,417203.042988587,2014,417203.042988587,324952.0,502409.9615951399,472916.8524242663,417203.042988587,324952.0
26,,450474.6369657583,2015,450474.6369657583,324952.0,535681.5555723113,506188.4464014376,450474.6369657583,324952.0
27,,455494.3622699652,2016,455494.3622699652,324952.0,570310.193142503,530568.3988158636,455494.3622699652,324952.0
28,,460196.6013749099,2017,460196.6013749099,324952.0,598421.6729229834,550577.1176686918,460196.6013749099,324952.0
29,,464601.4345600127,2018,464601.4345600127,324952.0,622812.1784477048,568049.8795898985,464601.4345600127,324952.0
30,,468727.6720727289,2019,468727.6720727289,324952.0,644670.903652829,583770.7675872452,468727.6720727289,324952.0
31,,472592.9344551789,2020,472592.9344551789,324952.0,664640.4716611874,598166.069424341,472592.9344551789,324952.0
32,,476213.7277903035,2021,476213.7277903035,324952.0,683117.794722634,611501.0254071001,476213.7277903035,324952.0
33,,479605.5141888694,2022,479605.5141888694,324952.0,700370.274178202,623955.8318544261,479605.5141888694,324952.0
34,,482782.7778183333,2023,482782.7778183333,324952.0,716589.4675768325,635660.754994593,482782.7778183333,324952.0
35,,485759.08675553,2024,485759.08675553,324952.0,731919.0251740089,646714.4190692485,485759.08675553,324952.0
36,,488547.1509273192,2025,488547.1509273192,324952.0,746470.5484250173,657194.1957000964,488547.1509273192,324952.0
37,,491158.8763866179,2026,491158.8763866179,324952.0,760333.2070550653,667162.5109398931,491158.8763866179,324952.0
38,,493605.4161555971,2027,493605.4161555971,324952.0,773579.8841285611,676670.8809158942,493605.4161555971,324952.0
39,,495897.2178531632,2028,495897.2178531632,324952.0,786271.2732590587,685762.6073369846,495897.2178531632,324952.0
40,,498044.068310108,2029,498044.068310108,324952.0,798458.7088619742,694474.6435393309,498044.068310108,324952.0
41,,500055.1353624532,2030,500055.1353624532,324952.0,810186.1807525137,702838.9262273068,500055.1353624532,324952.0
42,,501939.0070014608,2031,501939.0070014608,324952.0,821491.8056163506,710883.3511676488,501939.0070014608,324952.0
43,,503703.7280474936,2032,503703.7280474936,324952.0,832408.9261772521,718632.504590648,503703.7280474936,324952.0
44,,505356.8345043389,2033,505356.8345043389,324952.0,842966.9486301414,726108.2226494364,505356.8345043389,324952.0
45,,506905.3857406984,2034,506905.3857406984,324952.0,853191.9919359133,733330.0271101913,506905.3857406984,324952.0
46,,508355.9946362724,2035,508355.9946362724,324952.0,863107.3991847162,740315.4701492332,508355.9946362724,324952.0
47,,509714.8558211727,2036,509714.8558211727,324952.0,872734.1460339369,747080.4111909225,509714.8558211727,324952.0
48,,510987.7721292573,2037,510987.7721292573,324952.0,882091.1711097277,753639.2421020338,510987.7721292573,324952.0
49,,512180.1793783513,2038,512180.1793783513,324952.0,891195.64638133,760005.0725573304,512180.1793783513,324952.0
50,,513297.169583176,2039,513297.169583176,324952.0,900063.2007486499,766189.8842704317,513297.169583176,324952.0
51,,514343.5127001121,2040,514343.5127001121,324952.0,908708.1067197691,772204.6605823035,514343.5127001121,324952.0
52,,515323.676996657,2041,515323.676996657,324952.0,917143.4376444647,778059.4963213161,515323.676996657,324952.0
53,,516241.8481325599,2042,516241.8481325599,324952.0,925381.2012170148,783763.6917006874,516241.8481325599,324952.0
54,,517101.9470341184,2043,517101.9470341184,324952.0,933432.4536699676,789325.8331726983,517101.9470341184,324952.0
55,,517907.6466379671,2044,517907.6466379671,324952.0,941307.3981170382,794753.86352727,517907.6466379671,324952.0
56,,518662.3875758587,2045,518662.3875758587,324952.0,949015.469776269,800055.1430454473,518662.3875758587,324952.0
57,,519369.3928674197,2046,519369.3928674197,324952.0,956565.4102501892,805236.5031542631,519369.3928674197,324952.0
58,,520031.6816836214,2047,520031.6816836214,324952.0,963965.3326127267,810304.2937488041,520031.6816836214,324952.0
59,,520652.0822397437,2048,520652.0822397437,324952.0,971222.7787207451,815264.4251289188,520652.0822397437,324952.0
60,,521233.2438728878,2049,521233.2438728878,324952.0,978344.7699078544,820122.4053265691,521233.2438728878,324952.0
61,,521777.6483556139,2050,521777.6483556139,324952.0,985337.8520124455,824883.3734641282,521777.6483556139,324952.0
