...1,historical,fitted,year,Trend,Static,AgS1,AgS2,AgS3,AgS4
1,276004.0,379740.6376271252,1990,,520093.0,276004.0,276004.0,276004.0,276004.0
2,359329.0,397094.2934725556,1991,,520093.0,359329.0,359329.0,359329.0,359329.0
3,457800.0,413744.7869865997,1992,,520093.0,457800.0,457800.0,457800.0,457800.0
4,509673.0,429722.7154681609,1993,,520093.0,509673.0,509673.0,509673.0,509673.0
5,561715.0,445051.3124274413,1994,,520093.0,561715.0,561715.0,561715.0,561715.0
6,350934.0,459757.3483621493,1995,,520093.0,350934.0,350934.0,350934.0,350934.0
7,697531.0,473840.1984721915,1996,,520093.0,697531.0,697531.0,697531.0,697531.0
8,499658.0,487380.2172598095,1997,,520093.0,499658.0,499658.0,499658.0,499658.0
9,462592.0,500346.5575082042,1998,,520093.0,462592.0,462592.0,462592.0,462592.0
10,479287.0,512777.9419048622,1999,,520093.0,479287.0,479287.0,479287.0,479287.0
11,534362.0,524701.4620337202,2000,,520093.0,534362.0,534362.0,534362.0,534362.0
12,526713.0,536141.7836032799,2001,,520093.0,526713.0,526713.0,526713.0,526713.0
13,539445.0,547112.6095965537,2002,,520093.0,539445.0,539445.0,539445.0,539445.0
14,573189.0,557635.1378024851,2003,,520093.0,573189.0,573189.0,573189.0,573189.0
15,538191.0,567729.845958007,2004,,520093.0,538191.0,538191.0,538191.0,538191.0
16,461467.0,577407.484383888,2005,,520093.0,461467.0,461467.0,461467.0,461467.0
17,518342.0,586680.7848716358,2006,,520093.0,518342.0,518342.0,518342.0,518342.0
18,514135.0,595579.3224583378,2007,,520093.0,514135.0,514135.0,514135.0,514135.0
19,494119.0,604112.5393962257,2008,,520093.0,494119.0,494119.0,494119.0,494119.0
20,449797.0,612293.7700483617,2009,,520093.0,449797.0,449797.0,449797.0,449797.0
21,520093.0,620134.8893427259,2010,,520093.0,520093.0,520093.0,520093.0,520093.0
22,,627661.0812190701,2011,627661.0812190701,520093.0,830028.6299949279,759982.109051622,627661.0812190701,520093.0
23,,634891.1749397393,2012,634891.1749397393,520093.0,837258.7237155971,767212.2027722911,634891.1749397393,520093.0
24,,641837.1687690291,2013,641837.1687690291,520093.0,844204.7175448869,774158.196601581,641837.1687690291,520093.0
25,,648513.8110077592,2014,648513.8110077592,520093.0,850881.359783617,780834.838840311,648513.8110077592,520093.0
26,,654893.6712493468,2015,654893.6712493468,520093.0,857261.2200252046,787214.6990818987,654893.6712493468,520093.0
27,,661010.522912888,2016,661010.522912888,520093.0,863378.0727007776,793331.5514071719,661010.522912888,520093.0
28,,666877.3467156044,2017,666877.3467156044,520093.0,869244.8975157121,799198.3758717421,666877.3467156044,520093.0
29,,672504.3626096264,2018,672504.3626096264,520093.0,874871.9144221307,804825.3924277347,672504.3626096264,520093.0
30,,677901.3728039524,2019,677901.3728039524,520093.0,880268.9256290246,810222.4032841433,677901.3728039524,520093.0
31,,683077.778839806,2020,683077.778839806,520093.0,885445.3326776105,815398.8099821869,683077.778839806,520093.0
32,,688042.5979680321,2021,688042.5979680321,520093.0,890410.1528187264,820363.6297727061,688042.5979680321,520093.0
33,,692804.4788570639,2022,692804.4788570639,520093.0,895172.0347207992,825125.5113241298,692804.4788570639,520093.0
34,,697371.7166588221,2023,697371.7166588221,520093.0,899739.2735357435,829692.7497883748,697371.7166588221,520093.0
35,,701752.2674587918,2024,701752.2674587918,520093.0,904119.8253490382,834073.3012509221,701752.2674587918,520093.0
36,,705953.7621354492,2025,705953.7621354492,520093.0,908321.3210391542,838274.7965902445,705953.7621354492,520093.0
37,,709983.5196531801,2026,709983.5196531801,520093.0,912351.0795704718,842304.554770724,709983.5196531801,520093.0
38,,713848.5598118479,2027,713848.5598118479,520093.0,916216.1207428486,846169.5955922205,713848.5598118479,520093.0
39,,717555.6154752182,2028,717555.6154752182,520093.0,919923.177420046,849876.6519184967,717555.6154752182,520093.0
40,,721111.1442995457,2029,721111.1442995457,520093.0,923478.7072583134,853432.1814058039,721111.1442995457,520093.0
41,,724521.3399827499,2030,724521.3399827499,520093.0,926888.9039555659,856842.3777520587,724521.3399827499,520093.0
42,,727792.1430537796,2031,727792.1430537796,520093.0,930159.7080407478,860113.1814862068,727792.1430537796,520093.0
43,,730929.2512209583,2032,730929.2512209583,520093.0,933296.8172221782,863250.2903165692,730929.2512209583,520093.0
