...1,historical,fitted,year,Trend,Static,AgS1,AgS2,AgS3,AgS4
1,166518.0,197820.0564794182,1990,,216128.0,166518.0,166518.0,166518.0,166518.0
2,224712.0,177718.3173313868,1991,,216128.0,224712.0,224712.0,224712.0,224712.0
3,249625.0,234522.5976103966,1992,,216128.0,249625.0,249625.0,249625.0,249625.0
4,273342.0,258225.1552780886,1993,,216128.0,273342.0,273342.0,273342.0,273342.0
5,259463.0,280878.7490637934,1994,,216128.0,259463.0,259463.0,259463.0,259463.0
6,244352.0,266068.4269231241,1995,,216128.0,244352.0,244352.0,244352.0,244352.0
7,271096.0,250138.188137948,1996,,216128.0,271096.0,271096.0,271096.0,271096.0
8,320266.0,276163.8012134868,1997,,216128.0,320266.0,320266.0,320266.0,320266.0
9,321371.0,324707.7899856959,1998,,216128.0,321371.0,321371.0,321371.0,321371.0
10,321965.0,325266.8830998368,1999,,216128.0,321965.0,321965.0,321965.0,321965.0
11,341309.0,325378.3923999954,2000,,216128.0,341309.0,341309.0,341309.0,341309.0
12,351476.0,344299.3900698628,2001,,216128.0,351476.0,351476.0,351476.0,351476.0
13,352555.0,354097.5413291869,2002,,216128.0,352555.0,352555.0,352555.0,352555.0
14,313731.0,354852.6902931149,2003,,216128.0,313731.0,313731.0,313731.0,313731.0
15,281011.0,315744.6523812212,2004,,216128.0,281011.0,281011.0,281011.0,281011.0
16,303375.0,282772.2260533842,2005,,216128.0,303375.0,303375.0,303375.0,303375.0
17,295969.0,304914.9197806373,2006,,216128.0,295969.0,295969.0,295969.0,295969.0
18,281276.0,297320.2218818995,2007,,216128.0,281276.0,281276.0,281276.0,281276.0
19,260266.0,282459.3801548693,2008,,216128.0,260266.0,260266.0,260266.0,260266.0
20,277090.0,261301.7683734364,2009,,216128.0,277090.0,277090.0,277090.0,277090.0
21,216128.0,277995.4189601921,2010,,216128.0,216128.0,216128.0,216128.0,216128.0
22,,216923.4943591178,2011,216923.4943591178,216128.0,268605.058016243,250716.2524592747,216923.4943591178,216128.0
23,,212056.6745924951,2012,212056.6745924951,216128.0,263738.2382496204,245849.432692652,212056.6745924951,216128.0
24,,250601.1009041625,2013,250601.1009041625,216128.0,302282.6645612877,284393.8590043194,250601.1009041625,216128.0
25,,268530.3092868835,2014,268530.3092868835,216128.0,320211.8729440087,302323.0673870404,268530.3092868835,216128.0
26,,259408.9383855213,2015,259408.9383855213,216128.0,311090.5020426466,293201.6964856783,259408.9383855213,216128.0
27,,259818.9904370545,2016,259818.9904370545,216128.0,332907.306014024,307608.8712662493,259818.9904370545,216128.0
28,,260178.2855284222,2017,260178.2855284222,216128.0,349694.9310724546,318710.073940941,260178.2855284222,216128.0
29,,260493.1064449332,2018,260493.1064449332,216128.0,363860.9793615045,328081.725627818,260493.1064449332,216128.0
30,,260768.9582777417,2019,260768.9582777417,216128.0,376341.0975513724,336337.5183062656,260768.9582777417,216128.0
31,,261010.6646881896,2020,261010.6646881896,216128.0,387617.1319021856,343794.183949766,261010.6646881896,216128.0
