...1,historical,fitted,year,Trend,Static,AgS1,AgS2,AgS3,AgS4
1,9532.0,7286.482466776639,1990,,31022.0,9532.0,9532.0,9532.0,9532.0
2,10848.0,10211.08627748649,1991,,31022.0,10848.0,10848.0,10848.0,10848.0
3,17383.0,13076.35608990345,1992,,31022.0,17383.0,17383.0,17383.0,17383.0
4,15570.0,15891.40168547958,1993,,31022.0,15570.0,15570.0,15570.0,15570.0
5,14360.0,18645.79432729544,1994,,31022.0,14360.0,14360.0,14360.0,14360.0
6,16865.0,21337.77786251242,1995,,31022.0,16865.0,16865.0,16865.0,16865.0
7,23108.0,23971.75003684706,1996,,31022.0,23108.0,23108.0,23108.0,23108.0
8,33029.0,26555.43810371336,1997,,31022.0,33029.0,33029.0,33029.0,33029.0
9,33124.0,29099.69574277745,1998,,31022.0,33124.0,33124.0,33124.0,33124.0
10,36463.0,31594.52310841145,1999,,31022.0,36463.0,36463.0,36463.0,36463.0
11,36731.0,34044.55725729545,2000,,31022.0,36731.0,36731.0,36731.0,36731.0
12,36297.0,36446.08157328535,2001,,31022.0,36297.0,36297.0,36297.0,36297.0
13,60475.0,38796.95184098468,2002,,31022.0,60475.0,60475.0,60475.0,60475.0
14,43146.0,41139.3949561661,2003,,31022.0,43146.0,43146.0,43146.0,43146.0
15,51713.0,43419.51278377148,2004,,31022.0,51713.0,51713.0,51713.0,51713.0
16,55571.0,45666.97976907644,2005,,31022.0,55571.0,55571.0,55571.0,55571.0
17,51817.0,47879.78543289008,2006,,31022.0,51817.0,51817.0,51817.0,51817.0
18,44514.0,50046.62293127197,2007,,31022.0,44514.0,44514.0,44514.0,44514.0
19,43046.0,52156.85074584738,2008,,31022.0,43046.0,43046.0,43046.0,43046.0
20,72332.0,54213.56873258332,2009,,31022.0,72332.0,72332.0,72332.0,72332.0
21,31022.0,56269.2971372402,2010,,31022.0,31022.0,31022.0,31022.0,31022.0
22,,58223.20885091987,2011,58223.20885091987,31022.0,83747.56084201788,74912.68555137023,58223.20885091987,31022.0
23,,60113.94727780944,2012,60113.94727780944,31022.0,85638.29926890743,76803.42397825979,60113.94727780944,31022.0
24,,61960.68652917677,2013,61960.68652917677,31022.0,87485.03852027477,78650.16322962713,61960.68652917677,31022.0
25,,63825.14949396414,2014,63825.14949396414,31022.0,89349.50148506214,80514.62619441451,63825.14949396414,31022.0
26,,65685.26452266476,2015,65685.26452266476,31022.0,91209.61651376275,82374.74122311512,65685.26452266476,31022.0
27,,67482.0079167438,2016,67482.0079167438,31022.0,93006.40007653,84171.51088208762,67482.0079167438,31022.0
28,,69242.81644294126,2017,69242.81644294126,31022.0,94767.2971866021,85932.37733016738,69242.81644294126,31022.0
