...1,historical,fitted,year,Trend,Static,AgS1,AgS2,AgS3,AgS4
1,820.0,1093.429766268621,1990,,1775.0,820.0,820.0,820.0,820.0
2,854.0,1209.946713472865,1991,,1775.0,854.0,854.0,854.0,854.0
3,2006.0,1291.111507913844,1992,,1775.0,2006.0,2006.0,2006.0,2006.0
4,2348.0,1569.564632161235,1993,,1775.0,2348.0,2348.0,2348.0,2348.0
5,3724.0,1845.805435427318,1994,,1775.0,3724.0,3724.0,3724.0,3724.0
6,412.0,2328.625480987405,1995,,1775.0,412.0,412.0,412.0,412.0
7,1834.0,2041.034882792112,1996,,1775.0,1834.0,1834.0,1834.0,1834.0
8,1914.0,2084.651931515398,1997,,1775.0,1914.0,1914.0,1914.0,1914.0
9,4276.0,2126.17728641824,1998,,1775.0,4276.0,4276.0,4276.0,4276.0
10,2712.0,2623.252694611397,1999,,1775.0,2712.0,2712.0,2712.0,2712.0
11,2248.0,2700.922635104197,2000,,1775.0,2248.0,2248.0,2248.0,2248.0
12,4156.0,2663.709462167622,2001,,1775.0,4156.0,4156.0,4156.0,4156.0
13,3841.0,3009.480878064837,2002,,1775.0,3841.0,3841.0,3841.0,3841.0
14,3895.0,3217.956301403793,2003,,1775.0,3895.0,3895.0,3895.0,3895.0
15,14945.0,3390.911151278165,2004,,1775.0,14945.0,14945.0,14945.0,14945.0
16,3202.0,5734.150876299254,2005,,1775.0,3202.0,3202.0,3202.0,3202.0
17,2066.0,5257.924789666188,2006,,1775.0,2066.0,2066.0,2066.0,2066.0
18,2796.0,4646.463136626344,2007,,1775.0,2796.0,2796.0,2796.0,2796.0
19,3985.0,4300.187822804636,2008,,1775.0,3985.0,3985.0,3985.0,3985.0
20,2486.0,4258.193695708919,2009,,1775.0,2486.0,2486.0,2486.0,2486.0
21,1775.0,3922.612068218651,2010,,1775.0,1775.0,1775.0,1775.0,1775.0
22,,3509.894060518786,2011,3509.894060518786,1775.0,8952.155053840746,7068.397252979636,3509.894060518786,1775.0
23,,2968.314572963809,2012,2968.314572963809,1775.0,8410.57556628577,6526.817765424659,2968.314572963809,1775.0
24,,2575.314407595526,2013,2575.314407595526,1775.0,8017.575400917487,6133.817600056376,2575.314407595526,1775.0
25,,2311.582198905917,2014,2311.582198905917,1775.0,7753.843192227878,5870.085391366767,2311.582198905917,1775.0
26,,2142.05295376647,2015,2142.05295376647,1775.0,7584.313947088431,5700.55614622732,2142.05295376647,1775.0
27,,2151.208871774099,2016,2151.208871774099,1775.0,7701.150447373819,5780.120612496718,2151.208871774099,1775.0
28,,2159.356440882377,2017,2159.356440882377,1775.0,7814.945332823025,5857.347248730852,2159.356440882377,1775.0
29,,2166.606711397998,2018,2166.606711397998,1775.0,7925.919756737876,5932.419097715307,2166.606711397998,1775.0
30,,2173.058503564608,2019,2173.058503564608,1775.0,8034.27307474694,6005.500716248561,2173.058503564608,1775.0
31,,2178.799754469858,2020,2178.799754469858,1775.0,8140.185319804354,6076.740259668604,2178.799754469858,1775.0
32,,2183.908716616473,2021,2183.908716616473,1775.0,8243.81936265884,6146.271309375267,2183.908716616473,1775.0
33,,2188.455024493677,2022,2188.455024493677,1775.0,8345.322803206243,6214.214478697029,2188.455024493677,1775.0
34,,2192.500643686222,2023,2192.500643686222,1775.0,8444.829630503,6280.678826835474,2192.500643686222,1775.0
35,,2196.100715457241,2024,2196.100715457241,1775.0,8542.46168309213,6345.763106060942,2196.100715457241,1775.0
36,,2199.304308316493,2025,2199.304308316493,1775.0,8638.32993633149,6409.556863595417,2199.304308316493,1775.0
37,,2202.155086817764,2026,2202.155086817764,1775.0,8732.535639359114,6472.141416528482,2202.155086817764,1775.0
38,,2204.691906701051,2027,2204.691906701051,1775.0,8825.171320990079,6533.590715537563,2204.691906701051,1775.0
39,,2206.949344491244,2028,2206.949344491244,1775.0,8916.321681067257,6593.972111023568,2206.949344491244,1775.0
40,,2208.958168771661,2029,2208.958168771661,1775.0,9006.0643814724,6653.347033449571,2208.958168771661,1775.0
41,,2210.745759555834,2030,2210.745759555834,1775.0,9094.470749057455,6711.771598122209,2210.745759555834,1775.0
42,,2212.336481473532,2031,2212.336481473532,1775.0,9181.606401110988,6769.297143334994,2212.336481473532,1775.0
43,,2213.752015857489,2032,2213.752015857489,1775.0,9267.531802577356,6825.97070966123,2213.752015857489,1775.0
44,,2215.011656257154,2033,2215.011656257154,1775.0,9352.302763054215,6881.835467210911,2215.011656257154,1775.0
45,,2216.132571407257,2034,2216.132571407257,1775.0,9435.970880572779,6936.931096825707,2216.132571407257,1775.0
46,,2217.130039235428,2035,2217.130039235428,1775.0,9518.583938287291,6991.294130458511,2217.130039235428,1775.0
47,,2218.017655098364,2036,2218.017655098364,1775.0,9600.186259442666,7044.958255352185,2218.017655098364,1775.0
48,,2218.807517084769,2037,2218.807517084769,1775.0,9680.81902533406,7097.954586081982,2218.807517084769,1775.0
49,,2219.510390910733,2038,2219.510390910733,1775.0,9760.520560403298,7150.311908046187,2219.510390910733,1775.0
50,,2220.135856655039,2039,2220.135856655039,1775.0,9839.326588122749,7202.056895569827,2220.135856655039,1775.0
51,,2220.692439334389,2040,2220.692439334389,1775.0,9917.270460885902,7253.214307418711,2220.692439334389,1775.0
52,,2221.187725098273,2041,2221.187725098273,1775.0,9994.383366747414,7303.807162198619,2221.187725098273,1775.0
53,,2221.628464627202,2042,2221.628464627202,1775.0,10070.69451552578,7353.856895831049,2221.628464627202,1775.0
54,,2222.020665143601,2043,2222.020665143601,1775.0,10146.23130649273,7403.383503047637,2222.020665143601,1775.0
55,,2222.369672289472,2044,2222.369672289472,1775.0,10221.01947961994,7452.405664625789,2222.369672289472,1775.0
56,,2222.680242986794,2045,2222.680242986794,1775.0,10295.08325213039,7500.940861894354,2222.680242986794,1775.0
57,,2222.956610273759,2046,2222.956610273759,1775.0,10368.4454419053,7549.005479867228,2222.956610273759,1775.0
58,,2223.202541000524,2047,2223.202541000524,1775.0,10441.12757912468,7596.614900211634,2223.202541000524,1775.0
59,,2223.421387170892,2048,2223.421387170892,1775.0,10513.1500073662,7643.783585124367,2223.421387170892,1775.0
60,,2223.616131629685,2049,2223.616131629685,1775.0,10584.53197525274,7690.525153070845,2223.616131629685,1775.0
61,,2223.789428718535,2050,2223.789428718535,1775.0,10655.29171961898,7736.852447237245,2223.789428718535,1775.0
