...1,historical,fitted,year,Trend,Static,AgS1,AgS2,AgS3,AgS4
1,280679.0,213270.3274831879,1990,,172336.0,280679.0,280679.0,280679.0,280679.0
2,173850.0,272897.977751905,1991,,172336.0,173850.0,173850.0,173850.0,173850.0
3,158101.0,163065.5127274388,1992,,172336.0,158101.0,158101.0,158101.0,158101.0
4,167543.0,148673.0077991764,1993,,172336.0,167543.0,167543.0,167543.0,167543.0
5,108312.0,160278.8978376052,1994,,172336.0,108312.0,108312.0,108312.0,108312.0
6,126039.0,99934.65039185667,1995,,172336.0,126039.0,126039.0,126039.0,126039.0
7,113829.0,119970.9805237319,1996,,172336.0,113829.0,113829.0,113829.0,113829.0
8,112411.0,108391.1207567002,1997,,172336.0,112411.0,112411.0,112411.0,112411.0
9,117327.0,107933.7603390493,1998,,172336.0,117327.0,117327.0,117327.0,117327.0
10,99578.0,113895.9885662635,1999,,172336.0,99578.0,99578.0,99578.0,99578.0
11,155527.0,96049.09553396209,2000,,172336.0,155527.0,155527.0,155527.0,155527.0
12,243231.0,154999.8713325487,2001,,172336.0,243231.0,243231.0,243231.0,243231.0
13,105242.0,246477.1705000653,2002,,172336.0,105242.0,105242.0,105242.0,105242.0
14,76356.0,102113.437121055,2003,,172336.0,76356.0,76356.0,76356.0,76356.0
15,48663.0,72593.97765769887,2004,,172336.0,48663.0,48663.0,48663.0,48663.0
16,76969.0,44446.17085785909,2005,,172336.0,76969.0,76969.0,76969.0,76969.0
17,150776.0,74725.7159321262,2006,,172336.0,150776.0,150776.0,150776.0,150776.0
18,129737.0,152044.3592007558,2007,,172336.0,129737.0,129737.0,129737.0,129737.0
19,172710.0,129893.6165906271,2008,,172336.0,172710.0,172710.0,172710.0,172710.0
20,173431.0,174633.1930815161,2009,,172336.0,173431.0,173431.0,173431.0,173431.0
21,172336.0,175027.102576614,2010,,172336.0,172336.0,172336.0,172336.0,172336.0
22,,173586.6584624137,2011,173586.6584624137,172336.0,287931.0798412276,248352.4569082962,173586.6584624137,172336.0
