...1,historical,fitted,year,Trend,Static,AgS1,AgS2,AgS3,AgS4
1,8238.0,6420.670930641268,1990,,6309.0,8238.0,8238.0,8238.0,8238.0
2,9705.0,9044.904839940711,1991,,6309.0,9705.0,9705.0,9705.0,9705.0
3,8758.0,10400.632443855,1992,,6309.0,8758.0,8758.0,8758.0,8758.0
4,8871.0,9357.656956813855,1993,,6309.0,8871.0,8871.0,8871.0,8871.0
5,9328.0,9387.719613646113,1994,,6309.0,9328.0,9328.0,9328.0,9328.0
6,9896.0,9773.32825168324,1995,,6309.0,9896.0,9896.0,9896.0,9896.0
7,9070.0,10279.8291079983,1996,,6309.0,9070.0,9070.0,9070.0,9070.0
8,14502.0,9400.856087842274,1997,,6309.0,14502.0,14502.0,14502.0,14502.0
9,17270.0,14786.99569727395,1998,,6309.0,17270.0,17270.0,17270.0,17270.0
10,18947.0,17516.04797926273,1999,,6309.0,18947.0,18947.0,18947.0,18947.0
11,16962.0,19159.26715678418,2000,,6309.0,16962.0,16962.0,16962.0,16962.0
12,20727.0,17145.11034736146,2001,,6309.0,20727.0,20727.0,20727.0,20727.0
13,16087.0,20884.58702776016,2002,,6309.0,16087.0,16087.0,16087.0,16087.0
14,16590.0,16223.20194094191,2003,,6309.0,16590.0,16590.0,16590.0,16590.0
15,14692.0,16706.9761758058,2004,,6309.0,14692.0,14692.0,14692.0,14692.0
16,15430.0,14792.88319962918,2005,,6309.0,15430.0,15430.0,15430.0,15430.0
17,17714.0,15516.77045841582,2006,,6309.0,17714.0,17714.0,17714.0,17714.0
18,18881.0,17788.81348054085,2007,,6309.0,18881.0,18881.0,18881.0,18881.0
19,14450.0,18945.65729618259,2008,,6309.0,14450.0,14450.0,14450.0,14450.0
20,9650.0,14505.88547046147,2009,,6309.0,9650.0,9650.0,9650.0,9650.0
21,6309.0,9697.848237087457,2010,,6309.0,6309.0,6309.0,6309.0,6309.0
22,,6349.869491115394,2011,6349.869491115394,6309.0,11158.10104972191,9493.803119507636,6349.869491115394,6309.0
23,,6057.938531236081,2012,6057.938531236081,6309.0,10866.17008984259,9201.872159628323,6057.938531236081,6309.0
24,,7124.071622234595,2013,7124.071622234595,6309.0,11932.30318084111,10268.00525062684,7124.071622234595,6309.0
