...1,historical,fitted,year,Trend,Static,AgS1,AgS2,AgS3,AgS4
1,156682.0,123355.2921189834,1990,,316384.0,156682.0,156682.0,156682.0,156682.0
2,179461.0,166675.0756354599,1991,,316384.0,179461.0,179461.0,179461.0,179461.0
3,177725.0,200110.3894297772,1992,,316384.0,177725.0,177725.0,177725.0,177725.0
4,199244.0,209954.6509520998,1993,,316384.0,199244.0,199244.0,199244.0,199244.0
5,317895.0,217371.663021739,1994,,316384.0,317895.0,317895.0,317895.0,317895.0
6,284543.0,286711.9796389723,1995,,316384.0,284543.0,284543.0,284543.0,284543.0
7,350922.0,313970.2380458303,1996,,316384.0,350922.0,350922.0,350922.0,350922.0
8,374111.0,358611.4583175422,1997,,316384.0,374111.0,374111.0,374111.0,374111.0
9,423100.0,393767.8432068629,1998,,316384.0,423100.0,423100.0,423100.0,423100.0
10,477213.0,435409.2442371343,1999,,316384.0,477213.0,477213.0,477213.0,477213.0
11,498877.0,486046.9550241003,2000,,316384.0,498877.0,498877.0,498877.0,498877.0
12,441545.0,523094.0754051498,2001,,316384.0,441545.0,441545.0,441545.0,441545.0
13,553732.0,500184.9144694563,2002,,316384.0,553732.0,553732.0,553732.0,553732.0
14,357515.0,535934.8442178213,2003,,316384.0,357515.0,357515.0,357515.0,357515.0
15,374586.0,442748.9602832895,2004,,316384.0,374586.0,374586.0,374586.0,374586.0
16,389281.0,374908.2266582345,2005,,316384.0,389281.0,389281.0,389281.0,389281.0
17,419000.0,347537.2002811877,2006,,316384.0,419000.0,419000.0,419000.0,419000.0
18,324122.0,364831.2675905046,2007,,316384.0,324122.0,324122.0,324122.0,324122.0
19,334742.0,335020.6388917924,2008,,316384.0,334742.0,334742.0,334742.0,334742.0
20,368245.0,321901.2419648274,2009,,316384.0,368245.0,368245.0,368245.0,368245.0
21,316384.0,339390.6245680152,2010,,316384.0,316384.0,316384.0,316384.0,316384.0
22,,327121.3610455581,2011,327121.3610455581,316384.0,439827.6822122337,400816.0633346011,327121.3610455581,316384.0
23,,309887.0456796708,2012,309887.0456796708,316384.0,422593.3668463464,383581.7479687137,309887.0456796708,316384.0
24,,340458.6501755659,2013,340458.6501755659,316384.0,453164.9713422415,414153.3524646088,340458.6501755659,316384.0
25,,343135.395507242,2014,343135.395507242,316384.0,455841.7166739176,416830.0977962849,343135.395507242,316384.0
26,,394135.5853692897,2015,394135.5853692897,316384.0,506841.9065359653,467830.2876583327,394135.5853692897,316384.0
27,,414157.453372072,2016,414157.453372072,316384.0,545724.8635199264,500184.7588631978,414157.453372072,316384.0
28,,430174.9477742977,2017,430174.9477742977,316384.0,590723.1800625756,535151.79431709,430174.9477742977,316384.0
29,,442988.9432960784,2018,442988.9432960784,316384.0,638352.4689126008,570730.2865447509,442988.9432960784,316384.0
30,,453240.1397135028,2019,453240.1397135028,316384.0,686124.5360597842,605515.0616419914,453240.1397135028,316384.0
31,,461441.0968474424,2020,461441.0968474424,316384.0,732713.159159123,638816.3643963662,461441.0968474424,316384.0
32,,468001.8625545941,2021,468001.8625545941,316384.0,777501.2783183558,670372.6530057603,468001.8625545941,316384.0
33,,473250.4751203154,2022,473250.4751203154,316384.0,820252.3741207691,700142.821315819,473250.4751203154,316384.0
34,,477449.3651728925,2023,477449.3651728925,316384.0,860928.2479531517,728192.7290595835,477449.3651728925,316384.0
35,,480808.4772149542,2024,480808.4772149542,316384.0,899592.0305562773,754636.3243806507,480808.4772149542,316384.0
36,,483495.7668486035,2025,483495.7668486035,316384.0,936356.075773171,779605.206845015,483495.7668486035,316384.0
37,,485645.598555523,2026,485645.598555523,316384.0,971353.5424705308,803232.9526250928,485645.598555523,316384.0
38,,487365.4639210585,2027,487365.4639210585,316384.0,1004722.810139881,825647.2498225084,487365.4639210585,316384.0
39,,488741.356213487,2028,488741.356213487,316384.0,1036599.043031191,846966.2428823288,488741.356213487,316384.0
40,,489842.0700474298,2029,489842.0700474298,316384.0,1067109.822381962,867297.1649257884,489842.0700474298,316384.0
41,,490722.641114584,2030,490722.641114584,316384.0,1096373.121469291,886736.2043197051,490722.641114584,316384.0
42,,491427.0979683074,2031,491427.0979683074,316384.0,1124496.629939524,905369.0153687394,491427.0979683074,316384.0
43,,491990.6634512861,2032,491990.6634512861,316384.0,1151577.843141625,923271.5387188318,491990.6634512861,316384.0
44,,492441.515837669,2033,492441.515837669,316384.0,1177704.568226173,940510.9418707432,492441.515837669,316384.0
45,,492802.1977467754,2034,492802.1977467754,316384.0,1202955.638352901,957146.5738498078,492802.1977467754,316384.0
46,,493090.7432740605,2035,493090.7432740605,316384.0,1227401.710495699,973230.8770022318,493090.7432740605,316384.0
47,,493321.5796958886,2036,493321.5796958886,316384.0,1251106.073747305,988810.227628832,493321.5796958886,316384.0
48,,493506.248833351,2037,493506.248833351,316384.0,1274125.426677147,1003925.69396138,493506.248833351,316384.0
49,,493653.984143321,2038,493653.984143321,316384.0,1296510.601805472,1018613.709622269,493653.984143321,316384.0
50,,493772.1723912969,2039,493772.1723912969,316384.0,1318307.227209662,1032906.666026827,493772.1723912969,316384.0
51,,493866.7229896777,2040,493866.7229896777,316384.0,1339556.322487959,1046833.429904011,493866.7229896777,316384.0
52,,493942.3634683824,2041,493942.3634683824,316384.0,1360294.830525994,1060419.793272613,493942.3634683824,316384.0
53,,494002.8758513461,2042,494002.8758513461,316384.0,1380556.088849773,1073688.86346063,494002.8758513461,316384.0
54,,494051.285757717,2043,494051.285757717,316384.0,1400370.245510447,1086661.400492266,494051.285757717,316384.0
55,,494090.0136828138,2044,494090.0136828138,316384.0,1419764.624882586,1099356.10863422,494090.0136828138,316384.0
56,,494120.9960228912,2045,494120.9960228912,316384.0,1438764.048758475,1111789.888238894,494120.9960228912,316384.0
57,,494145.7818949531,2046,494145.7818949531,316384.0,1457391.117871412,1123978.053335316,494145.7818949531,316384.0
58,,494165.6105926026,2047,494165.6105926026,316384.0,1475666.458598841,1135934.519749843,494165.6105926026,316384.0
59,,494181.4735507223,2048,494181.4735507223,316384.0,1493608.939155378,1147671.967915336,494181.4735507223,316384.0
60,,494194.163917218,2049,494194.163917218,316384.0,1511235.859131622,1159201.983962453,494194.163917218,316384.0
61,,494204.3162104146,2050,494204.3162104146,316384.0,1528563.115793994,1170535.182184079,494204.3162104146,316384.0
