...1,historical,fitted,year,Trend,Static,AgS1,AgS2,AgS3,AgS4
1,25349.0,0.0,1990,,73491.0,25349.0,25349.0,25349.0,25349.0
2,19308.0,29349.45237045498,1991,,73491.0,19308.0,19308.0,19308.0,19308.0
3,21204.0,36394.4477281724,1992,,73491.0,21204.0,21204.0,21204.0,21204.0
4,49780.0,36992.02147670393,1993,,73491.0,49780.0,49780.0,49780.0,49780.0
5,57418.0,53645.7027278981,1994,,73491.0,57418.0,57418.0,57418.0,57418.0
6,76157.0,64321.10640899378,1995,,73491.0,76157.0,76157.0,76157.0,76157.0
7,81234.0,79750.9658314925,1996,,73491.0,81234.0,81234.0,81234.0,81234.0
8,139038.0,88274.64326771272,1997,,73491.0,139038.0,139038.0,139038.0,139038.0
9,132586.0,129537.092191744,1998,,73491.0,132586.0,132586.0,132586.0,132586.0
10,178052.0,142380.8036196658,1999,,73491.0,178052.0,178052.0,178052.0,178052.0
11,137381.0,176298.5166499327,2000,,73491.0,137381.0,137381.0,137381.0,137381.0
12,118328.0,161538.6138535776,2001,,73491.0,118328.0,118328.0,118328.0,118328.0
13,142495.0,138324.9446740972,2002,,73491.0,142495.0,142495.0,142495.0,142495.0
14,114341.0,142264.4825179371,2003,,73491.0,114341.0,114341.0,114341.0,114341.0
15,113625.0,124564.0454137542,2004,,73491.0,113625.0,113625.0,113625.0,113625.0
16,100996.0,115480.3101772807,2005,,73491.0,100996.0,100996.0,100996.0,100996.0
17,109612.0,103109.9434921417,2006,,73491.0,109612.0,109612.0,109612.0,109612.0
18,91996.0,103962.715434979,2007,,73491.0,91996.0,91996.0,91996.0,91996.0
19,63915.0,93357.32365711153,2008,,73491.0,63915.0,63915.0,63915.0,63915.0
20,106175.0,69969.08019703774,2009,,73491.0,106175.0,106175.0,106175.0,106175.0
21,73491.0,88905.82270022064,2010,,73491.0,73491.0,73491.0,73491.0,73491.0
22,,77026.38736903561,2011,77026.38736903561,73491.0,123638.3766630802,107504.3289659825,77026.38736903561,73491.0
23,,46978.48613614936,2012,46978.48613614936,73491.0,93590.47543019394,77456.42773309619,46978.48613614936,73491.0
24,,43386.72091110564,2013,43386.72091110564,73491.0,89998.71020515022,73864.66250805247,43386.72091110564,73491.0
25,,41547.56528504831,2014,41547.56528504831,73491.0,88159.55457909289,72025.50688199514,41547.56528504831,73491.0
26,,44241.0003375086,2015,44241.0003375086,73491.0,90852.98963155318,74718.94193445543,44241.0003375086,73491.0
27,,41862.15718452859,2016,41862.15718452859,73491.0,98295.833341502,78762.15463288898,41862.15718452859,73491.0
28,,39813.82978541257,2017,39813.82978541257,73491.0,107003.5780630336,83746.84476575654,39813.82978541257,73491.0
29,,38050.09638049536,2018,38050.09638049536,73491.0,116486.8998441048,89337.16546339596,38050.09638049536,73491.0
30,,36531.4155656201,2019,36531.4155656201,73491.0,126427.262406501,95311.15037892284,36531.4155656201,73491.0
31,,35223.73980745843,2020,35223.73980745843,73491.0,136613.4739319039,101518.9235568813,35223.73980745843,73491.0
32,,34097.75212674609,2021,34097.75212674609,73491.0,146902.1866706581,107856.6073049186,34097.75212674609,73491.0
33,,33128.20883652078,2022,33128.20883652078,73491.0,157194.3262432769,114250.6826410486,33128.20883652078,73491.0
34,,32293.37360011195,2023,32293.37360011195,73491.0,167420.7311422773,120648.4035761885,32293.37360011195,73491.0
35,,31574.5301209437,2024,31574.5301209437,73491.0,177533.0667680628,127011.6874463679,31574.5301209437,73491.0
36,,30955.56253907027,2025,30955.56253907027,73491.0,187497.8471430062,133313.0606821708,30955.56253907027,73491.0
37,,30422.59412729092,2026,30422.59412729092,73491.0,197292.3609585376,139532.8699341351,30422.59412729092,73491.0
38,,29963.67618671824,2027,29963.67618671824,73491.0,206901.8123074227,145657.304813902,29963.67618671824,73491.0
