...1,historical,fitted,year,Trend,Static,AgS1,AgS2,AgS3,AgS4
1,13828.0,14376.05468091192,1990,,139982.0,13828.0,13828.0,13828.0,13828.0
2,18037.0,17185.00368426645,1991,,139982.0,18037.0,18037.0,18037.0,18037.0
3,16455.0,21235.64857093876,1992,,139982.0,16455.0,16455.0,16455.0,16455.0
4,26299.0,19951.4392924103,1993,,139982.0,26299.0,26299.0,26299.0,26299.0
5,30793.0,28998.85939746275,1994,,139982.0,30793.0,30793.0,30793.0,30793.0
6,30402.0,33753.10311100683,1995,,139982.0,30402.0,30402.0,30402.0,30402.0
7,40422.0,33637.27284684526,1996,,139982.0,40422.0,40422.0,40422.0,40422.0
8,43482.0,42934.58011761745,1997,,139982.0,43482.0,43482.0,43482.0,43482.0
9,39598.0,46367.42183262905,1998,,139982.0,39598.0,39598.0,39598.0,39598.0
10,40796.0,42893.49279971945,1999,,139982.0,40796.0,40796.0,40796.0,40796.0
11,105717.0,43702.17512329132,2000,,139982.0,105717.0,105717.0,105717.0,105717.0
12,105062.0,104476.6253238338,2001,,139982.0,105062.0,105062.0,105062.0,105062.0
13,108321.0,107994.8498589399,2002,,139982.0,108321.0,108321.0,108321.0,108321.0
14,132167.0,111213.9451331936,2003,,139982.0,132167.0,132167.0,132167.0,132167.0
15,152821.0,133690.568443001,2004,,139982.0,152821.0,152821.0,152821.0,152821.0
16,153870.0,154510.7847953571,2005,,139982.0,153870.0,153870.0,153870.0,153870.0
17,136641.0,156857.9739420573,2006,,139982.0,136641.0,136641.0,136641.0,136641.0
18,129358.0,140812.6491189322,2007,,139982.0,129358.0,129358.0,129358.0,129358.0
19,139349.0,132810.6943267078,2008,,139982.0,139349.0,139349.0,139349.0,139349.0
20,125628.0,141543.3898871159,2009,,139982.0,125628.0,125628.0,125628.0,125628.0
21,139982.0,129232.7183754743,2010,,139982.0,139982.0,139982.0,139982.0,139982.0
22,,141756.2947170266,2011,141756.2947170266,139982.0,172160.3347906104,161636.4279554574,141756.2947170266,139982.0
23,,134723.8222166667,2012,134723.8222166667,139982.0,165127.8622902506,154603.9554550976,134723.8222166667,139982.0
24,,142371.8578570913,2013,142371.8578570913,139982.0,172775.8979306751,162251.9910955222,142371.8578570913,139982.0
25,,146877.8339857734,2014,146877.8339857734,139982.0,177281.8740593573,166757.9672242043,146877.8339857734,139982.0
26,,158434.1719895064,2015,158434.1719895064,139982.0,188838.2120630902,178314.3052279373,158434.1719895064,139982.0
27,,160748.2419842567,2016,160748.2419842567,139982.0,202400.2567453733,187983.0305549877,160748.2419842567,139982.0
28,,163016.030579112,2017,163016.030579112,139982.0,213555.8106457057,196062.2165179941,163016.030579112,139982.0
29,,165238.4634020702,2018,165238.4634020702,139982.0,223396.9706363074,203266.2672717746,165238.4634020702,139982.0
30,,167416.4475685692,2019,167416.4475685692,139982.0,232371.7250502149,209888.4206270546,167416.4475685692,139982.0
31,,169550.8720517383,2020,169550.8720517383,139982.0,240715.9509989022,216083.2160418476,169550.8720517383,139982.0
32,,171642.6080452439,2021,171642.6080452439,139982.0,248571.9571926211,221944.0057310204,171642.6080452439,139982.0
33,,173692.5093188795,2022,173692.5093188795,139982.0,256033.4439397418,227532.3525528025,173692.5093188795,139982.0
34,,175701.4125670424,2023,175701.4125670424,139982.0,263166.0124437365,232891.4404378932,175701.4125670424,139982.0
35,,177670.137750242,2024,177670.137750242,139982.0,270017.738837019,238052.9884967674,177670.137750242,139982.0
