...1,historical,fitted,year,Trend,Static,AgS1,AgS2,AgS3,AgS4
1,159243.0,171919.0973282277,1990,,283760.0,159243.0,159243.0,159243.0,159243.0
2,178418.0,179503.114399204,1991,,283760.0,178418.0,178418.0,178418.0,178418.0
3,192176.0,187133.1961868229,1992,,283760.0,192176.0,192176.0,192176.0,192176.0
4,214108.0,194823.3091045896,1993,,283760.0,214108.0,214108.0,214108.0,214108.0
5,233278.0,202999.3819633067,1994,,283760.0,233278.0,233278.0,233278.0,233278.0
6,201265.0,211802.0105059578,1995,,283760.0,201265.0,201265.0,201265.0,201265.0
7,201488.0,219455.941582866,1996,,283760.0,201488.0,201488.0,201488.0,201488.0
8,222849.0,226470.8402399325,1997,,283760.0,222849.0,222849.0,222849.0,222849.0
9,239859.0,233546.3335876966,1998,,283760.0,239859.0,239859.0,239859.0,239859.0
10,256173.0,240789.1878019347,1999,,283760.0,256173.0,256173.0,256173.0,256173.0
11,293611.0,248354.3448471345,2000,,283760.0,293611.0,293611.0,293611.0,293611.0
12,289353.0,257202.6199267009,2001,,283760.0,289353.0,289353.0,289353.0,289353.0
13,273696.0,266245.4528609624,2002,,283760.0,273696.0,273696.0,273696.0,273696.0
14,231082.0,274784.9286546103,2003,,283760.0,231082.0,231082.0,231082.0,231082.0
15,254857.0,281347.7018464958,2004,,283760.0,254857.0,254857.0,254857.0,254857.0
16,293965.0,287594.0625628068,2005,,283760.0,293965.0,293965.0,293965.0,293965.0
17,326670.0,294457.9376578963,2006,,283760.0,326670.0,326670.0,326670.0,326670.0
18,324628.0,302291.8679041966,2007,,283760.0,324628.0,324628.0,324628.0,324628.0
19,320602.0,310212.6985807511,2008,,283760.0,320602.0,320602.0,320602.0,320602.0
20,321305.0,317949.7143012402,2009,,283760.0,321305.0,321305.0,321305.0,321305.0
21,283760.0,325463.8870893946,2010,,283760.0,283760.0,283760.0,283760.0,283760.0
22,,331175.2849802035,2011,331175.2849802035,283760.0,414137.9497767197,385421.6557249586,331175.2849802035,283760.0
23,,334512.186457967,2012,334512.186457967,283760.0,417474.8512544831,388758.5572027221,334512.186457967,283760.0
24,,339208.6934568912,2013,339208.6934568912,283760.0,422171.3582534073,393455.0642016463,339208.6934568912,283760.0
25,,347542.7559113109,2014,347542.7559113109,283760.0,430505.4207078271,401789.126656066,347542.7559113109,283760.0
26,,358942.8721979434,2015,358942.8721979434,283760.0,441905.5369944596,413189.2429426985,358942.8721979434,283760.0
27,,367610.5730326457,2016,367610.5730326457,283760.0,450633.452392512,421896.3159641036,367610.5730326457,283760.0
28,,376104.9198506539,2017,376104.9198506539,283760.0,459260.4364162193,430477.3895893153,376104.9198506539,283760.0
29,,384429.379732302,2018,384429.379732302,283760.0,467815.5268318735,438952.6506715207,384429.379732302,283760.0
30,,392587.3504163171,2019,392587.3504163171,283760.0,476325.5235465262,447340.7988048332,392587.3504163171,283760.0
31,,400582.1616866519,2020,400582.1616866519,283760.0,484814.7921119734,455658.9183224851,400582.1616866519,283760.0
32,,408417.0767315801,2021,408417.0767315801,283760.0,493305.0606586545,463922.3459894723,408417.0767315801,283760.0
33,,416095.2934756096,2022,416095.2934756096,283760.0,501815.2382426208,472144.5526870433,416095.2934756096,283760.0
34,,423619.9458847586,2023,423619.9458847586,283760.0,510361.2802054153,480337.0558280579,423619.9458847586,283760.0
35,,430994.1052457246,2024,430994.1052457246,283760.0,518956.1210866376,488509.3759336372,430994.1052457246,283760.0
36,,438220.7814194713,2025,438220.7814194713,283760.0,527609.6882153661,496669.0459540272,438220.7814194713,283760.0
37,,445302.924069743,2026,445302.924069743,283760.0,536329.0002745793,504821.6761416416,445302.924069743,283760.0
38,,452243.4238670092,2027,452243.4238670092,283760.0,545118.3462007538,512971.0714439492,452243.4238670092,283760.0
39,,459045.1136683302,2028,459045.1136683302,283760.0,553979.532104024,521119.393364281,459045.1136683302,283760.0
40,,465710.7696736247,2029,465710.7696736247,283760.0,562912.1785184083,529267.354723531,465710.7696736247,283760.0
41,,472243.1125588134,2030,472243.1125588134,283760.0,571914.0477245197,537414.4340771935,472243.1125588134,283760.0
42,,478644.8085862983,2031,478644.8085862983,283760.0,580981.3810510678,545559.0966493367,478644.8085862983,283760.0
43,,484918.4706932334,2032,484918.4706932334,283760.0,590109.2284116738,553699.010181833,484918.4706932334,283760.0
44,,491066.6595580299,2033,491066.6595580299,283760.0,599291.7560734993,561831.2465426031,491066.6595580299,283760.0
45,,497091.8846455304,2034,497091.8846455304,283760.0,608522.5229591536,569952.462751495,497091.8846455304,283760.0
46,,502996.605231281,2035,502996.605231281,283760.0,617794.719967595,578059.0578183455,502996.605231281,283760.0
47,,508783.2314053165,2036,508783.2314053165,283760.0,627101.3704001731,586147.3041419721,508783.2314053165,283760.0
48,,514454.1250558713,2037,514454.1250558713,283760.0,636435.4923619436,594213.4540391805,514454.1250558713,283760.0
49,,520011.6008334151,2038,520011.6008334151,283760.0,645790.2259319143,602253.8232306067,520011.6008334151,283760.0
50,,525457.9270954079,2039,525457.9270954079,283760.0,655158.9290414556,610264.8538592522,525457.9270954079,283760.0
