...1,historical,fitted,year,Trend,Static,AgS1,AgS2,AgS3,AgS4
1,32672.0,24627.91870198142,1990,,29295.0,32672.0,32672.0,32672.0,32672.0
2,24900.0,32673.32067565167,1991,,29295.0,24900.0,24900.0,24900.0,24900.0
3,15194.0,24901.85559562526,1992,,29295.0,15194.0,15194.0,15194.0,15194.0
4,16239.0,15195.05684562091,1993,,29295.0,16239.0,16239.0,16239.0,16239.0
5,20717.0,16239.04796083444,1994,,29295.0,20717.0,20717.0,20717.0,20717.0
6,31287.0,20717.03228925551,1995,,29295.0,31287.0,31287.0,31287.0,31287.0
7,36961.0,31287.17258365358,1996,,29295.0,36961.0,36961.0,36961.0,36961.0
8,25021.0,36961.87014240077,1997,,29295.0,25021.0,25021.0,25021.0,25021.0
9,21857.0,25022.38893304374,1998,,29295.0,21857.0,21857.0,21857.0,21857.0
10,21540.0,21857.21920992537,1999,,29295.0,21540.0,21540.0,21540.0,21540.0
11,19758.0,21539.92848374761,2000,,29295.0,19758.0,19758.0,19758.0,19758.0
12,19108.0,19757.9530622864,2001,,29295.0,19108.0,19108.0,19108.0,19108.0
13,19746.0,19107.83289981128,2002,,29295.0,19746.0,19746.0,19746.0,19746.0
14,15619.0,19745.8015551567,2003,,29295.0,15619.0,15619.0,15619.0,15619.0
15,11231.0,15618.97486653889,2004,,29295.0,11231.0,11231.0,11231.0,11231.0
16,14919.0,11230.73754370783,2005,,29295.0,14919.0,14919.0,14919.0,14919.0
17,17207.0,14918.36520222172,2006,,29295.0,17207.0,17207.0,17207.0,17207.0
18,15749.0,17206.74143176885,2007,,29295.0,15749.0,15749.0,15749.0,15749.0
19,17954.0,15749.00540268946,2008,,29295.0,17954.0,17954.0,17954.0,17954.0
20,20242.0,17953.84358530513,2009,,29295.0,20242.0,20242.0,20242.0,20242.0
21,29295.0,20242.00548637834,2010,,29295.0,29295.0,29295.0,29295.0,29295.0
22,,29295.00630930162,2011,29295.00630930162,29295.0,40535.35086906819,36644.67256922019,29295.00630930162,29295.0
23,,27287.76946319262,2012,27287.76946319262,29295.0,38528.11402295919,34637.43572311119,27287.76946319262,29295.0
24,,29243.41580979677,2013,29243.41580979677,29295.0,40483.76036956334,36593.08206971534,29243.41580979677,29295.0
25,,30857.45678168788,2014,30857.45678168788,29295.0,42097.80134145445,38207.12304160645,30857.45678168788,29295.0
26,,41873.27411309681,2015,41873.27411309681,29295.0,53113.61867286338,49222.94037301538,41873.27411309681,29295.0
27,,41874.37464703173,2016,41874.37464703173,29295.0,57770.46334393349,52268.26836969159,41874.37464703173,29295.0
28,,41875.25507417966,2017,41875.25507417966,29295.0,61344.25855864627,54605.35220449332,41875.25507417966,29295.0
29,,41875.959415898,2018,41875.959415898,29295.0,64357.31824641296,56575.7298362088,41875.959415898,29295.0
30,,41876.52288927268,2019,41876.52288927268,29295.0,67011.98078100901,58311.71540603435,41876.52288927268,29295.0
31,,41876.97366797242,2020,41876.97366797242,29295.0,69412.02900823731,59881.1786212357,41876.97366797242,29295.0
32,,41877.33429093222,2021,41877.33429093222,29295.0,71619.12183696954,61324.44387680742,41877.33429093222,29295.0
33,,41877.62278930005,2022,41877.62278930005,29295.0,73673.43823949996,62667.789031836,41877.62278930005,29295.0
34,,41877.85358799432,2023,41877.85358799432,29295.0,75602.88989378093,63929.46954453542,41877.85358799432,29295.0
35,,41878.03822694973,2024,41878.03822694973,29295.0,77427.80137018887,65122.77893153425,41878.03822694973,29295.0
36,,41878.18593811407,2025,41878.18593811407,29295.0,79163.51762379454,66257.7539151485,41878.18593811407,29295.0
37,,41878.30410704553,2026,41878.30410704553,29295.0,80821.96121868063,67342.19279740842,41878.30410704553,29295.0
38,,41878.3986421907,2027,41878.3986421907,29295.0,82412.61426697741,68382.29764330329,41878.3986421907,29295.0
39,,41878.47427030684,2028,41878.47427030684,29295.0,83943.16531671709,69383.09736027021,41878.47427030684,29295.0
40,,41878.53477279975,2029,41878.53477279975,29295.0,85419.95115868234,70348.73666196961,41878.53477279975,29295.0
41,,41878.58317479408,2030,41878.58317479408,29295.0,86848.26783221272,71282.67948949557,41878.58317479408,29295.0
42,,41878.62189638954,2031,41878.62189638954,29295.0,88232.5952630903,72187.85594654923,41878.62189638954,29295.0
43,,41878.65287366591,2032,41878.65287366591,29295.0,89576.76315794009,73066.77081384094,41878.65287366591,29295.0
44,,41878.67765548701,2033,41878.67765548701,29295.0,90884.0759070589,73921.58525216745,41878.67765548701,29295.0
45,,41878.69748094388,2034,41878.69748094388,29295.0,92157.40823545368,74754.17937207012,41878.69748094388,29295.0
46,,41878.71334130938,2035,41878.71334130938,29295.0,93399.27956359988,75566.20087716586,41878.71334130938,29295.0
47,,41878.72602960178,2036,41878.72602960178,29295.0,94611.91259846787,76359.10339191588,41878.72602960178,29295.0
48,,41878.7361802357,2037,41878.7361802357,29295.0,95797.28005929213,77134.17702768862,41878.7361802357,29295.0
49,,41878.74430074284,2038,41878.74430074284,29295.0,96957.14234898235,77892.57302575099,41878.74430074284,29295.0
50,,41878.75079714855,2039,41878.75079714855,29295.0,98093.07822740695,78635.32382223423,41878.75079714855,29295.0
51,,41878.75599427312,2040,41878.75599427312,29295.0,99206.51001268078,79363.35953339734,41878.75599427312,29295.0
52,,41878.76015197278,2041,41878.76015197278,29295.0,100298.7244581931,80077.5216120032,41878.76015197278,29295.0
53,,41878.7634781325,2042,41878.7634781325,29295.0,101370.8901790167,80778.57424633275,41878.7634781325,29295.0
54,,41878.76613906027,2043,41878.76613906027,29295.0,102424.0723001103,81467.21394172708,41878.76613906027,29295.0
55,,41878.76826780249,2044,41878.76826780249,29295.0,103459.2448491532,82144.07762670508,41878.76826780249,29295.0
56,,41878.76997079627,2045,41878.76997079627,29295.0,104477.3013044076,82809.74955214218,41878.76997079627,29295.0
57,,41878.7713331913,2046,41878.7713331913,29295.0,105479.0636225685,83464.76719610655,41878.7713331913,29295.0
58,,41878.77242310732,2047,41878.77242310732,29295.0,106465.2900060172,84109.62634406646,41878.77242310732,29295.0
59,,41878.77329504013,2048,41878.77329504013,29295.0,107436.6816181419,84744.78548098166,41878.77329504013,29295.0
60,,41878.77399258639,2049,41878.77399258639,29295.0,108393.888415764,85370.6696058649,41878.77399258639,29295.0
61,,41878.77455062338,2050,41878.77455062338,29295.0,109337.5142365158,85987.67355899405,41878.77455062338,29295.0
