...1,historical,fitted,year,Trend,Static,AgS1,AgS2,AgS3,AgS4
1,296688.0,251133.2692121887,1990,,472841.0,296688.0,296688.0,296688.0,296688.0
2,353886.0,290534.6160420165,1991,,472841.0,353886.0,353886.0,353886.0,353886.0
3,432988.0,329886.4953749971,1992,,472841.0,432988.0,432988.0,432988.0,432988.0
4,323017.0,370070.5064786524,1993,,472841.0,323017.0,323017.0,323017.0,323017.0
5,295635.0,403606.061756991,1994,,472841.0,295635.0,295635.0,295635.0,295635.0
6,288155.0,434029.1941932092,1995,,472841.0,288155.0,288155.0,288155.0,288155.0
7,383763.0,462262.2029440518,1996,,472841.0,383763.0,383763.0,383763.0,383763.0
8,580746.0,492474.1087604592,1997,,472841.0,580746.0,580746.0,580746.0,580746.0
9,620819.0,528601.8958255127,1998,,472841.0,620819.0,620819.0,620819.0,620819.0
10,705388.0,564232.8586590195,1999,,472841.0,705388.0,705388.0,705388.0,705388.0
11,763624.0,601155.9104743032,2000,,472841.0,763624.0,763624.0,763624.0,763624.0
12,891246.0,638293.6758440034,2001,,472841.0,891246.0,891246.0,891246.0,891246.0
13,746439.0,678388.9265198101,2002,,472841.0,746439.0,746439.0,746439.0,746439.0
14,554449.0,710584.8968770376,2003,,472841.0,554449.0,554449.0,554449.0,554449.0
15,80659819.0,733342.3998882408,2004,,472841.0,80659819.0,80659819.0,80659819.0,80659819.0
16,607355.0,3916347.246252353,2005,,472841.0,607355.0,607355.0,607355.0,607355.0
17,590556.0,3813819.990111704,2006,,472841.0,590556.0,590556.0,590556.0,590556.0
18,50757634.0,3714102.304465447,2007,,472841.0,50757634.0,50757634.0,50757634.0,50757634.0
19,226524.0,5597831.185800077,2008,,472841.0,226524.0,226524.0,226524.0,226524.0
20,317392.0,5412408.367871731,2009,,472841.0,317392.0,317392.0,317392.0,317392.0
21,472841.0,5237338.663712122,2010,,472841.0,472841.0,472841.0,472841.0,472841.0
22,,5074774.511257397,2011,5074774.511257397,472841.0,41763476.73137849,29064227.44961315,5074774.511257397,472841.0
23,,4930736.510245454,2012,4930736.510245454,472841.0,41619438.73036654,28920189.4486012,4930736.510245454,472841.0
24,,4808467.6254137,2013,4808467.6254137,472841.0,41497169.84553479,28797920.56376945,4808467.6254137,472841.0
25,,4689033.644062268,2014,4689033.644062268,472841.0,41377735.86418336,28678486.58241802,4689033.644062268,472841.0
26,,4562996.172009613,2015,4562996.172009613,472841.0,41251698.3921307,28552449.11036536,4562996.172009613,472841.0
27,,4585962.468764047,2016,4585962.468764047,472841.0,41303231.26020959,28594094.08412196,4585962.468764047,472841.0
28,,4608469.439583393,2017,4608469.439583393,472841.0,41354288.07481257,28635268.79439242,4608469.439583393,472841.0
29,,4630526.270986351,2018,4630526.270986351,472841.0,41404877.95240499,28675982.38189003,4630526.270986351,472841.0
30,,4652141.965761251,2019,4652141.965761251,472841.0,41455009.82807454,28716243.80513604,4652141.965761251,472841.0
31,,4673325.346640652,2020,4673325.346640652,472841.0,41504692.45915409,28756061.84410046,4673325.346640652,472841.0
32,,4694085.059902466,2021,4694085.059902466,472841.0,41553934.42877205,28795445.10376995,4694085.059902466,472841.0
33,,4714429.578899043,2022,4714429.578899043,472841.0,41602744.14933193,28834402.01764456,4714429.578899043,472841.0
34,,4734367.207515689,2023,4734367.207515689,472841.0,41651129.86592213,28872940.85116439,4734367.207515689,472841.0
35,,4753906.083560001,2024,4753906.083560001,472841.0,41699099.65965778,28911069.70506777,4753906.083560001,472841.0
36,,4773054.182083428,2025,4773054.182083428,472841.0,41746661.45095557,28948796.51868246,4773054.182083428,472841.0
37,,4791819.318636386,2026,4791819.318636386,472841.0,41793823.00274333,28986129.07315078,4791819.318636386,472841.0
38,,4810209.152458284,2027,4810209.152458284,472841.0,41840591.92360523,29023074.99459047,4810209.152458284,472841.0
39,,4828231.189603745,2028,4828231.189603745,472841.0,41886975.67086435,29059641.75719231,4828231.189603745,472841.0
