...1,historical,fitted,year,Trend,Static,AgS1,AgS2,AgS3,AgS4
1,10797.0,0.0,1990,,38625.0,10797.0,10797.0,10797.0,10797.0
2,13314.0,0.0,1991,,38625.0,13314.0,13314.0,13314.0,13314.0
3,13652.0,0.0,1992,,38625.0,13652.0,13652.0,13652.0,13652.0
4,14614.0,0.0,1993,,38625.0,14614.0,14614.0,14614.0,14614.0
5,14146.0,5772.720625164417,1994,,38625.0,14146.0,14146.0,14146.0,14146.0
6,10601.0,17723.4060424264,1995,,38625.0,10601.0,10601.0,10601.0,10601.0
7,12334.0,27647.00302166985,1996,,38625.0,12334.0,12334.0,12334.0,12334.0
8,11848.0,35887.54028193767,1997,,38625.0,11848.0,11848.0,11848.0,11848.0
9,849736.0,42730.07093804087,1998,,38625.0,849736.0,849736.0,849736.0,849736.0
10,30055.0,48498.68998241838,1999,,38625.0,30055.0,30055.0,30055.0,30055.0
11,26360.0,53220.58321255365,2000,,38625.0,26360.0,26360.0,26360.0,26360.0
12,38035.0,57140.85002299488,2001,,38625.0,38035.0,38035.0,38035.0,38035.0
13,44397.0,60396.87216093978,2002,,38625.0,44397.0,44397.0,44397.0,44397.0
14,41579.0,63100.91863734333,2003,,38625.0,41579.0,41579.0,41579.0,41579.0
15,52823.0,65345.71775119632,2004,,38625.0,52823.0,52823.0,52823.0,52823.0
16,49675.0,67210.50665034664,2005,,38625.0,49675.0,49675.0,49675.0,49675.0
17,54515.0,68758.42884543685,2006,,38625.0,54515.0,54515.0,54515.0,54515.0
18,47176.0,70043.95214378987,2007,,38625.0,47176.0,47176.0,47176.0,47176.0
19,39165.0,71110.38327718363,2008,,38625.0,39165.0,39165.0,39165.0,39165.0
20,34078.0,71994.6310274712,2009,,38625.0,34078.0,34078.0,34078.0,34078.0
21,38625.0,72727.70867813168,2010,,38625.0,38625.0,38625.0,38625.0,38625.0
22,,73336.13216310764,2011,73336.13216310764,38625.0,397720.0846711739,285439.398066646,73336.13216310764,38625.0
23,,73840.1501545552,2012,73840.1501545552,38625.0,398224.1026626215,285943.4160580936,73840.1501545552,38625.0
