...1,historical,fitted,year,Trend,Static,AgS1,AgS2,AgS3,AgS4
1,3458.0,1701.398788705852,1990,,25167.0,3458.0,3458.0,3458.0,3458.0
2,2736.0,4620.186237994716,1991,,25167.0,2736.0,2736.0,2736.0,2736.0
3,2837.0,3452.710006131305,1992,,25167.0,2837.0,2837.0,2837.0,2837.0
4,3586.0,3401.158743210542,1993,,25167.0,3586.0,3586.0,3586.0,3586.0
5,4061.0,4180.253705254275,1994,,25167.0,4061.0,4061.0,4061.0,4061.0
6,5287.0,4616.651957335748,1995,,25167.0,5287.0,5287.0,5287.0,5287.0
7,4588.0,5981.808624601259,1996,,25167.0,4588.0,4588.0,4588.0,4588.0
8,7526.0,4956.508371215514,1997,,25167.0,7526.0,7526.0,7526.0,7526.0
9,8637.0,8463.040857932087,1998,,25167.0,8637.0,8637.0,8637.0,8637.0
10,10461.0,9594.550730011542,1999,,25167.0,10461.0,10461.0,10461.0,10461.0
11,11766.0,11593.66093987824,2000,,25167.0,11766.0,11766.0,11766.0,11766.0
12,10366.0,12914.72831550469,2001,,25167.0,10366.0,10366.0,10366.0,10366.0
13,9408.0,10920.38619637647,2002,,25167.0,9408.0,9408.0,9408.0,9408.0
14,7634.0,9611.995712211818,2003,,25167.0,7634.0,7634.0,7634.0,7634.0
15,10675.0,7390.332334660342,2004,,25167.0,10675.0,10675.0,10675.0,10675.0
16,12744.0,11172.38220989453,2005,,25167.0,12744.0,12744.0,12744.0,12744.0
17,11927.0,13584.08823134583,2006,,25167.0,11927.0,11927.0,11927.0,11927.0
18,16939.0,12378.94760046615,2007,,25167.0,16939.0,16939.0,16939.0,16939.0
19,18897.0,18404.03763738289,2008,,25167.0,18897.0,18897.0,18897.0,18897.0
20,24377.0,20443.69810854874,2009,,25167.0,24377.0,24377.0,24377.0,24377.0
21,25167.0,26774.59632238171,2010,,25167.0,25167.0,25167.0,25167.0,25167.0
22,,27156.6322753158,2011,27156.6322753158,25167.0,34550.2769659738,31991.07668507717,27156.6322753158,25167.0
23,,25725.56795415063,2012,25725.56795415063,25167.0,33119.21264480863,30560.012363912,25725.56795415063,25167.0
24,,36930.98406280414,2013,36930.98406280414,25167.0,44324.62875346214,41765.42847256551,36930.98406280414,25167.0
25,,56378.26613211051,2014,56378.26613211051,25167.0,63771.91082276851,61212.71054187188,56378.26613211051,25167.0
26,,57013.43189795772,2015,57013.43189795772,25167.0,64407.07658861572,61847.87630771909,57013.43189795772,25167.0
27,,61880.11069387535,2016,61880.11069387535,25167.0,73567.27829097559,69521.93883408007,61880.11069387535,25167.0
28,,66649.45591387463,2017,66649.45591387463,25167.0,82478.95820421187,76999.81112549559,66649.45591387463,25167.0
29,,71323.41422947391,2018,71323.41422947391,25167.0,91350.87379058279,84418.6661610768,71323.41422947391,25167.0
30,,75903.89337876122,2019,75903.89337876122,25167.0,100242.3126473395,91817.93035217372,75903.89337876122,25167.0
31,,80392.76294506277,2020,80392.76294506277,25167.0,109172.3349208359,99210.71358710517,80392.76294506277,25167.0
32,,84791.8551200383,2021,84791.8551200383,25167.0,118145.4324416104,106600.5871019193,84791.8551200383,25167.0
33,,89102.9654515143,2022,89102.9654515143,25167.0,127160.0893007077,113987.1811992358,89102.9654515143,25167.0
34,,93327.8535763608,2023,93327.8535763608,25167.0,136212.2080049174,121368.4257444169,93327.8535763608,25167.0
