...1,historical,fitted,year,Trend,Static,AgS1,AgS2,AgS3,AgS4
1,52436.0,50797.65451074419,1990,,161898.0,52436.0,52436.0,52436.0,52436.0
2,52238.0,57620.5412885094,1991,,161898.0,52238.0,52238.0,52238.0,52238.0
3,62335.0,56257.29954671358,1992,,161898.0,62335.0,62335.0,62335.0,62335.0
4,69342.0,67472.21835806295,1993,,161898.0,69342.0,69342.0,69342.0,69342.0
5,74571.0,74745.88584243023,1994,,161898.0,74571.0,74571.0,74571.0,74571.0
6,74290.0,79832.49496265482,1995,,161898.0,74290.0,74290.0,74290.0,74290.0
7,71321.0,78352.9854338109,1996,,161898.0,71321.0,71321.0,71321.0,71321.0
8,87662.0,73915.11663413049,1997,,161898.0,87662.0,87662.0,87662.0,87662.0
9,96342.0,92915.13120353816,1998,,161898.0,96342.0,96342.0,96342.0,96342.0
10,96234.0,102167.368957799,1999,,161898.0,96234.0,96234.0,96234.0,96234.0
11,103603.0,100772.8346475035,2000,,161898.0,103603.0,103603.0,103603.0,103603.0
12,100533.0,108608.7293368442,2001,,161898.0,100533.0,100533.0,100533.0,100533.0
13,99018.0,103845.9466856777,2002,,161898.0,99018.0,99018.0,99018.0,99018.0
14,105340.0,101311.5791782872,2003,,161898.0,105340.0,105340.0,105340.0,105340.0
15,117043.0,108381.8443583681,2004,,161898.0,117043.0,117043.0,117043.0,117043.0
16,125183.0,121732.8235817812,2005,,161898.0,125183.0,125183.0,125183.0,125183.0
17,141630.0,130460.4265380894,2006,,161898.0,141630.0,141630.0,141630.0,141630.0
18,144989.0,149005.4252905569,2007,,161898.0,144989.0,144989.0,144989.0,144989.0
19,151664.0,151425.767630643,2008,,161898.0,151664.0,151664.0,151664.0,151664.0
20,162296.0,158018.6302335695,2009,,161898.0,162296.0,162296.0,162296.0,162296.0
21,161898.0,169367.2762981624,2010,,161898.0,161898.0,161898.0,161898.0,161898.0
22,,167354.9479821004,2011,167354.9479821004,161898.0,185607.7585314602,179289.8192958763,167354.9479821004,161898.0
23,,152773.844948842,2012,152773.844948842,161898.0,171026.6554982017,164708.7162626178,152773.844948842,161898.0
24,,179970.7607622784,2013,179970.7607622784,161898.0,198223.5713116381,191905.6320760543,179970.7607622784,161898.0
