...1,historical,fitted,year,Trend,Static,AgS1,AgS2,AgS3,AgS4
1,27963.0,0.0,1990,,1208465.0,27963.0,27963.0,27963.0,27963.0
2,63919.0,0.0,1991,,1208465.0,63919.0,63919.0,63919.0,63919.0
3,26741.0,8629.526732487982,1992,,1208465.0,26741.0,26741.0,26741.0,26741.0
4,69076.0,137646.9015701288,1993,,1208465.0,69076.0,69076.0,69076.0,69076.0
5,138148.0,263451.9825618473,1994,,1208465.0,138148.0,138148.0,138148.0,138148.0
6,150809.0,386127.3142915526,1995,,1208465.0,150809.0,150809.0,150809.0,150809.0
7,388941.0,505745.1424473003,1996,,1208465.0,388941.0,388941.0,388941.0,388941.0
8,476810.0,622403.9696620246,1997,,1208465.0,476810.0,476810.0,476810.0,476810.0
9,827883.0,736162.8353990349,1998,,1208465.0,827883.0,827883.0,827883.0,827883.0
10,1691261.0,847120.29071061,1999,,1208465.0,1691261.0,1691261.0,1691261.0,1691261.0
11,1709624.0,955398.0055366342,2000,,1208465.0,1709624.0,1709624.0,1709624.0,1709624.0
12,1495444.0,1060980.155288791,2001,,1208465.0,1495444.0,1495444.0,1495444.0,1495444.0
13,1450084.0,1163910.463236558,2002,,1208465.0,1450084.0,1450084.0,1450084.0,1450084.0
14,698572.0,1264271.129802144,2003,,1208465.0,698572.0,698572.0,698572.0,698572.0
15,1299173.0,1362055.227769743,2004,,1208465.0,1299173.0,1299173.0,1299173.0,1299173.0
16,928283.0,1457460.095251709,2005,,1208465.0,928283.0,928283.0,928283.0,928283.0
17,846516.0,1550449.144484179,2006,,1208465.0,846516.0,846516.0,846516.0,846516.0
18,291737.0,1641110.357695933,2007,,1208465.0,291737.0,291737.0,291737.0,291737.0
19,650268.0,1729454.029442879,2008,,1208465.0,650268.0,650268.0,650268.0,650268.0
20,1333972.0,1815627.669982864,2009,,1208465.0,1333972.0,1333972.0,1333972.0,1333972.0
21,1208465.0,1899718.575065274,2010,,1208465.0,1208465.0,1208465.0,1208465.0,1208465.0
22,,1981699.230607088,2011,1981699.230607088,1208465.0,3275130.435656193,2827428.437281214,1981699.230607088,1208465.0
23,,2061682.485227527,2012,2061682.485227527,1208465.0,3355113.690276632,2907411.691901653,2061682.485227527,1208465.0
24,,2139782.406410061,2013,2139782.406410061,1208465.0,3433213.611459165,2985511.613084187,2139782.406410061,1208465.0
25,,2216054.362416313,2014,2216054.362416313,1208465.0,3509485.567465417,3061783.569090439,2216054.362416313,1208465.0
26,,2290306.597064959,2015,2290306.597064959,1208465.0,3583737.802114064,3136035.803739085,2290306.597064959,1208465.0
27,,2362662.894697146,2016,2362662.894697146,1208465.0,3656094.106214668,3208392.105600743,2362662.894697146,1208465.0
28,,2433222.490962362,2017,2433222.490962362,1208465.0,3726653.708949531,3278951.706096234,2433222.490962362,1208465.0
29,,2502030.000302027,2018,2502030.000302027,1208465.0,3795461.224760043,3347759.219666958,2502030.000302027,1208465.0
30,,2569128.929322714,2019,2569128.929322714,1208465.0,3862560.160252747,3414858.15291947,2569128.929322714,1208465.0
31,,2634561.704305136,2020,2634561.704305136,1208465.0,3927992.941708328,3480290.932134463,2634561.704305136,1208465.0
32,,2698369.698030048,2021,2698369.698030048,1208465.0,3991800.941907511,3544098.930092673,2698369.698030048,1208465.0
33,,2760593.255938025,2022,2760593.255938025,1208465.0,4054024.506290845,3606322.492234658,2760593.255938025,1208465.0
34,,2821271.721639663,2023,2821271.721639663,1208465.0,4114702.978468897,3667000.962170996,2821271.721639663,1208465.0
35,,2880443.461792323,2024,2880443.461792323,1208465.0,4173874.725099005,3726172.706559031,2880443.461792323,1208465.0
36,,2938145.890359159,2025,2938145.890359159,1208465.0,4231577.160144295,3783875.1393619,2938145.890359159,1208465.0
37,,2994415.492265755,2026,2994415.492265755,1208465.0,4287846.768530326,3840144.745505172,2994415.492265755,1208465.0
38,,3049287.846469347,2027,3049287.846469347,1208465.0,4342719.129214311,3895017.103946065,3049287.846469347,1208465.0
39,,3102797.648455195,2028,3102797.648455195,1208465.0,4396228.937681486,3948526.910169825,3102797.648455195,1208465.0
40,,3154978.732174348,2029,3154978.732174348,1208465.0,4448410.027882876,4000707.998127485,3154978.732174348,1208465.0
41,,3205864.091436663,2030,3205864.091436663,1208465.0,4499295.393628316,4051593.361628887,3205864.091436663,1208465.0
42,,3255485.90077261,2031,3255485.90077261,1208465.0,4548917.209448255,4101215.175204488,3255485.90077261,1208465.0
43,,3303875.535777047,2032,3303875.535777047,1208465.0,4597306.850937528,4149604.814449132,3303875.535777047,1208465.0
44,,3351063.592947836,2033,3351063.592947836,1208465.0,4644494.914593976,4196792.875860666,3351063.592947836,1208465.0
45,,3397079.909031837,2034,3397079.909031837,1208465.0,4690511.237164441,4242809.196185937,3397079.909031837,1208465.0
46,,3441953.57989052,2035,3441953.57989052,1208465.0,4735384.91451037,4287682.871286403,3441953.57989052,1208465.0
47,,3485712.978897117,2036,3485712.978897117,1208465.0,4779144.320004977,4331442.274535282,3485712.978897117,1208465.0
48,,3528385.774876943,2037,3528385.774876943,1208465.0,4821817.122473559,4374115.074757877,3528385.774876943,1208465.0
49,,3569998.94960225,2038,3569998.94960225,1208465.0,4863430.303688347,4415728.253726428,3569998.94960225,1208465.0
50,,3610578.814852643,2039,3610578.814852643,1208465.0,4904010.175428933,4456308.123220529,3610578.814852643,1208465.0
51,,3650151.02905188,2040,3650151.02905188,1208465.0,4943582.396119051,4495880.341663926,3650151.02905188,1208465.0
52,,3688740.613491545,2041,3688740.613491545,1208465.0,4982171.987050272,4534469.93034819,3688740.613491545,1208465.0
53,,3726371.968151875,2042,3726371.968151875,1208465.0,5019803.348202814,4572101.289253551,3726371.968151875,1208465.0
54,,3763068.887129732,2043,3763068.887129732,1208465.0,5056500.273673525,4608798.212476856,3763068.887129732,1208465.0
