...1,historical,fitted,year,Trend,Static,AgS1,AgS2,AgS3,AgS4
1,9.0,5.595218741129327,1990,,60.0,9.0,9.0,9.0,9.0
2,90.0,13.69522130677613,1991,,60.0,90.0,90.0,90.0,90.0
3,8.0,21.64052137820278,1992,,60.0,8.0,8.0,8.0,8.0
4,7.0,29.41807339407403,1993,,60.0,7.0,7.0,7.0,7.0
5,12.0,37.03916911368638,1994,,60.0,12.0,12.0,12.0,12.0
6,64.0,44.50753572780388,1995,,60.0,64.0,64.0,64.0,64.0
7,1.0,51.83093828566555,1996,,60.0,1.0,1.0,1.0,1.0
8,5.0,59.00087893889955,1997,,60.0,5.0,5.0,5.0,5.0
9,12.0,66.02700159391836,1998,,60.0,12.0,12.0,12.0,12.0
10,0.0,72.9124906523488,1999,,60.0,0.0,0.0,0.0,0.0
11,726.0,79.65827261215918,2000,,60.0,726.0,726.0,726.0,726.0
12,14.0,86.340924863745,2001,,60.0,14.0,14.0,14.0,14.0
13,9.0,92.81934777958766,2002,,60.0,9.0,9.0,9.0,9.0
14,6.0,99.16690889154255,2003,,60.0,6.0,6.0,6.0,6.0
15,19.0,105.3864154734159,2004,,60.0,19.0,19.0,19.0,19.0
16,23.0,111.4820227925889,2005,,60.0,23.0,23.0,23.0,23.0
17,9.0,117.4553347646918,2006,,60.0,9.0,9.0,9.0,9.0
18,24.0,123.3070051392475,2007,,60.0,24.0,24.0,24.0,24.0
19,58.0,129.0423390553965,2008,,60.0,58.0,58.0,58.0,58.0
20,15.0,134.6655934496057,2009,,60.0,15.0,15.0,15.0,15.0
21,60.0,140.1713771730903,2010,,60.0,60.0,60.0,60.0,60.0
22,,145.5707545268666,2011,145.5707545268666,60.0,574.455477432492,426.0034014598408,145.5707545268666,60.0
23,,150.8562427048842,2012,150.8562427048842,60.0,579.7409656105096,431.2888896378584,150.8562427048842,60.0
24,,156.1289252116234,2013,156.1289252116234,60.0,585.0136481172487,436.5615721445976,156.1289252116234,60.0
25,,161.2122144884282,2014,161.2122144884282,60.0,590.0969373940536,441.6448614214025,161.2122144884282,60.0
26,,166.1853059698392,2015,166.1853059698392,60.0,595.0700288754647,446.6179529028134,166.1853059698392,60.0
27,,171.0731664186418,2016,171.0731664186418,60.0,599.9578914691112,451.5058147540541,171.0731664186418,60.0
28,,175.8632696584683,2017,175.8632696584683,60.0,604.7479968541936,456.2959193965881,175.8632696584683,60.0
29,,180.5575708334983,2018,180.5575708334983,60.0,609.4423001748833,460.9902219745895,180.5575708334983,60.0
30,,185.1579859850278,2019,185.1579859850278,60.0,614.042717472468,465.5906385293491,185.1579859850278,60.0
31,,189.6663928335266,2020,189.6663928335266,60.0,618.55112646741,470.0990467813317,189.6663928335266,60.0
32,,194.0846315450554,2021,194.0846315450554,60.0,622.9693673257622,474.5172868965929,194.0846315450554,60.0
33,,198.4145054823537,2022,198.4145054823537,60.0,627.2992434102563,478.847162237867,198.4145054823537,60.0
34,,202.657781940906,2023,202.657781940906,60.0,631.5425220163695,483.0904401006339,202.657781940906,60.0
35,,206.8161928702873,2024,206.8161928702873,60.0,635.7009350936695,487.2488524344639,206.8161928702873,60.0
36,,210.8914355810809,2025,210.8914355810809,60.0,639.7761799527327,491.3240965499353,210.8914355810809,60.0
37,,214.8851734376587,2026,214.8851734376587,60.0,643.7699199579238,495.3178358114159,214.8851734376587,60.0
38,,218.7990365371049,2027,218.7990365371049,60.0,647.68378520632,499.231700315985,218.7990365371049,60.0
39,,222.6346223745622,2028,222.6346223745622,60.0,651.5193731930577,503.0672875587811,222.6346223745622,60.0
40,,226.3934964952703,2029,226.3934964952703,60.0,655.2782494633698,506.8261630850398,226.3934964952703,60.0
41,,230.0771931335643,2030,230.0771931335643,60.0,658.9619482515848,510.5098611290915,230.0771931335643,60.0
42,,233.6872158390923,2031,233.6872158390923,60.0,662.5719731073445,514.1198852405806,233.6872158390923,60.0
43,,237.2250380905099,2032,237.2250380905099,60.0,666.1097975092987,517.6577088981584,237.2250380905099,60.0
44,,240.6921038968991,2033,240.6921038968991,60.0,669.5768654665229,521.124776110903,240.6921038968991,60.0
45,,244.0898283871605,2034,244.0898283871605,60.0,672.9745921079119,524.5225020077112,244.0898283871605,60.0
46,,247.4195983876166,2035,247.4195983876166,60.0,676.3043642597826,527.8522734149017,247.4195983876166,60.0
47,,250.6827729880637,2036,250.6827729880637,60.0,679.5675410119251,531.1154494222667,250.6827729880637,60.0
48,,253.8806840965018,2037,253.8806840965018,60.0,682.7654542723342,534.313361937803,253.8806840965018,60.0
49,,257.0146369827711,2038,257.0146369827711,60.0,685.8994093108442,537.447316231347,257.0146369827711,60.0
50,,260.085910811315,2039,260.085910811315,60.0,688.9706852918938,540.5185914673386,260.085910811315,60.0
51,,263.0957591632881,2040,263.0957591632881,60.0,691.9805357966316,543.5284412269289,263.0957591632881,60.0
52,,266.0454105482217,2041,266.0454105482217,60.0,694.930189334584,546.4780940196458,266.0454105482217,60.0
53,,268.9360689054566,2042,268.9360689054566,60.0,697.820849845087,549.368753784827,268.9360689054566,60.0
54,,271.7689140955469,2043,271.7689140955469,60.0,700.6536971886893,552.2016003830231,271.7689140955469,60.0
55,,274.5451023818354,2044,274.5451023818354,60.0,703.4298876287291,554.9777900775739,274.5451023818354,60.0
56,,277.265766902398,2045,277.265766902398,60.0,706.1505543032774,557.6984560065521,277.265766902398,60.0
57,,279.9320181325494,2046,279.9320181325494,60.0,708.8168076876443,560.3647086452693,279.9320181325494,60.0
58,,282.5449443380978,2047,282.5449443380978,60.0,711.4297360476335,562.9776362595309,282.5449443380978,60.0
59,,285.1056120195352,2048,285.1056120195352,60.0,713.9904058837324,565.5383053498256,285.1056120195352,60.0
60,,287.6150663473439,2049,287.6150663473439,60.0,716.4998623664187,568.047761086633,287.6150663473439,60.0
61,,290.0743315885964,2050,290.0743315885964,60.0,718.959129762761,570.507027737023,290.0743315885964,60.0
