...1,historical,fitted,year,Trend,Static,AgS1,AgS2,AgS3,AgS4
1,5288.25,1185.239246516392,1990,,32804.0,5288.25,5288.25,5288.25,5288.25
2,5041.55,9363.102830972715,1991,,32804.0,5041.55,5041.55,5041.55,5041.55
3,6789.650000000001,5342.350106910879,1992,,32804.0,6789.650000000001,6789.650000000001,6789.650000000001,6789.650000000001
4,8328.25,8021.059018743815,1993,,32804.0,8328.25,8328.25,8328.25,8328.25
5,7687.95,9523.858166296106,1994,,32804.0,7687.95,7687.95,7687.95,7687.95
6,5960.349999999999,7387.226514419968,1995,,32804.0,5960.349999999999,5960.349999999999,5960.349999999999,5960.349999999999
7,8303.1,4742.49566323389,1996,,32804.0,8303.1,8303.1,8303.1,8303.1
8,10429.9,9767.013309921458,1997,,32804.0,10429.9,10429.9,10429.9,10429.9
9,14858.45,12055.26199202901,1998,,32804.0,14858.45,14858.45,14858.45,14858.45
10,32070.7,18078.42292062274,1999,,32804.0,32070.7,32070.7,32070.7,32070.7
11,40727.1,44228.84961618415,2000,,32804.0,40727.1,40727.1,40727.1,40727.1
12,55388.0,48056.73200839384,2001,,32804.0,55388.0,55388.0,55388.0,55388.0
13,64939.95,66271.89648233079,2002,,32804.0,64939.95,64939.95,64939.95,64939.95
14,61045.64999999999,72735.53333970402,2003,,32804.0,61045.64999999999,61045.64999999999,61045.64999999999,61045.64999999999
15,50050.1,59276.7481954943,2004,,32804.0,50050.1,50050.1,50050.1,50050.1
16,46624.4,42315.61115324948,2005,,32804.0,46624.4,46624.4,46624.4,46624.4
17,47287.2,43386.74038052766,2006,,32804.0,47287.2,47287.2,47287.2,47287.2
18,43112.3,47368.46170122282,2007,,32804.0,43112.3,43112.3,43112.3,43112.3
19,38300.35,40262.99101142213,2008,,32804.0,38300.35,38300.35,38300.35,38300.35
20,31928.8,34676.54074679167,2009,,32804.0,31928.8,31928.8,31928.8,31928.8
21,32804.0,27147.93571593572,2010,,32804.0,32804.0,32804.0,32804.0,32804.0
22,,32852.37599833408,2011,32852.37599833408,32804.0,42937.80225875517,39446.88177251053,32852.37599833408,32804.0
23,,34580.07883584932,2012,34580.07883584932,32804.0,44665.50509627042,41174.58461002578,34580.07883584932,32804.0
24,,31785.16007101186,2013,31785.16007101186,32804.0,41870.58633143296,38379.66584518832,31785.16007101186,32804.0
25,,33972.40307497612,2014,33972.40307497612,32804.0,44057.82933539721,40566.90884915257,33972.40307497612,32804.0
26,,29212.18677913512,2015,29212.18677913512,32804.0,39297.61303955621,35806.69255331157,29212.18677913512,32804.0
27,,27859.05067419721,2016,27859.05067419721,32804.0,47618.66230002011,40779.16625457058,27859.05067419721,32804.0
28,,26776.54179024689,2017,26776.54179024689,32804.0,56734.8735099878,46365.24200075008,26776.54179024689,32804.0
29,,25910.53468308663,2018,25910.53468308663,32804.0,66199.49896527099,52254.0724507566,25910.53468308663,32804.0
30,,25217.72899735842,2019,25217.72899735842,32804.0,75734.59962446264,58248.93525892247,25217.72899735842,32804.0
31,,24663.48444877585,2020,24663.48444877585,32804.0,85171.02854658561,64227.24096545707,24663.48444877585,32804.0
32,,24220.0888099098,2021,24220.0888099098,32804.0,94407.43076405177,70113.12494335342,24220.0888099098,32804.0
33,,23865.37229881696,2022,23865.37229881696,32804.0,103385.5185369397,75860.80114733063,23865.37229881696,32804.0
34,,23581.59908994268,2023,23581.59908994268,32804.0,112074.7537625914,81444.1627927788,23581.59908994268,32804.0
35,,23354.58052284327,2024,23354.58052284327,32804.0,120462.5630575228,86850.0773920884,23354.58052284327,32804.0
36,,23172.96566916373,2025,23172.96566916373,32804.0,128547.9425346142,92073.95958351612,23172.96566916373,32804.0
37,,23027.6737862201,2026,23027.6737862201,32804.0,136337.2138402701,97116.79970527794,23027.6737862201,32804.0
38,,22911.4402798652,2027,22911.4402798652,32804.0,143841.1828955227,101983.148838005,22911.4402798652,32804.0
39,,22818.45347478128,2028,22818.45347478128,32804.0,151073.2317059465,106679.7453797429,22818.45347478128,32804.0
40,,22744.06403071414,2029,22744.06403071414,32804.0,158048.0398075968,111214.5784631333,22744.06403071414,32804.0
41,,22684.55247546043,2030,22684.55247546043,32804.0,164780.7347824716,115596.2520423254,22684.55247546043,32804.0
42,,22636.94323125746,2031,22636.94323125746,32804.0,171286.3369301356,119833.5574112665,22636.94323125746,32804.0
43,,22598.85583589508,2032,22598.85583589508,32804.0,177579.4061284716,123935.1908007564,22598.85583589508,32804.0
44,,22568.38591960519,2033,22568.38591960519,32804.0,183673.8275660121,127909.5720782673,22568.38591960519,32804.0
45,,22544.00998657327,2034,22544.00998657327,32804.0,189582.6924409467,131764.7337827532,22544.00998657327,32804.0
46,,22524.50924014773,2035,22524.50924014773,32804.0,195318.2430394967,135508.2588465564,22524.50924014773,32804.0
47,,22508.9086430073,2036,22508.9086430073,32804.0,200891.8608319902,139147.2517184317,22508.9086430073,32804.0
48,,22496.42816529496,2037,22496.42816529496,32804.0,206314.0826644415,142688.3320759168,22496.42816529496,32804.0
49,,22486.44378312508,2038,22486.44378312508,32804.0,211594.6346437662,146137.6434818964,22486.44378312508,32804.0
50,,22478.45627738918,2039,22478.45627738918,32804.0,216742.4765006852,149500.8715921156,22478.45627738918,32804.0
51,,22472.06627280046,2040,22472.06627280046,32804.0,221765.8514652979,152783.2681272011,22472.06627280046,32804.0
52,,22466.95426912949,2041,22466.95426912949,32804.0,226672.3382820799,155989.677971548,22466.95426912949,32804.0
53,,22462.86466619271,2042,22462.86466619271,32804.0,231468.9031158643,159124.5675833045,22462.86466619271,32804.0
54,,22459.59298384329,2043,22459.59298384329,32804.0,236161.9498931728,162192.0534871885,22459.59298384329,32804.0
55,,22456.97563796375,2044,22456.97563796375,32804.0,240757.3681794116,165195.9300408149,22456.97563796375,32804.0
