...1,historical,fitted,year,Trend,Static,AgS1,AgS2,AgS3,AgS4
1,302.0,1128.162720078406,1990,,249.0,302.0,302.0,302.0,302.0
2,301.0,1186.442838270447,1991,,249.0,301.0,301.0,301.0,301.0
3,1695.0,1179.952575726194,1992,,249.0,1695.0,1695.0,1695.0,1695.0
4,543.0,1287.66882393367,1993,,249.0,543.0,543.0,543.0,543.0
5,3171.0,1265.76097242676,1994,,249.0,3171.0,3171.0,3171.0,3171.0
6,1079.0,1519.84064021333,1995,,249.0,1079.0,1079.0,1079.0,1079.0
7,1806.0,1587.772494634449,1996,,249.0,1806.0,1806.0,1806.0,1806.0
8,581.0,1701.613728325992,1997,,249.0,581.0,581.0,581.0,581.0
9,1011.0,1656.864897378633,1998,,249.0,1011.0,1011.0,1011.0,1011.0
10,658.0,1602.563301402077,1999,,249.0,658.0,658.0,658.0,658.0
11,373.0,1475.898680641863,2000,,249.0,373.0,373.0,373.0,373.0
12,2448.0,1281.367122342257,2001,,249.0,2448.0,2448.0,2448.0,2448.0
13,2419.0,1309.310879618087,2002,,249.0,2419.0,2419.0,2419.0,2419.0
14,556.0,1401.874500304158,2003,,249.0,556.0,556.0,556.0,556.0
15,1173.0,1319.514816907815,2004,,249.0,1173.0,1173.0,1173.0,1173.0
16,1362.0,1275.602711875765,2005,,249.0,1362.0,1362.0,1362.0,1362.0
17,455.0,1254.534737130926,2006,,249.0,455.0,455.0,455.0,455.0
18,468.0,1133.406140958477,2007,,249.0,468.0,468.0,468.0,468.0
19,312.0,988.5777848278043,2008,,249.0,312.0,312.0,312.0,312.0
20,83.0,813.0462615354096,2009,,249.0,83.0,83.0,83.0,83.0
21,249.0,603.7013113296209,2010,,249.0,249.0,249.0,249.0,249.0
22,,412.1441201513052,2011,412.1441201513052,249.0,1979.922869575772,1437.259544006391,412.1441201513052,249.0
23,,208.1330241500349,2012,208.1330241500349,249.0,1775.911773574502,1233.248448005121,208.1330241500349,249.0
24,,20.82928547254849,2013,20.82928547254849,249.0,1588.608034897015,1045.944709327635,20.82928547254849,249.0
25,,0.0,2014,0.0,249.0,1466.60494353001,923.9416179606299,0.0,249.0
26,,0.0,2015,0.0,249.0,1394.36723667623,851.7039111068493,0.0,249.0
27,,0.0,2016,0.0,249.0,1313.135073492439,766.4978265806067,0.0,249.0
28,,0.0,2017,0.0,249.0,1252.018734247,697.2946030715884,0.0,249.0
29,,0.0,2018,0.0,249.0,1212.366148814199,644.7225280662799,0.0,249.0
30,,0.0,2019,0.0,249.0,1194.275310223201,608.6150734923415,0.0,249.0
31,,0.0,2020,0.0,249.0,1196.835744514265,588.1667885699352,0.0,249.0
32,,0.0,2021,0.0,249.0,1218.427509130336,582.1269857856648,0.0,249.0
33,,0.0,2022,0.0,249.0,1257.022817418367,588.9953054833732,0.0,249.0
34,,0.0,2023,0.0,249.0,1310.441136484958,607.1870054710246,0.0,249.0
35,,0.0,2024,0.0,249.0,1376.533595028714,635.1521629923963,0.0,249.0
36,,0.0,2025,0.0,249.0,1453.296857873294,671.4488796324317,0.0,249.0
37,,0.0,2026,0.0,249.0,1538.930475463634,714.7796378167645,0.0,249.0
38,,0.0,2027,0.0,249.0,1631.855356214185,764.0023383532155,0.0,249.0
39,,0.0,2028,0.0,249.0,1730.708761619739,818.126079467013,0.0,249.0
40,,0.0,2029,0.0,249.0,1834.327014933457,876.2989863950522,0.0,249.0
41,,0.0,2030,0.0,249.0,1941.723120895669,937.7927902411564,0.0,249.0
42,,0.0,2031,0.0,249.0,2052.063482551583,1001.986886380208,0.0,249.0
43,,0.0,2032,0.0,249.0,2164.645902349451,1068.353296328692,0.0,249.0
44,,0.0,2033,0.0,249.0,2278.879840602813,1136.443163688195,0.0,249.0
45,,0.0,2034,0.0,249.0,2394.269220656905,1205.874968195049,0.0,249.0
46,,0.0,2035,0.0,249.0,2510.397715631223,1276.324410592931,0.0,249.0
47,,0.0,2036,0.0,249.0,2626.916289064864,1347.515815179806,0.0,249.0
48,,0.0,2037,0.0,249.0,2743.532704875875,1419.214860045741,0.0,249.0
49,,0.0,2038,0.0,249.0,2860.0027195424,1491.22244372765,0.0,249.0
50,,0.0,2039,0.0,249.0,2976.122692281183,1563.369512275123,0.0,249.0
51,,0.0,2040,0.0,249.0,3091.723381491875,1635.512692255,0.0,249.0
52,,0.0,2041,0.0,249.0,3206.664729773062,1707.530597740441,0.0,249.0
53,,0.0,2042,0.0,249.0,3320.831471587185,1779.320700343029,0.0,249.0
54,,0.0,2043,0.0,249.0,3434.129425639457,1850.796669864471,0.0,249.0
55,,0.0,2044,0.0,249.0,3546.482357899439,1921.886108946215,0.0,249.0
56,,0.0,2045,0.0,249.0,3657.829321150904,1992.52861832514,0.0,249.0
57,,0.0,2046,0.0,249.0,3768.122393454129,2062.674140255906,0.0,249.0
58,,0.0,2047,0.0,249.0,3877.324751454082,2132.281536669949,0.0,249.0
59,,0.0,2048,0.0,249.0,3985.409025557358,2201.317366028822,0.0,249.0
60,,0.0,2049,0.0,249.0,4092.355893066263,2269.754828881649,0.0,249.0
61,,0.0,2050,0.0,249.0,4198.152872771406,2337.572857097145,0.0,249.0
