...1,historical,fitted,year,Trend,Static,AgS1,AgS2,AgS3,AgS4
1,13416.0,11658.10578438339,1990,,47012.0,13416.0,13416.0,13416.0,13416.0
2,14818.0,15733.48460137625,1991,,47012.0,14818.0,14818.0,14818.0,14818.0
3,16306.0,16962.43950555836,1992,,47012.0,16306.0,16306.0,16306.0,16306.0
4,18507.0,18290.07893820725,1993,,47012.0,18507.0,18507.0,18507.0,18507.0
5,23031.0,20342.72155341906,1994,,47012.0,23031.0,23031.0,23031.0,23031.0
6,26581.0,24729.51508468372,1995,,47012.0,26581.0,26581.0,26581.0,26581.0
7,25828.0,28152.7986970467,1996,,47012.0,25828.0,25828.0,25828.0,25828.0
8,30558.0,27282.50723754039,1997,,47012.0,30558.0,30558.0,30558.0,30558.0
9,34013.0,31903.55411160528,1998,,47012.0,34013.0,34013.0,34013.0,34013.0
10,37363.0,35258.27131217891,1999,,47012.0,37363.0,37363.0,37363.0,37363.0
11,37353.0,38515.37604602374,2000,,47012.0,37353.0,37353.0,37353.0,37353.0
12,44889.0,38419.44801740481,2001,,47012.0,44889.0,44889.0,44889.0,44889.0
13,49196.0,45875.58305976247,2002,,47012.0,49196.0,49196.0,49196.0,49196.0
14,65059.0,50109.41712529631,2003,,47012.0,65059.0,65059.0,65059.0,65059.0
15,65216.0,65904.34139285292,2004,,47012.0,65216.0,65216.0,65216.0,65216.0
16,58384.0,65999.54683472145,2005,,47012.0,58384.0,58384.0,58384.0,58384.0
17,44272.0,59108.97588556429,2006,,47012.0,44272.0,44272.0,44272.0,44272.0
18,37086.0,44942.19577239526,2007,,47012.0,37086.0,37086.0,37086.0,37086.0
19,26058.0,37704.7896531165,2008,,47012.0,26058.0,26058.0,26058.0,26058.0
20,43962.0,26629.900024642,2009,,47012.0,43962.0,43962.0,43962.0,43962.0
21,47012.0,44489.94745317323,2010,,47012.0,47012.0,47012.0,47012.0,47012.0
22,,47502.07213138538,2011,47502.07213138538,47012.0,62514.5640209261,57318.21295617784,47502.07213138538,47012.0
23,,46425.68771925326,2012,46425.68771925326,47012.0,61438.17960879397,56241.82854404571,46425.68771925326,47012.0
24,,51242.60348564392,2013,51242.60348564392,47012.0,66255.09537518464,61058.74431043638,51242.60348564392,47012.0
25,,54840.62411838954,2014,54840.62411838954,47012.0,69853.11600793025,64656.764943182,54840.62411838954,47012.0
26,,36919.01114186791,2015,36919.01114186791,47012.0,51931.50303140863,46735.15196666037,36919.01114186791,47012.0
27,,37250.42262928471,2016,37250.42262928471,47012.0,58481.21282400205,51132.4901705278,37250.42262928471,47012.0
28,,37557.0635929581,2017,37557.0635929581,47012.0,63560.07453615248,54559.51855946828,37557.0635929581,47012.0
29,,37840.78544380719,2018,37840.78544380719,47012.0,67867.48038515923,57474.18596226118,37840.78544380719,47012.0
