...1,historical,fitted,year,Trend,Static,AgS1,AgS2,AgS3,AgS4
1,399.0,225.8331809478842,1990,,686.0,399.0,399.0,399.0,399.0
2,89.0,271.3803390704459,1991,,686.0,89.0,89.0,89.0,89.0
3,123.0,314.3560182749877,1992,,686.0,123.0,123.0,123.0,123.0
4,345.0,354.936121607244,1993,,686.0,345.0,345.0,345.0,345.0
5,207.0,393.2730692022814,1994,,686.0,207.0,207.0,207.0,207.0
6,345.0,429.4570335394262,1995,,686.0,345.0,345.0,345.0,345.0
7,390.0,463.634765642742,1996,,686.0,390.0,390.0,390.0,390.0
8,318.0,495.9094765162997,1997,,686.0,318.0,318.0,318.0,318.0
9,197.0,526.3757102892314,1998,,686.0,197.0,197.0,197.0,197.0
10,592.0,555.1288942013744,1999,,686.0,592.0,592.0,592.0,592.0
11,2296.0,582.3153728818512,2000,,686.0,2296.0,2296.0,2296.0,2296.0
12,7.0,608.1555211531725,2001,,686.0,7.0,7.0,7.0,7.0
13,60.0,632.3344792619823,2002,,686.0,60.0,60.0,60.0,60.0
14,0.0,655.1662454155331,2003,,686.0,0.0,0.0,0.0,0.0
15,37.0,676.7148500164678,2004,,686.0,37.0,37.0,37.0,37.0
16,251.0,697.0611297410373,2005,,686.0,251.0,251.0,251.0,251.0
17,1446.0,716.2899598388132,2006,,686.0,1446.0,1446.0,1446.0,1446.0
18,1138.0,734.5628815136353,2007,,686.0,1138.0,1138.0,1138.0,1138.0
19,2037.0,751.7894783052832,2008,,686.0,2037.0,2037.0,2037.0,2037.0
20,1779.0,768.1470241318066,2009,,686.0,1779.0,1779.0,1779.0,1779.0
21,686.0,783.5732190385282,2010,,686.0,686.0,686.0,686.0,686.0
22,,798.0349919877492,2011,798.0349919877492,686.0,1986.173917244457,1574.917277457161,798.0349919877492,686.0
23,,811.6891819633389,2012,811.6891819633389,686.0,1999.828107220046,1588.571467432751,811.6891819633389,686.0
24,,824.5913652479364,2013,824.5913652479364,686.0,2012.730290504644,1601.473650717348,824.5913652479364,686.0
25,,836.720405975626,2014,836.720405975626,686.0,2024.859331232333,1613.602691445038,836.720405975626,686.0
26,,848.1549130568519,2015,848.1549130568519,686.0,2036.293838313559,1625.037198526264,848.1549130568519,686.0
27,,859.0208816787441,2016,859.0208816787441,686.0,2047.159812877268,1635.903171033301,859.0208816787441,686.0
28,,869.2816372530353,2017,869.2816372530353,686.0,2057.420574394435,1646.16393049343,869.2816372530353,686.0
29,,878.9708889542809,2018,878.9708889542809,686.0,2067.109832039558,1655.853186081168,878.9708889542809,686.0
30,,888.1204684224161,2019,888.1204684224161,686.0,2076.259417452515,1665.002769436413,888.1204684224161,686.0
31,,896.7604343377366,2020,896.7604343377366,686.0,2084.89938931355,1673.642739239427,896.7604343377366,686.0
32,,904.9191711712572,2021,904.9191711712572,686.0,2093.058132093627,1681.801479961192,904.9191711712572,686.0
33,,912.6234824348713,2022,912.6234824348713,686.0,2100.762449304595,1689.505795113572,912.6234824348713,686.0
34,,919.8986787376597,2023,919.8986787376597,686.0,2108.037651555488,1696.780995305617,919.8986787376597,686.0
35,,926.7686609376359,2024,926.7686609376359,686.0,2114.907639704278,1703.650981395313,926.7686609376359,686.0
36,,933.2559986621039,2025,933.2559986621039,686.0,2121.394983378231,1710.13832300994,933.2559986621039,686.0
37,,939.3820044545865,2026,939.3820044545865,686.0,2127.520995120831,1716.264332692996,939.3820044545865,686.0
38,,945.1668037919153,2027,945.1668037919153,686.0,2133.305800408875,1722.049135921288,945.1668037919153,686.0
39,,950.629401201507,2028,950.629401201507,686.0,2138.768403769747,1727.511737222213,950.629401201507,686.0
40,,955.7877426960379,2029,955.7877426960379,686.0,2143.926751216091,1732.670082608425,955.7877426960379,686.0
41,,960.6587747306296,2030,960.6587747306296,686.0,2148.797789202999,1737.541118535027,960.6587747306296,686.0
42,,965.2584998762361,2031,965.2584998762361,686.0,2153.397520301397,1742.140847572955,965.2584998762361,686.0
43,,969.6020293921322,2032,969.6020293921322,686.0,2157.741055770534,1746.484380981466,969.6020293921322,686.0
44,,973.7036328702185,2033,973.7036328702185,686.0,2161.842665202285,1750.585988352444,973.7036328702185,686.0
45,,977.576785114236,2034,977.576785114236,686.0,2165.715823400368,1754.459144489616,977.576785114236,686.0
46,,981.2342104079014,2035,981.2342104079014,686.0,2169.373254648476,1758.116573676682,981.2342104079014,686.0
47,,984.6879243173933,2036,984.6879243173933,686.0,2172.826974512768,1761.570291479809,984.6879243173933,686.0
48,,987.9492731655233,2037,987.9492731655233,686.0,2176.088329316035,1764.831644221794,987.9492731655233,686.0
49,,991.0289713072737,2038,991.0289713072737,686.0,2179.168033413241,1767.911346257607,991.0289713072737,686.0
50,,993.9371363291598,2039,993.9371363291598,686.0,2182.076204390884,1770.819515173753,993.9371363291598,686.0
51,,996.6833222880588,2040,996.6833222880588,686.0,2184.822396305822,1773.565705027097,996.6833222880588,686.0
52,,999.2765510986999,2041,999.2765510986999,686.0,2187.415631072771,1776.158937732358,999.2765510986999,686.0
53,,1001.725342172934,2042,1001.725342172934,686.0,2189.864428103567,1778.607732701379,1001.725342172934,686.0
54,,1004.037740408154,2043,1004.037740408154,686.0,2192.176832295588,1780.920134831542,1004.037740408154,686.0
55,,1006.221342616817,2044,1006.221342616817,686.0,2194.360440461276,1783.103740935294,1006.221342616817,686.0
56,,1008.283322483888,2045,1008.283322483888,686.0,2196.422426285586,1785.165724697594,1008.283322483888,686.0
57,,1010.230454134213,2046,1010.230454134213,686.0,2198.369563893352,1787.11286024328,1010.230454134213,686.0
58,,1012.069134387227,2047,1012.069134387227,686.0,2200.208250103998,1788.95154439178,1012.069134387227,686.0
59,,1013.805403772126,2048,1013.805403772126,686.0,2201.944525446706,1790.687817672282,1013.805403772126,686.0
60,,1015.444966372526,2049,1015.444966372526,686.0,2203.584094005085,1792.327384168395,1015.444966372526,686.0
61,,1016.993208565822,2050,1016.993208565822,686.0,2205.132342156522,1793.87563025751,1016.993208565822,686.0
