...1,historical,fitted,year,Trend,Static,AgS1,AgS2,AgS3,AgS4
1,1517.1,0.0,1990,,29496.6,1517.1,1517.1,1517.1,1517.1
2,2536.2,1545.456826800561,1991,,29496.6,2536.2,2536.2,2536.2,2536.2
3,3220.45,3626.210140405558,1992,,29496.6,3220.45,3220.45,3220.45,3220.45
4,7383.499999999999,5664.537918421415,1993,,29496.6,7383.499999999999,7383.499999999999,7383.499999999999,7383.499999999999
5,6900.3,7661.651695407703,1994,,29496.6,6900.3,6900.3,6900.3,6900.3
6,5555.65,9617.932868518084,1995,,29496.6,5555.65,5555.65,5555.65,5555.65
7,9960.2,11534.12415847657,1996,,29496.6,9960.2,9960.2,9960.2,9960.2
8,16379.5,13411.61257110202,1997,,29496.6,16379.5,16379.5,16379.5,16379.5
9,19678.5,15251.39512579507,1998,,29496.6,19678.5,19678.5,19678.5,19678.5
10,20576.6,17053.93911757844,1999,,29496.6,20576.6,20576.6,20576.6,20576.6
11,19466.2,18819.76794971851,2000,,29496.6,19466.2,19466.2,19466.2,19466.2
12,24733.8,20549.42875275841,2001,,29496.6,24733.8,24733.8,24733.8,24733.8
13,23165.3,22244.29218850736,2002,,29496.6,23165.3,23165.3,23165.3,23165.3
14,22604.15,23904.39248437022,2003,,29496.6,22604.15,22604.15,22604.15,22604.15
15,20894.2,25530.53370139169,2004,,29496.6,20894.2,20894.2,20894.2,20894.2
16,24409.85,27123.28997099182,2005,,29496.6,24409.85,24409.85,24409.85,24409.85
17,22341.55,28683.85892468896,2006,,29496.6,22341.55,22341.55,22341.55,22341.55
18,30981.3,30212.34341297815,2007,,29496.6,30981.3,30981.3,30981.3,30981.3
19,33538.0,31710.46220797441,2008,,29496.6,33538.0,33538.0,33538.0,33538.0
20,33652.3,33178.24163695746,2009,,29496.6,33652.3,33652.3,33652.3,33652.3
21,29496.6,34616.05922979808,2010,,29496.6,29496.6,29496.6,29496.6,29496.6
22,,36024.09710228341,2011,36024.09710228341,29496.6,41823.50985142522,39816.12927559201,36024.09710228341,29496.6
23,,37403.91533825842,2012,37403.91533825842,29496.6,43203.32808740022,41195.94751156701,37403.91533825842,29496.6
24,,38756.06196229003,2013,38756.06196229003,29496.6,44555.47471143183,42548.09413559862,38756.06196229003,29496.6
25,,40080.43621384735,2014,40080.43621384735,29496.6,45879.84896298916,43872.46838715595,40080.43621384735,29496.6
26,,41378.39004227668,2015,41378.39004227668,29496.6,47177.80279141849,45170.42221558528,41378.39004227668,29496.6
27,,42649.50842237368,2016,42649.50842237368,29496.6,48448.92120051823,46441.54061464615,42649.50842237368,29496.6
28,,43894.79340838625,2017,43894.79340838625,29496.6,49694.20621553911,47686.82561962624,43894.79340838625,29496.6
29,,45114.77002163448,2018,45114.77002163448,29496.6,50914.18285780111,48906.80225184555,45114.77002163448,29496.6
30,,46309.95261324215,2019,46309.95261324215,29496.6,52109.36547842789,50101.98486242779,46309.95261324215,29496.6
31,,47480.84508099094,2020,47480.84508099094,29496.6,53280.25797520103,51272.87734915459,47480.84508099094,29496.6
32,,48627.94108176744,2021,48627.94108176744,29496.6,54427.35400500701,52419.97336891244,48627.94108176744,29496.6
33,,49751.72423969254,2022,49751.72423969254,29496.6,55551.1371919666,53543.75654582217,49751.72423969254,29496.6
34,,50852.66835002088,2023,50852.66835002088,29496.6,56652.08133133437,54644.70067513838,50852.66835002088,29496.6
35,,51931.23757889651,2024,51931.23757889651,29496.6,57730.65058925425,55723.26992300502,51931.23757889651,29496.6
36,,52987.88665904864,2025,52987.88665904864,29496.6,58787.29969845536,56779.91902215126,52987.88665904864,29496.6
37,,54023.0610815104,2026,54023.0610815104,29496.6,59822.47414997072,57815.09346361015,54023.0610815104,29496.6
38,,55037.19728344108,2027,55037.19728344108,29496.6,60836.61038095955,58829.22968454094,55037.19728344108,29496.6
39,,56030.7228321313,2028,56030.7228321313,29496.6,61830.13595871236,59822.75525223416,56030.7228321313,29496.6
