...1,historical,fitted,year,Trend,Static,AgS1,AgS2,AgS3,AgS4
1,318562.0,355266.2157599189,1990,,775516.0,318562.0,318562.0,318562.0,318562.0
2,284210.0,346442.8693624625,1991,,775516.0,284210.0,284210.0,284210.0,284210.0
3,418325.0,323513.656726354,1992,,775516.0,418325.0,418325.0,418325.0,418325.0
4,496627.0,385756.1004082676,1993,,775516.0,496627.0,496627.0,496627.0,496627.0
5,498616.0,456522.1392008502,1994,,775516.0,498616.0,498616.0,498616.0,498616.0
6,178583.0,489686.7188016183,1995,,775516.0,178583.0,178583.0,178583.0,178583.0
7,494529.0,330596.082632282,1996,,775516.0,494529.0,494529.0,494529.0,494529.0
8,645129.0,429589.8756667016,1997,,775516.0,645129.0,645129.0,645129.0,645129.0
9,358633.0,556456.1088509161,1998,,775516.0,358633.0,358633.0,358633.0,358633.0
10,383486.0,458373.7227256073,1999,,775516.0,383486.0,383486.0,383486.0,383486.0
11,639611.0,426937.6839355823,2000,,775516.0,639611.0,639611.0,639611.0,639611.0
12,599782.0,551673.9419994125,2001,,775516.0,599782.0,599782.0,599782.0,599782.0
13,483555.0,586756.7206862818,2002,,775516.0,483555.0,483555.0,483555.0,483555.0
14,233767.0,539388.5362880863,2003,,775516.0,233767.0,233767.0,233767.0,233767.0
15,332789.0,381773.8218008803,2004,,775516.0,332789.0,332789.0,332789.0,332789.0
16,385526.0,363518.5264199444,2005,,775516.0,385526.0,385526.0,385526.0,385526.0
17,676370.0,383695.2706711607,2006,,775516.0,676370.0,676370.0,676370.0,676370.0
18,393825.0,550884.8263117719,2007,,775516.0,393825.0,393825.0,393825.0,393825.0
19,470083.0,473384.6532543175,2008,,775516.0,470083.0,470083.0,470083.0,470083.0
20,708976.0,479324.5665544397,2009,,775516.0,708976.0,708976.0,708976.0,708976.0
21,775516.0,611778.3132186122,2010,,775516.0,775516.0,775516.0,775516.0,775516.0
22,,708251.7128182708,2011,708251.7128182708,775516.0,1121711.372773325,978598.4532096678,708251.7128182708,775516.0
23,,832493.7904691385,2012,832493.7904691385,775516.0,1245953.450424193,1102840.530860536,832493.7904691385,775516.0
24,,1203252.941108068,2013,1203252.941108068,775516.0,1616712.601063122,1473599.681499465,1203252.941108068,775516.0
25,,1120938.06773847,2014,1120938.06773847,775516.0,1534397.727693524,1391284.808129867,1120938.06773847,775516.0
26,,1090849.76662193,2015,1090849.76662193,775516.0,1504309.426576985,1361196.507013327,1090849.76662193,775516.0
27,,1097615.598310751,2016,1097615.598310751,775516.0,1568245.716252003,1405344.091894061,1097615.598310751,775516.0
