...1,historical,fitted,year,Trend,Static,AgS1,AgS2,AgS3,AgS4
1,5205.0,4133.752723811642,1990,,115.0,5205.0,5205.0,5205.0,5205.0
2,8724.0,5914.816289399683,1991,,115.0,8724.0,8724.0,8724.0,8724.0
3,15201.0,7896.662693556103,1992,,115.0,15201.0,15201.0,15201.0,15201.0
4,14020.0,10865.34216184234,1993,,115.0,14020.0,14020.0,14020.0,14020.0
5,10354.0,12542.58691766234,1994,,115.0,10354.0,10354.0,10354.0,10354.0
6,14218.0,12640.21410288115,1995,,115.0,14218.0,14218.0,14218.0,14218.0
7,10031.0,13625.88955245281,1996,,115.0,10031.0,10031.0,10031.0,10031.0
8,2949.0,13125.34713640157,1997,,115.0,2949.0,2949.0,2949.0,2949.0
9,16791.0,10778.61490074924,1998,,115.0,16791.0,16791.0,16791.0,16791.0
10,47115.0,12703.10974253688,1999,,115.0,47115.0,47115.0,47115.0,47115.0
11,29682.0,22183.92042600242,2000,,115.0,29682.0,29682.0,29682.0,29682.0
12,15547.0,24406.11120439578,2001,,115.0,15547.0,15547.0,15547.0,15547.0
13,87219.0,22206.61673802591,2002,,115.0,87219.0,87219.0,87219.0,87219.0
14,5160.0,39775.23928042794,2003,,115.0,5160.0,5160.0,5160.0,5160.0
15,4858.0,30616.96395041456,2004,,115.0,4858.0,4858.0,4858.0,4858.0
16,152.0,23810.56453107607,2005,,115.0,152.0,152.0,152.0,152.0
17,2771.0,17549.3367303612,2006,,115.0,2771.0,2771.0,2771.0,2771.0
18,2704.0,13653.62925093341,2007,,115.0,2704.0,2704.0,2704.0,2704.0
19,2186.0,10772.26433600974,2008,,115.0,2186.0,2186.0,2186.0,2186.0
20,320.0,8514.665699160149,2009,,115.0,320.0,320.0,320.0,320.0
21,115.0,6354.111828897293,2010,,115.0,115.0,115.0,115.0,115.0
22,,4711.190891177483,2011,4711.190891177483,115.0,41398.53386044896,28699.75506317424,4711.190891177483,115.0
23,,3570.036750637596,2012,3570.036750637596,115.0,40257.37971990908,27558.60092263436,3570.036750637596,115.0
24,,2641.955106139395,2013,2641.955106139395,115.0,39329.29807541087,26630.51927813615,2641.955106139395,115.0
25,,1952.636729765615,2014,1952.636729765615,115.0,38639.9796990371,25941.20090176237,1952.636729765615,115.0
26,,1443.290377184875,2015,1443.290377184875,115.0,38130.63334645635,25431.85454918164,1443.290377184875,115.0
27,,1454.115360694469,2016,1454.115360694469,115.0,39436.35602650189,26289.367626608,1454.115360694469,115.0
28,,1463.019852616135,2017,1463.019852616135,115.0,40697.61125089233,27117.14024797793,1463.019852616135,115.0
29,,1470.344572909035,2018,1470.344572909035,115.0,41918.66322845285,27918.07856472703,1470.344572909035,115.0
30,,1476.369793420345,2019,1476.369793420345,115.0,43103.14791089666,28694.6570098298,1476.369793420345,115.0
31,,1481.326062159385,2020,1481.326062159385,115.0,44254.1926335364,29449.00023870407,1481.326062159385,115.0
32,,1485.403024947298,2021,1485.403024947298,115.0,45374.50833458119,30182.94648165141,1485.403024947298,115.0
33,,1488.756681992386,2022,1488.756681992386,115.0,46466.46164778807,30898.09719446374,1488.756681992386,115.0
34,,1491.515357055452,2023,1491.515357055452,115.0,47532.13196560579,31595.85643614563,1491.515357055452,115.0
35,,1493.784607608288,2024,1493.784607608288,115.0,48573.35710696768,32277.46242905732,1493.784607608288,115.0
36,,1495.651263866753,2025,1495.651263866753,115.0,49591.77022771848,32944.013091397,1495.651263866753,115.0
37,,1497.186751247338,2026,1497.186751247338,115.0,50588.8299194688,33596.48686780281,1497.186751247338,115.0
38,,1498.449823377114,2027,1498.449823377114,115.0,51565.84495284775,34235.75985408698,1498.449823377114,115.0
39,,1499.488810232484,2028,1499.488810232484,115.0,52523.99476875004,34862.6199739019,1499.488810232484,115.0
40,,1500.343467429159,2029,1500.343467429159,115.0,53464.34656386988,35477.77879047457,1500.343467429159,115.0
41,,1501.046497424248,2030,1501.046497424248,115.0,54387.86962637145,36081.88140673916,1501.046497424248,115.0
42,,1501.624800837496,2031,1501.624800837496,115.0,55295.44743484248,36675.51480954382,1501.624800837496,115.0
43,,1502.10050577201,2032,1502.10050577201,115.0,56187.88792554197,37259.21493932715,1502.10050577201,115.0
44,,1502.491814520215,2033,1502.491814520215,115.0,57065.9322501659,37833.47270958812,1502.491814520215,115.0
45,,1502.813700053267,2034,1502.813700053267,115.0,57930.26228237776,38398.73915622206,1502.813700053267,115.0
