...1,historical,fitted,year,Trend,Static,AgS1,AgS2,AgS3,AgS4
1,32622.48,27541.35621815417,1990,,37057.35,32622.48,32622.48,32622.48,32622.48
2,34540.09,35773.71368572654,1991,,37057.35,34540.09,34540.09,34540.09,34540.09
3,32029.72,36577.60915383456,1992,,37057.35,32029.72,32029.72,32029.72,32029.72
4,31268.66,31875.78095948774,1993,,37057.35,31268.66,31268.66,31268.66,31268.66
5,29519.37,30907.00892839749,1994,,37057.35,29519.37,29519.37,29519.37,29519.37
6,28965.13,28685.71563299141,1995,,37057.35,28965.13,28965.13,28965.13,28965.13
7,33138.03,28407.69247247808,1996,,37057.35,33138.03,33138.03,33138.03,33138.03
8,40492.85,34547.52121921106,1997,,37057.35,40492.85,40492.85,40492.85,40492.85
9,47215.17,43952.80622407482,1998,,37057.35,47215.17,47215.17,47215.17,47215.17
10,50679.07,51263.23417035434,1999,,37057.35,50679.07,50679.07,50679.07,50679.07
11,54178.41,53688.65084605486,2000,,37057.35,54178.41,54178.41,54178.41,54178.41
12,56369.17,56778.13017310773,2001,,37057.35,56369.17,56369.17,56369.17,56369.17
13,57040.96,58288.57553339637,2002,,37057.35,57040.96,57040.96,57040.96,57040.96
14,51881.17,58087.08928866871,2003,,37057.35,51881.17,51881.17,51881.17,51881.17
15,51013.95,50283.77525865851,2004,,37057.35,51013.95,51013.95,51013.95,51013.95
16,48862.35,50021.9401304222,2005,,37057.35,48862.35,48862.35,48862.35,48862.35
17,44610.12,47613.96501918034,2006,,37057.35,44610.12,44610.12,44610.12,44610.12
18,40771.63,42433.09660481864,2007,,37057.35,40771.63,40771.63,40771.63,40771.63
19,38749.02,38378.08037224095,2008,,37057.35,38749.02,38749.02,38749.02,38749.02
20,41701.51,36979.54405753591,2009,,37057.35,41701.51,41701.51,41701.51,41701.51
21,37057.35,42138.09415415864,2010,,37057.35,37057.35,37057.35,37057.35,37057.35
22,,35414.13334203148,2011,35414.13334203148,37057.35,41902.05192580754,39656.35528271439,35414.13334203148,37057.35
23,,38013.85808395265,2012,38013.85808395265,37057.35,44501.77666772871,42256.08002463556,38013.85808395265,37057.35
24,,36042.69691559369,2013,36042.69691559369,37057.35,42530.61549936974,40284.91885627659,36042.69691559369,37057.35
25,,30653.53799919274,2014,30653.53799919274,37057.35,37141.45658296879,34895.75993987564,30653.53799919274,37057.35
26,,36847.22362980908,2015,36847.22362980908,37057.35,43335.14221358513,41089.44557049198,36847.22362980908,37057.35
27,,37366.65412981642,2016,37366.65412981642,37057.35,48487.9516991994,44638.47974669109,37366.65412981642,37057.35
28,,37782.19852982229,2017,37782.19852982229,37057.35,53473.21849130456,48042.00501363792,37782.19852982229,37057.35
29,,38114.63404982698,2018,38114.63404982698,37057.35,58300.07610319572,51313.18518074235,38114.63404982698,37057.35
30,,38380.58246583073,2019,38380.58246583073,37057.35,62946.67712730339,54443.48837688766,38380.58246583073,37057.35
31,,38593.34119863374,2020,38593.34119863374,37057.35,67399.89247133404,57428.93265473553,38593.34119863374,37057.35
32,,38763.54818487614,2021,38763.54818487614,37057.35,71656.31195307654,60270.97037973764,38763.54818487614,37057.35
33,,38899.71377387006,2022,38899.71377387006,37057.35,75719.35458020246,62974.78285184517,38899.71377387006,37057.35
34,,39008.6462450652,2023,39008.6462450652,37057.35,79596.66891666537,65547.72778301268,39008.6462450652,37057.35
35,,39095.79222202131,2024,39095.79222202131,37057.35,83298.2722998703,67998.24042594325,39095.79222202131,37057.35
36,,39165.5090035862,2025,39165.5090035862,37057.35,86835.30604338256,70335.11390828076,39165.5090035862,37057.35
37,,39221.28242883811,2026,39221.28242883811,37057.35,90219.23188934458,72567.04923179992,39221.28242883811,37057.35
38,,39265.90116903964,2027,39265.90116903964,37057.35,93461.33008080446,74702.38740811314,39265.90116903964,37057.35
39,,39301.59616120086,2028,39301.59616120086,37057.35,96572.39953487008,76748.96167529041,39301.59616120086,37057.35
40,,39330.15215492984,2029,39330.15215492984,37057.35,99562.59171101228,78714.02748046671,39330.15215492984,37057.35
41,,39352.99694991302,2030,39352.99694991302,37057.35,102441.3317753886,80604.24182019237,39352.99694991302,37057.35
42,,39371.27278589957,2031,39371.27278589957,37057.35,105217.2957705059,82425.67302306037,39371.27278589957,37057.35
43,,39385.8934546888,2032,39385.8934546888,37057.35,107898.422772891,84183.8284676462,39385.8934546888,37057.35
44,,39397.5899897202,2033,39397.5899897202,37057.35,110491.9479905505,85883.69203854608,39397.5899897202,37057.35
45,,39406.94721774531,2034,39406.94721774531,37057.35,113004.4474793795,87529.7660166838,39406.94721774531,37057.35
46,,39414.43300016539,2035,39414.43300016539,37057.35,115441.8883647232,89126.11403887894,39414.43300016539,37057.35
47,,39420.42162610147,2036,39420.42162610147,37057.35,117809.6806280236,90676.40305647938,39420.42162610147,37057.35
48,,39425.21252685032,2037,39425.21252685032,37057.35,120112.7279880836,92183.94308256192,39425.21252685032,37057.35
49,,39429.04524744941,2038,39429.04524744941,37057.35,122355.4763951572,93651.72408269899,39429.04524744941,37057.35
50,,39432.11142392868,2039,39432.11142392868,37057.35,124541.959315901,95082.44973094412,39432.11142392868,37057.35
51,,39434.56436511209,2040,39434.56436511209,37057.35,126675.8394221326,96478.56798524439,39434.56436511209,37057.35
52,,39436.52671805883,2041,39436.52671805883,37057.35,128760.4465776995,97842.2985789976,39436.52671805883,37057.35
53,,39438.09660041621,2042,39438.09660041621,37057.35,130798.8121946137,99175.65760794398,39438.09660041621,37057.35
54,,39439.35250630212,2043,39439.35250630212,37057.35,132793.7001357665,100480.4794344638,39439.35250630212,37057.35
55,,39440.35723101085,2044,39440.35723101085,37057.35,134747.6344003024,101758.4361485485,39440.35723101085,37057.35
56,,39441.16101077783,2045,39441.16101077783,37057.35,136662.9238551323,103011.0548256517,39441.16101077783,37057.35
57,,39441.80403459142,2046,39441.80403459142,37057.35,138541.6842831367,104239.7328126598,39441.80403459142,37057.35
58,,39442.31845364229,2047,39442.31845364229,37057.35,140385.8580128662,105445.7512586051,39442.31845364229,37057.35
59,,39442.72998888298,2048,39442.72998888298,37057.35,142197.2313811309,106630.2870892716,39442.72998888298,37057.35
60,,39443.05921707553,2049,39443.05921707553,37057.35,143977.4502622052,107794.4236063428,39443.05921707553,37057.35
61,,39443.32259962958,2050,39443.32259962958,37057.35,145728.033877764,108939.1598733504,39443.32259962958,37057.35
