...1,historical,fitted,year,Trend,Static,AgS1,AgS2,AgS3,AgS4
1,3755456.0,4392264.525572932,1990,,3059168.0,3755456.0,3755456.0,3755456.0,3755456.0
2,4138414.0,3859283.599049949,1991,,3059168.0,4138414.0,4138414.0,4138414.0,4138414.0
3,4751692.0,4223537.855771829,1992,,3059168.0,4751692.0,4751692.0,4751692.0,4751692.0
4,5331486.0,4821541.803285347,1993,,3059168.0,5331486.0,5331486.0,5331486.0,5331486.0
5,5426597.0,5388825.587737455,1994,,3059168.0,5426597.0,5426597.0,5426597.0,5426597.0
6,6135775.0,5473680.081767449,1995,,3059168.0,6135775.0,6135775.0,6135775.0,6135775.0
7,5872937.0,6174393.595232555,1996,,3059168.0,5872937.0,5872937.0,5872937.0,5872937.0
8,5365869.0,5904679.785259051,1997,,3059168.0,5365869.0,5365869.0,5365869.0,5365869.0
9,5223712.0,5391896.021600448,1998,,3059168.0,5223712.0,5223712.0,5223712.0,5223712.0
10,5138623.0,5245023.624714465,1999,,3059168.0,5138623.0,5138623.0,5138623.0,5138623.0
11,5472709.0,5156095.366304264,2000,,3059168.0,5472709.0,5472709.0,5472709.0,5472709.0
12,6886176.0,5487029.071810523,2001,,3059168.0,6886176.0,6886176.0,6886176.0,6886176.0
13,6212927.0,6897925.154764047,2002,,3059168.0,6212927.0,6212927.0,6212927.0,6212927.0
14,4814679.0,6222693.209275704,2003,,3059168.0,4814679.0,4814679.0,4814679.0,4814679.0
15,3447471.0,4822660.388055263,2004,,3059168.0,3447471.0,3447471.0,3447471.0,3447471.0
16,4226177.0,3453928.197668528,2005,,3059168.0,4226177.0,4226177.0,4226177.0,4226177.0
17,4242753.0,4231347.847226002,2006,,3059168.0,4242753.0,4242753.0,4242753.0,4242753.0
18,3862879.0,4247058.361610869,2007,,3059168.0,3862879.0,3862879.0,3862879.0,3862879.0
19,4294691.0,3866418.996536247,2008,,3059168.0,4294691.0,4294691.0,4294691.0,4294691.0
20,3665230.0,4297556.032340536,2009,,3059168.0,3665230.0,3665230.0,3665230.0,3665230.0
21,3059168.0,3667626.995842728,2010,,3059168.0,3059168.0,3059168.0,3059168.0,3059168.0
22,,3061093.573141292,2011,3061093.573141292,3059168.0,4347155.292119053,3902004.131877759,3061093.573141292,3059168.0
23,,2368606.30917425,2012,2368606.30917425,3059168.0,3654668.028152012,3209516.867910718,2368606.30917425,3059168.0
24,,2342710.872771761,2013,2342710.872771761,3059168.0,3628772.591749523,3183621.431508229,2342710.872771761,3059168.0
25,,2049513.832485927,2014,2049513.832485927,3059168.0,3335575.551463689,2890424.391222395,2049513.832485927,3059168.0
26,,2512426.730725213,2015,2512426.730725213,3059168.0,3798488.449702974,3353337.289461681,2512426.730725213,3059168.0
27,,2513107.624107529,2016,2513107.624107529,3059168.0,4331857.210064227,3702324.057471418,2513107.624107529,3059168.0
28,,2513666.235288626,2017,2513666.235288626,3059168.0,4741213.764503273,3970181.276334115,2513666.235288626,3059168.0
29,,2514124.525029357,2018,2514124.525029357,3059168.0,5086335.362014417,4196002.789656022,2514124.525029357,3059168.0
30,,2514500.510139512,2019,2514500.510139512,3059168.0,5390386.294640802,4394941.150134226,2514500.510139512,3059168.0
31,,2514808.97177523,2020,2514808.97177523,3059168.0,5665252.18712927,4574773.066341899,2514808.97177523,3059168.0
32,,2515062.036532689,2021,2515062.036532689,3059168.0,5917997.05431821,4740121.64675455,2515062.036532689,3059168.0
33,,2515269.653182711,2022,2515269.653182711,3059168.0,6153225.64219269,4894001.216554872,2515269.653182711,3059168.0
34,,2515439.983788201,2023,2515439.983788201,3059168.0,6374137.78483187,5038506.859964242,2515439.983788201,3059168.0
35,,2515579.724580491,2024,2515579.724580491,3059168.0,6583064.127460554,5175164.821784435,2515579.724580491,3059168.0
36,,2515694.369209233,2025,2515694.369209233,3059168.0,6781764.659072223,5305127.798507787,2515694.369209233,3059168.0
37,,2515788.42471503,2026,2515788.42471503,3059168.0,6971607.043514604,5429291.617502232,2515788.42471503,3059168.0
38,,2515865.588715367,2027,2515865.588715367,3059168.0,7153679.100593774,5548368.845782339,2515865.588715367,3059168.0
39,,2515928.894769568,2028,2515928.894769568,3059168.0,7328862.928776631,5662937.306555305,2515928.894769568,3059168.0
40,,2515980.831637552,2029,2515980.831637552,3059168.0,7497885.544255033,5773473.231604904,2515980.831637552,3059168.0
41,,2516023.441120798,2030,2516023.441120798,3059168.0,7661354.538561774,5880374.610419564,2516023.441120798,3059168.0
42,,2516058.398331987,2031,2516058.398331987,3059168.0,7819783.84137432,5983978.063368428,2516058.398331987,3059168.0
43,,2516087.077548935,2032,2516087.077548935,3059168.0,7973612.751467185,6084571.308166618,2516087.077548935,3059168.0
44,,2516110.606241779,2033,2516110.606241779,3059168.0,8123220.268794496,6182402.54982103,2516110.606241779,3059168.0
45,,2516129.909397369,2034,2516129.909397369,3059168.0,8268936.072467507,6277687.674086231,2516129.909397369,3059168.0
46,,2516145.745883408,2035,2516145.745883408,3059168.0,8411049.056823902,6370615.841487071,2516145.745883408,3059168.0
47,,2516158.738281926,2036,2516158.738281926,3059168.0,8549814.058275783,6461353.896094589,2516158.738281926,3059168.0
48,,2516169.397364933,2037,2516169.397364933,3059168.0,8685457.220533906,6550049.882129454,2516169.397364933,3059168.0
49,,2516178.142174476,2038,2516178.142174476,3059168.0,8818180.320530973,6636835.879481588,2516178.142174476,3059168.0
50,,2516185.316496499,2039,2516185.316496499,3059168.0,8948164.290895663,6721830.312634309,2516185.316496499,3059168.0
51,,2516191.202376143,2040,2516191.202376143,3059168.0,9075572.114074055,6805139.847706743,2516191.202376143,3059168.0
