...1,historical,fitted,year,Trend,Static,AgS1,AgS2,AgS3,AgS4
1,388.0,1584.798927088129,1990,,1571.0,388.0,388.0,388.0,388.0
2,740.0,1797.978376608953,1991,,1571.0,740.0,740.0,740.0,740.0
3,2088.0,1990.329150119692,1992,,1571.0,2088.0,2088.0,2088.0,2088.0
4,2910.0,2163.989573830341,1993,,1571.0,2910.0,2910.0,2910.0,2910.0
5,6595.0,2320.746544706692,1994,,1571.0,6595.0,6595.0,6595.0,6595.0
6,2696.0,2462.546142988983,1995,,1571.0,2696.0,2696.0,2696.0,2696.0
7,1707.0,2590.127465573766,1996,,1571.0,1707.0,1707.0,1707.0,1707.0
8,5078.0,2705.13277991045,1997,,1571.0,5078.0,5078.0,5078.0,5078.0
9,3384.0,2809.217328357415,1998,,1571.0,3384.0,3384.0,3384.0,3384.0
10,2308.0,2902.974626628475,1999,,1571.0,2308.0,2308.0,2308.0,2308.0
11,8191.0,2987.459055307859,2000,,1571.0,8191.0,8191.0,8191.0,8191.0
12,6248.0,3064.262163204369,2001,,1571.0,6248.0,6248.0,6248.0,6248.0
13,5474.0,3133.409341613868,2002,,1571.0,5474.0,5474.0,5474.0,5474.0
14,1917.0,3195.746612007265,2003,,1571.0,1917.0,1917.0,1917.0,1917.0
15,6503.0,3251.653514827312,2004,,1571.0,6503.0,6503.0,6503.0,6503.0
16,3860.0,3302.538011683728,2005,,1571.0,3860.0,3860.0,3860.0,3860.0
17,1287.0,3348.212711332389,2006,,1571.0,1287.0,1287.0,1287.0,1287.0
18,1010.0,3389.167863724838,2007,,1571.0,1010.0,1010.0,1010.0,1010.0
19,781.0,3426.069120630673,2008,,1571.0,781.0,781.0,781.0,781.0
20,5440.0,3459.314704993187,2009,,1571.0,5440.0,5440.0,5440.0,5440.0
21,1571.0,3489.748440315397,2010,,1571.0,1571.0,1571.0,1571.0,1571.0
22,,3516.837733356243,2011,3516.837733356243,1571.0,8143.658889834745,6542.153475559222,3516.837733356243,1571.0
23,,3541.171609669116,2012,3541.171609669116,1571.0,8167.992766147618,6566.487351872094,3541.171609669116,1571.0
24,,3563.16514036763,2013,3563.16514036763,1571.0,8189.986296846131,6588.480882570609,3563.16514036763,1571.0
25,,3583.595749638041,2014,3583.595749638041,1571.0,8210.416906116541,6608.91149184102,3583.595749638041,1571.0
26,,3601.499005914724,2015,3601.499005914724,1571.0,8228.320162393225,6626.814748117704,3601.499005914724,1571.0
27,,3617.813774631417,2016,3617.813774631417,1571.0,8244.6349542482,6643.129531963706,3617.813774631417,1571.0
28,,3632.534343880483,2017,3632.534343880483,1571.0,8259.355546639314,6657.850116344543,3632.534343880483,1571.0
29,,3645.816491042937,2018,3645.816491042937,1571.0,8272.637716947214,6671.132278640991,3645.816491042937,1571.0
30,,3657.80077169542,2019,3657.80077169542,1571.0,8284.622020748211,6683.116574429474,3657.80077169542,1571.0
31,,3668.614007010524,2020,3668.614007010524,1571.0,8295.435279214598,6693.929824882388,3668.614007010524,1571.0
32,,3678.370625815642,2021,3678.370625815642,1571.0,8305.191921173497,6703.686458826949,3678.370625815642,1571.0
33,,3687.173875512374,2022,3687.173875512374,1571.0,8313.995194026262,6712.489723664597,3687.173875512374,1571.0
34,,3695.116914670812,2023,3695.116914670812,1571.0,8321.938256342764,6720.432777965279,3695.116914670812,1571.0
35,,3702.283798860852,2024,3702.283798860852,1571.0,8329.105163692708,6727.599677298766,3702.283798860852,1571.0
36,,3708.750370152884,2025,3708.750370152884,1571.0,8335.571758146296,6734.066263735326,3708.750370152884,1571.0
37,,3714.585059700826,2026,3714.585059700826,1571.0,8341.406470857288,6739.900968428773,3714.585059700826,1571.0
38,,3719.849611900662,2027,3719.849611900662,1571.0,8346.671046221523,6745.165535774995,3719.849611900662,1571.0
39,,3724.59973778775,2028,3724.59973778775,1571.0,8351.421195274224,6749.915676809263,3724.59973778775,1571.0
40,,3728.885704587334,2029,3728.885704587334,1571.0,8355.707185240522,6754.201658756748,3728.885704587334,1571.0
41,,3732.75286765707,2030,3732.75286765707,1571.0,8359.57437147796,6758.06883697503,3732.75286765707,1571.0
42,,3736.242150450717,2031,3736.242150450717,1571.0,8363.063677440201,6761.558134917806,3736.242150450717,1571.0
43,,3739.390477582127,2032,3739.390477582127,1571.0,8366.212027741014,6764.706477198873,3739.390477582127,1571.0
44,,3742.231165572341,2033,3742.231165572341,1571.0,8369.052738901359,6767.547180339221,3742.231165572341,1571.0
45,,3744.794275414784,2034,3744.794275414784,1571.0,8371.615871914586,6770.110305332227,3744.794275414784,1571.0
46,,3747.106930689513,2035,3747.106930689513,1571.0,8373.928550360692,6772.422975757905,3747.106930689513,1571.0
47,,3749.193604592897,2036,3749.193604592897,1571.0,8376.015247435987,6774.509664812587,3749.193604592897,1571.0
48,,3751.076378920157,2037,3751.076378920157,1571.0,8377.898044935642,6776.392454291462,3751.076378920157,1571.0
49,,3752.775177741402,2038,3752.775177741402,1571.0,8379.596866929716,6778.091268264605,3752.775177741402,1571.0
50,,3754.307978243978,2039,3754.307978243978,1571.0,8381.129690605514,6779.624083919336,3754.307978243978,1571.0
51,,3755.691000972341,2040,3755.691000972341,1571.0,8382.512736507451,6781.007121800086,3755.691000972341,1571.0
52,,3756.938881478614,2041,3756.938881478614,1571.0,8383.760640187618,6782.255017458953,3756.938881478614,1571.0
53,,3758.064825200289,2042,3758.064825200289,1571.0,8384.886607083476,6783.380976333412,3758.064825200289,1571.0
54,,3759.080747204044,2043,3759.080747204044,1571.0,8385.902552261676,6784.396913490122,3759.080747204044,1571.0
55,,3759.997398274471,2044,3759.997398274471,1571.0,8386.819226506781,6785.313579713657,3759.997398274471,1571.0
56,,3760.824478682032,2045,3760.824478682032,1571.0,8387.64633008923,6786.140675274462,3760.824478682032,1571.0
57,,3761.570740834163,2046,3761.570740834163,1571.0,8388.39261541644,6786.886952579964,3761.570740834163,1571.0
58,,3762.244081895821,2047,3762.244081895821,1571.0,8389.065979653351,6787.560308795105,3762.244081895821,1571.0
59,,3762.851627359596,2048,3762.851627359596,1571.0,8389.673548292534,6788.167869412464,3762.851627359596,1571.0
60,,3763.399806449767,2049,3763.399806449767,1571.0,8390.221750558254,6788.716063656311,3763.399806449767,1571.0
61,,3763.894420158234,2050,3763.894420158234,1571.0,8390.716387442397,6789.210692518538,3763.894420158234,1571.0
