...1,historical,fitted,year,Trend,Static,AgS1,AgS2,AgS3,AgS4
1,291774.0,111750.9236871876,1990,,560326.0,291774.0,291774.0,291774.0,291774.0
2,175432.0,408661.3692860199,1991,,560326.0,175432.0,175432.0,175432.0,175432.0
3,355446.0,380520.7082529258,1992,,560326.0,355446.0,355446.0,355446.0,355446.0
4,367069.0,476897.5063071172,1993,,560326.0,367069.0,367069.0,367069.0,367069.0
5,519876.0,492596.8868131922,1994,,560326.0,519876.0,519876.0,519876.0,519876.0
6,566155.0,589804.2658734596,1995,,560326.0,566155.0,566155.0,566155.0,566155.0
7,4448656.0,636953.4195692899,1996,,560326.0,4448656.0,4448656.0,4448656.0,4448656.0
8,4588254.0,3415774.056659642,1997,,560326.0,4588254.0,4588254.0,4588254.0,4588254.0
9,562062.0,4298025.141086593,1998,,560326.0,562062.0,562062.0,562062.0,562062.0
10,809166.0,1662301.645650439,1999,,560326.0,809166.0,809166.0,809166.0,809166.0
11,486924.0,1081760.759457957,2000,,560326.0,486924.0,486924.0,486924.0,486924.0
12,309153.0,680711.090872094,2001,,560326.0,309153.0,309153.0,309153.0,309153.0
13,326980.0,435038.8244735617,2002,,560326.0,326980.0,326980.0,326980.0,326980.0
14,406116.0,374274.6908834775,2003,,560326.0,406116.0,406116.0,406116.0,406116.0
15,596882.0,410658.4357523202,2004,,560326.0,596882.0,596882.0,596882.0,596882.0
16,477645.0,555063.7017298334,2005,,560326.0,477645.0,477645.0,477645.0,477645.0
17,560732.0,508959.7582102522,2006,,560326.0,560732.0,560732.0,560732.0,560732.0
18,469577.0,553619.271438104,2007,,560326.0,469577.0,469577.0,469577.0,469577.0
19,510458.0,499811.423430817,2008,,560326.0,510458.0,510458.0,510458.0,510458.0
20,517645.0,512612.7001955955,2009,,560326.0,517645.0,517645.0,517645.0,517645.0
21,560326.0,520488.9152673216,2010,,560326.0,560326.0,560326.0,560326.0,560326.0
22,,552505.8742414506,2011,552505.8742414506,560326.0,2747096.501778082,1987471.55556701,552505.8742414506,560326.0
23,,701477.0790764631,2012,701477.0790764631,560326.0,2896067.706613095,2136442.760402023,701477.0790764631,560326.0
