...1,historical,fitted,year,Trend,Static,AgS1,AgS2,AgS3,AgS4
1,84392.0,103456.9480382121,1990,,185063.0,84392.0,84392.0,84392.0,84392.0
2,131167.0,99157.58984977873,1991,,185063.0,131167.0,131167.0,131167.0,131167.0
3,148681.0,140031.0205982193,1992,,185063.0,148681.0,148681.0,148681.0,148681.0
4,141456.0,158079.4779157428,1993,,185063.0,141456.0,141456.0,141456.0,141456.0
5,195414.0,151722.8158107645,1994,,185063.0,195414.0,195414.0,195414.0,195414.0
6,207753.0,199535.33820963,1995,,185063.0,207753.0,207753.0,207753.0,207753.0
7,209685.0,213888.1167443304,1996,,185063.0,209685.0,209685.0,209685.0,209685.0
8,218739.0,216019.2202704285,1997,,185063.0,218739.0,218739.0,218739.0,218739.0
9,233846.0,223755.5814410019,1998,,185063.0,233846.0,233846.0,233846.0,233846.0
10,255634.0,237598.9526945094,1999,,185063.0,255634.0,255634.0,255634.0,255634.0
11,226812.0,258155.5122416982,2000,,185063.0,226812.0,226812.0,226812.0,226812.0
12,236685.0,232971.8678056883,2001,,185063.0,236685.0,236685.0,236685.0,236685.0
13,253760.0,239471.5279513859,2002,,185063.0,253760.0,253760.0,253760.0,253760.0
14,239185.0,255279.4016976673,2003,,185063.0,239185.0,239185.0,239185.0,239185.0
15,227650.0,242914.3322597087,2004,,185063.0,227650.0,227650.0,227650.0,227650.0
16,189302.0,231014.9819215264,2005,,185063.0,189302.0,189302.0,189302.0,189302.0
17,181410.0,194622.9713450789,2006,,185063.0,181410.0,181410.0,181410.0,181410.0
18,170868.0,184116.3704153197,2007,,185063.0,170868.0,170868.0,170868.0,170868.0
19,164856.0,173379.0831414758,2008,,185063.0,164856.0,164856.0,164856.0,164856.0
20,186430.0,166797.6508482057,2009,,185063.0,186430.0,186430.0,186430.0,186430.0
21,185063.0,185862.2868179607,2010,,185063.0,185063.0,185063.0,185063.0,185063.0
22,,186074.6250149166,2011,186074.6250149166,185063.0,222496.5610976072,209889.6489516401,186074.6250149166,185063.0
23,,177628.586897504,2012,177628.586897504,185063.0,214050.5229801945,201443.6108342275,177628.586897504,185063.0
24,,181021.55319813,2013,181021.55319813,185063.0,217443.4892808205,204836.5771348535,181021.55319813,185063.0
25,,191181.7950729709,2014,191181.7950729709,185063.0,227603.7311556614,214996.8190096944,191181.7950729709,185063.0
26,,193826.7074030088,2015,193826.7074030088,185063.0,230248.6434856993,217641.7313397323,193826.7074030088,185063.0
27,,194316.3788322287,2016,194316.3788322287,185063.0,243715.578267481,226616.7791825719,194316.3788322287,185063.0
28,,194745.6654583646,2017,194745.6654583646,185063.0,254362.5721948816,233727.0655064064,194745.6654583646,185063.0
29,,195122.0137531235,2018,195122.0137531235,185063.0,263446.3894949508,239796.921755244,195122.0137531235,185063.0
30,,195451.9519117913,2019,195451.9519117913,185063.0,271494.0235553187,245173.1900216264,195451.9519117913,185063.0
31,,195741.2030923096,2020,195741.2030923096,185063.0,278787.5056362409,250042.2616206076,195741.2030923096,185063.0
32,,195994.7846900522,2021,195994.7846900522,185063.0,285499.4282446944,254518.7254235249,195994.7846900522,185063.0
