...1,historical,fitted,year,Trend,Static,AgS1,AgS2,AgS3,AgS4
1,11472544.0,2503692.766341074,1990,,15579350.0,11472544.0,11472544.0,11472544.0,11472544.0
2,9800022.0,11148771.92403262,1991,,15579350.0,9800022.0,9800022.0,9800022.0,9800022.0
3,46.0,11104406.20599376,1992,,15579350.0,46.0,46.0,46.0,46.0
4,2706.0,2844556.461750351,1993,,15579350.0,2706.0,2706.0,2706.0,2706.0
5,1225.0,1404898.921486811,1994,,15579350.0,1225.0,1225.0,1225.0,1225.0
6,291.0,1098289.037304624,1995,,15579350.0,291.0,291.0,291.0,291.0
7,14483623.0,984851.6144809041,1996,,15579350.0,14483623.0,14483623.0,14483623.0,14483623.0
8,19295848.0,12990767.90875149,1997,,15579350.0,19295848.0,19295848.0,19295848.0,19295848.0
9,15158774.0,18943409.66466866,1998,,15579350.0,15158774.0,15158774.0,15158774.0,15158774.0
10,16489099.0,16430103.25411289,1999,,15579350.0,16489099.0,16489099.0,16489099.0,16489099.0
11,17683192.0,17076933.4411532,2000,,15579350.0,17683192.0,17683192.0,17683192.0,17683192.0
12,15505951.0,18137622.54508684,2001,,15579350.0,15505951.0,15505951.0,15505951.0,15505951.0
13,14591780.0,16457619.04194026,2002,,15579350.0,14591780.0,14591780.0,14591780.0,14591780.0
14,9451737.0,15379487.60571567,2003,,15579350.0,9451737.0,9451737.0,9451737.0,9451737.0
15,18370534.0,10878582.287076,2004,,15579350.0,18370534.0,18370534.0,18370534.0,18370534.0
16,13749331.0,17540361.79568891,2005,,15579350.0,13749331.0,13749331.0,13749331.0,13749331.0
17,14806059.0,14760909.49799029,2006,,15579350.0,14806059.0,14806059.0,14806059.0,14806059.0
18,6707957.0,15154002.34227764,2007,,15579350.0,6707957.0,6707957.0,6707957.0,6707957.0
19,8063035.0,8438294.387644101,2008,,15579350.0,8063035.0,8063035.0,8063035.0,8063035.0
20,14703954.0,8431123.768239986,2009,,15579350.0,14703954.0,14703954.0,14703954.0,14703954.0
21,15579350.0,13947972.82337324,2010,,15579350.0,15579350.0,15579350.0,15579350.0,15579350.0
22,,15573054.85029126,2011,15573054.85029126,15579350.0,26207256.2216794,22526385.38254447,15573054.85029126,15579350.0
23,,17333035.33840231,2012,17333035.33840231,15579350.0,27967236.70979045,24286365.87065552,17333035.33840231,15579350.0
24,,21798895.96930158,2013,21798895.96930158,15579350.0,32433097.34068972,28752226.50155479,21798895.96930158,15579350.0
25,,17958633.77294651,2014,17958633.77294651,15579350.0,28592835.14433465,24911964.30519972,17958633.77294651,15579350.0
26,,17747064.36331179,2015,17747064.36331179,15579350.0,28381265.73469993,24700394.895565,17747064.36331179,15579350.0
27,,17929604.50280284,2016,17929604.50280284,15579350.0,31778188.79014217,26984707.0526494,17929604.50280284,15579350.0
28,,18099109.26378257,2017,18099109.26378257,15579350.0,34545808.19649348,28853027.66815703,18099109.26378257,15579350.0
29,,18256509.51599507,2018,18256509.51599507,15579350.0,36943861.59675965,30475512.26497011,18256509.51599507,15579350.0
30,,18402669.6548216,2019,18402669.6548216,15579350.0,39089671.7019127,31929173.23804709,18402669.6548216,15579350.0
31,,18538392.34828307,2020,18538392.34828307,15579350.0,41048342.33695477,33256857.52206154,18538392.34828307,15579350.0
32,,18664422.94505402,2021,18664422.94505402,15579350.0,42860574.22355305,34485435.87983569,18664422.94505402,15579350.0
33,,18781453.56769601,2022,18781453.56769601,15579350.0,44553900.05796522,35633150.54174516,18781453.56769601,15579350.0
34,,18890126.91358886,2023,18890126.91358886,15579350.0,46148024.18845728,36713107.94875269,18890126.91358886,15579350.0
35,,18991039.78443356,2024,18991039.78443356,15579350.0,47657658.22464105,37735134.07937995,18991039.78443356,15579350.0
36,,19084746.36370977,2025,19084746.36370977,15579350.0,49094154.35659304,38706843.55411877,19084746.36370977,15579350.0
37,,19171761.2600867,2026,19171761.2600867,15579350.0,50466506.72945976,39634295.45252315,19171761.2600867,15579350.0
38,,19252562.33350085,2027,19252562.33350085,15579350.0,51781996.58959867,40522416.12980175,19252562.33350085,15579350.0
39,,19327593.31942076,2028,19327593.31942076,15579350.0,53046625.0842288,41375283.11764866,19327593.31942076,15579350.0
40,,19397266.26571021,2029,19397266.26571021,15579350.0,54265413.55434543,42196322.31871034,19397266.26571021,15579350.0
41,,19461963.79547256,2030,19461963.79547256,15579350.0,55442617.918713,42988448.96799397,19461963.79547256,15579350.0
42,,19522041.20830309,2031,19522041.20830309,15579350.0,56581885.52158739,43754170.91739778,19522041.20830309,15579350.0
43,,19577828.4314887,2032,19577828.4314887,15579350.0,57686372.35402264,44495665.95798253,19577828.4314887,15579350.0
44,,19629631.83187047,2033,19629631.83187047,15579350.0,58758832.31125948,45214840.80939019,19629631.83187047,15579350.0
45,,19677735.89831926,2034,19677735.89831926,15579350.0,59801686.28938861,45913376.88208753,19677735.89831926,15579350.0
46,,19722404.80406399,2035,19722404.80406399,15579350.0,60817076.46849921,46592766.31198588,19722404.80406399,15579350.0
47,,19763883.85745246,2036,19763883.85745246,15579350.0,61806909.5250826,47254340.71767244,19763883.85745246,15579350.0
48,,19802400.84911183,2037,19802400.84911183,15579350.0,62772891.44360472,47899294.42877367,19802400.84911183,15579350.0
49,,19838167.30290704,2038,19838167.30290704,15579350.0,63716555.86464122,48528703.45480517,19838167.30290704,15579350.0
50,,19871379.63756699,2039,19871379.63756699,15579350.0,64639287.39733042,49143541.13044499,19871379.63756699,15579350.0
51,,19902220.24535775,2040,19902220.24535775,15579350.0,65542340.96323861,49744691.13717401,19902220.24535775,15579350.0
52,,19930858.49372667,2041,19930858.49372667,15579350.0,66426857.97950909,50332958.43157257,19930858.49372667,15579350.0
53,,19957451.65541805,2042,19957451.65541805,15579350.0,67293880.00019051,50909078.48685139,19957451.65541805,15579350.0
54,,19982145.77216826,2043,19982145.77216826,15579350.0,68144360.2950669,51473725.16279674,19982145.77216826,15579350.0
55,,20005076.45672356,2044,20005076.45672356,15579350.0,68979173.74097955,52027517.45096479,20005076.45672356,15579350.0
56,,20026369.63758497,2045,20026369.63758497,15579350.0,69799125.32177085,52571025.29027855,20026369.63758497,15579350.0
57,,20046142.2505701,2046,20046142.2505701,15579350.0,70604957.47275189,53104774.60869092,20046142.2505701,15579350.0
58,,20064502.88098999,2047,20064502.88098999,15579350.0,71397356.4591553,53629251.7161108,20064502.88098999,15579350.0
59,,20081552.35996727,2048,20081552.35996727,15579350.0,72176957.94190077,54144907.15006822,20081552.35996727,15579350.0
60,,20097384.3181707,2049,20097384.3181707,15579350.0,72944351.85564844,54652159.05696908,20097384.3181707,15579350.0
61,,20112085.70000703,2050,20112085.70000703,15579350.0,73700086.70169424,55151396.1770483,20112085.70000703,15579350.0
