...1,historical,fitted,year,Trend,Static,AgS1,AgS2,AgS3,AgS4
1,45434.0,18948.50195306474,1990,,796907.0,45434.0,45434.0,45434.0,45434.0
2,63625.0,73517.46271809805,1991,,796907.0,63625.0,63625.0,63625.0,63625.0
3,85848.0,102479.9654889335,1992,,796907.0,85848.0,85848.0,85848.0,85848.0
4,123585.0,126118.0748488863,1993,,796907.0,123585.0,123585.0,123585.0,123585.0
5,182160.0,158697.1456032677,1994,,796907.0,182160.0,182160.0,182160.0,182160.0
6,182180.0,208368.5815911213,1995,,796907.0,182180.0,182180.0,182180.0,182180.0
7,230726.0,223412.1639315576,1996,,796907.0,230726.0,230726.0,230726.0,230726.0
8,268131.0,260707.4342271312,1997,,796907.0,268131.0,268131.0,268131.0,268131.0
9,313558.0,297432.3636786178,1998,,796907.0,313558.0,313558.0,313558.0,313558.0
10,409964.0,339476.2169281261,1999,,796907.0,409964.0,409964.0,409964.0,409964.0
11,310502.0,418079.3951386488,2000,,796907.0,310502.0,310502.0,310502.0,310502.0
12,375617.0,374299.5124818944,2001,,796907.0,375617.0,375617.0,375617.0,375617.0
13,470746.0,404390.522954007,2002,,796907.0,470746.0,470746.0,470746.0,470746.0
14,535395.0,478377.6634885893,2003,,796907.0,535395.0,535395.0,535395.0,535395.0
15,644465.0,545410.6304835535,2004,,796907.0,644465.0,644465.0,644465.0,644465.0
16,693508.0,640635.9331034449,2005,,796907.0,693508.0,693508.0,693508.0,693508.0
17,759506.0,703733.778056076,2006,,796907.0,759506.0,759506.0,759506.0,759506.0
18,779005.0,768279.760721531,2007,,796907.0,779005.0,779005.0,779005.0,779005.0
19,698694.0,801493.463130014,2008,,796907.0,698694.0,698694.0,698694.0,698694.0
20,770459.0,756550.1211029043,2009,,796907.0,770459.0,770459.0,770459.0,770459.0
21,796907.0,790910.276621488,2010,,796907.0,796907.0,796907.0,796907.0,796907.0
22,,819363.222507068,2011,819363.222507068,796907.0,949265.31364435,904301.6344256769,819363.222507068,796907.0
23,,728624.0751785327,2012,728624.0751785327,796907.0,858526.1663158148,813562.4870971417,728624.0751785327,796907.0
24,,754726.1918486293,2013,754726.1918486293,796907.0,884628.2829859114,839664.6037672382,754726.1918486293,796907.0
25,,746576.7033248844,2014,746576.7033248844,796907.0,876478.7944621665,831515.1152434933,746576.7033248844,796907.0
26,,879608.6895382089,2015,879608.6895382089,796907.0,1009510.780675491,964547.1014568178,879608.6895382089,796907.0
27,,901618.698628475,2016,901618.698628475,796907.0,1058994.791058998,1004521.394404775,901618.698628475,796907.0
28,,923188.5075369356,2017,923188.5075369356,796907.0,1103913.247420534,1041358.063282531,923188.5075369356,796907.0
29,,944326.9202672271,2018,944326.9202672271,796907.0,1145714.890404332,1076007.436055696,944326.9202672271,796907.0
30,,965042.5647429128,2019,965042.5647429128,796907.0,1185165.833887124,1108973.434090372,965042.5647429128,796907.0
31,,985343.8963290848,2020,985343.8963290848,796907.0,1222731.38530182,1140563.232262497,985343.8963290848,796907.0
32,,1005239.201283533,2021,1005239.201283533,796907.0,1258720.531963339,1170981.734682822,1005239.201283533,796907.0
33,,1024736.600138893,2022,1024736.600138893,796907.0,1293351.791463873,1200374.633126716,1024736.600138893,796907.0
34,,1043844.051017145,2023,1043844.051017145,796907.0,1326787.155968887,1228850.603163586,1043844.051017145,796907.0
35,,1062569.352877832,2024,1062569.352877832,796907.0,1359151.20857559,1256493.804796156,1062569.352877832,796907.0
36,,1080920.148701306,2025,1080920.148701306,796907.0,1390542.635365258,1283371.410888716,1080920.148701306,796907.0
37,,1098903.92860831,2026,1098903.92860831,796907.0,1421041.533190419,1309538.386552122,1098903.92860831,796907.0
38,,1116528.032917174,2027,1116528.032917174,796907.0,1450714.250530512,1335040.655467381,1116528.032917174,796907.0
39,,1133799.655139861,2028,1133799.655139861,796907.0,1479616.709112491,1359917.272813661,1133799.655139861,796907.0
40,,1150725.844918094,2029,1150725.844918094,796907.0,1507796.751605936,1384201.961359907,1150725.844918094,796907.0
41,,1167313.510900762,2030,1167313.510900762,796907.0,1535295.843448405,1407924.225224604,1167313.510900762,796907.0
42,,1183569.423563777,2031,1183569.423563777,796907.0,1562150.333744438,1431110.175309367,1183569.423563777,796907.0
43,,1199500.217973532,2032,1199500.217973532,796907.0,1588392.407487157,1453783.15287971,1199500.217973532,796907.0
44,,1215112.396495091,2033,1215112.396495091,796907.0,1614050.81687872,1475964.208687195,1215112.396495091,796907.0
45,,1230412.33144622,2034,1230412.33144622,796907.0,1639151.451465357,1497672.476679334,1230412.33144622,796907.0
46,,1245406.267698325,2035,1245406.267698325,796907.0,1663717.788610211,1518925.469448236,1245406.267698325,796907.0
47,,1260100.325225389,2036,1260100.325225389,796907.0,1687771.253745044,1539739.314668808,1260100.325225389,796907.0
48,,1274500.501601912,2037,1274500.501601912,796907.0,1711331.511643226,1560128.946416549,1274500.501601912,796907.0
49,,1288612.674450904,2038,1288612.674450904,796907.0,1734416.704284557,1580108.261546338,1288612.674450904,796907.0
50,,1302442.603842916,2039,1302442.603842916,796907.0,1757043.646889409,1599690.248702655,1302442.603842916,796907.0
51,,1315995.934647088,2040,1315995.934647088,796907.0,1779227.990843616,1618887.095664222,1315995.934647088,796907.0
52,,1329278.198835176,2041,1329278.198835176,796907.0,1800984.360162838,1637710.279370758,1329278.198835176,796907.0
53,,1342294.817739503,2042,1342294.817739503,796907.0,1822326.466620917,1656170.641982925,1342294.817739503,796907.0
54,,1355051.104265743,2043,1355051.104265743,796907.0,1843267.207532064,1674278.455584581,1355051.104265743,796907.0
55,,1367552.265061458,2044,1367552.265061458,796907.0,1863818.749322437,1692043.477577907,1367552.265061458,796907.0
56,,1379803.402641259,2045,1379803.402641259,796907.0,1883992.599376794,1709474.998397,1379803.402641259,796907.0
