...1,historical,fitted,year,Trend,Static,AgS1,AgS2,AgS3,AgS4
1,403103.0,579675.4673863937,1990,,343526.0,403103.0,403103.0,403103.0,403103.0
2,630789.0,529816.3692123605,1991,,343526.0,630789.0,630789.0,630789.0,630789.0
3,645264.0,543643.0173085673,1992,,343526.0,645264.0,645264.0,645264.0,645264.0
4,606254.0,559811.1375206191,1993,,343526.0,606254.0,606254.0,606254.0,606254.0
5,624522.0,564814.4716184257,1994,,343526.0,624522.0,624522.0,624522.0,624522.0
6,486537.0,574051.7088810882,1995,,343526.0,486537.0,486537.0,486537.0,486537.0
7,546488.0,549023.6668457326,1996,,343526.0,546488.0,546488.0,546488.0,546488.0
8,586801.0,542874.7530192469,1997,,343526.0,586801.0,586801.0,586801.0,586801.0
9,463737.0,548001.8470337349,1998,,343526.0,463737.0,463737.0,463737.0,463737.0
10,462587.0,523154.8319806022,1999,,343526.0,462587.0,462587.0,462587.0,462587.0
11,562510.0,502470.46909784,2000,,343526.0,562510.0,562510.0,562510.0,562510.0
12,525025.0,509835.1332560491,2001,,343526.0,525025.0,525025.0,525025.0,525025.0
13,408736.0,507690.4622476239,2002,,343526.0,408736.0,408736.0,408736.0,408736.0
14,305204.0,478407.1508577624,2003,,343526.0,305204.0,305204.0,305204.0,305204.0
15,398334.0,429375.2605404852,2004,,343526.0,398334.0,398334.0,398334.0,398334.0
16,406065.0,411416.2976368904,2005,,343526.0,406065.0,406065.0,406065.0,406065.0
17,417808.0,399260.7609035056,2006,,343526.0,417808.0,417808.0,417808.0,417808.0
18,375327.0,392986.4416286379,2007,,343526.0,375327.0,375327.0,375327.0,375327.0
19,321542.0,378550.2876574926,2008,,343526.0,321542.0,321542.0,321542.0,321542.0
20,327940.0,354474.4434322994,2009,,343526.0,327940.0,327940.0,327940.0,327940.0
21,343526.0,336846.0592011997,2010,,343526.0,343526.0,343526.0,343526.0,343526.0
22,,326940.5799341364,2011,326940.5799341364,343526.0,468249.8466302848,419337.7430396136,326940.5799341364,343526.0
23,,310561.5755542769,2012,310561.5755542769,343526.0,451870.8422504253,402958.738659754,310561.5755542769,343526.0
24,,303408.522579704,2013,303408.522579704,343526.0,444717.7892758524,395805.6856851812,303408.522579704,343526.0
25,,302103.9452575044,2014,302103.9452575044,343526.0,443413.2119536528,394501.1083629816,302103.9452575044,343526.0
26,,286495.8794592153,2015,286495.8794592153,343526.0,427805.1461553636,378893.0425646924,286495.8794592153,343526.0
27,,276416.8341646747,2016,276416.8341646747,343526.0,421784.3715641822,371467.5578530594,276416.8341646747,343526.0
28,,266539.3697760249,2017,266539.3697760249,343526.0,416510.1243286091,364599.9753783629,266539.3697760249,343526.0
29,,256859.4546751482,2018,256859.4546751482,343526.0,411964.9526526942,358277.4885398601,256859.4546751482,343526.0
30,,247373.137876289,2019,247373.137876289,343526.0,408125.3364032268,352483.3507740421,247373.137876289,343526.0
31,,238076.5474134069,2020,238076.5474134069,343526.0,404963.3574158718,347197.9671509196,238076.5474134069,343526.0
32,,228965.8887597825,2021,228965.8887597825,343526.0,402448.2247679788,342399.8911492763,228965.8887597825,343526.0
33,,220037.4432792306,2022,220037.4432792306,343526.0,400547.5814783307,338066.6785256201,220037.4432792306,343526.0
34,,211287.5667082898,2023,211287.5667082898,343526.0,399228.5618872134,334175.5781724808,211287.5667082898,343526.0
35,,202712.6876687677,2024,202712.6876687677,343526.0,398458.6019309929,330704.061413619,202712.6876687677,343526.0
36,,194309.3062100361,2025,194309.3062100361,343526.0,398206.0258131514,327630.2051030335,194309.3062100361,343526.0
37,,186073.9923804791,2026,186073.9923804791,343526.0,398440.4434243317,324932.9509894903,186073.9923804791,343526.0
38,,178003.3848275133,2027,178003.3848275133,343526.0,399132.9959166117,322592.2658043266,178003.3848275133,343526.0
39,,170094.1894256068,2028,170094.1894256068,343526.0,400256.4849112931,320589.2252709924,170094.1894256068,343526.0
40,,162343.1779317384,2029,162343.1779317384,343526.0,401785.4162621842,318906.0422549298,162343.1779317384,343526.0
41,,154747.1866677474,2030,154747.1866677474,343526.0,403695.9837724818,317526.0556605299,154747.1866677474,343526.0
42,,147303.1152290362,2031,147303.1152290362,343526.0,405966.0128009822,316433.6931102521,147303.1152290362,343526.0
43,,140007.9252190992,2032,140007.9252190992,343526.0,408574.8788318748,315614.4172622508,140007.9252190992,343526.0
44,,132858.639009361,2033,132858.639009361,343526.0,411503.4120343835,315054.6629760145,132858.639009361,343526.0
45,,125852.3385238175,2034,125852.3385238175,343526.0,414733.7956222801,314741.7704325466,125852.3385238175,343526.0
46,,118986.1640479849,2035,118986.1640479849,343526.0,418249.4633577592,314663.9177034863,118986.1640479849,343526.0
47,,112257.313061669,2036,112257.313061669,343526.0,422034.9997083714,314810.0550632161,112257.313061669,343526.0
48,,105663.0390950794,2037,105663.0390950794,343526.0,426076.0448332903,315169.8424667837,105663.0390950794,343526.0
49,,99200.65060782152,2038,99200.65060782152,343526.0,430359.2056312103,315733.5909992262,99200.65060782152,343526.0
50,,92867.50989030884,2039,92867.50989030884,343526.0,434871.9734299423,316492.2086754315,92867.50989030884,343526.0
51,,86661.03198714642,2040,86661.03198714642,343526.0,439602.6484599016,317437.1506833509,86661.03198714642,343526.0
52,,80578.68364204724,2041,80578.68364204724,343526.0,444540.2709701518,318560.3739779994,80578.68364204724,343526.0
53,,74617.98226385005,2042,74617.98226385005,343526.0,449674.5586714085,319854.2960197378,74617.98226385005,343526.0
54,,68776.4949132168,2043,68776.4949132168,343526.0,454995.8500918939,321311.7573859159,68776.4949132168,343526.0
55,,63051.83730959622,2044,63051.83730959622,343526.0,460495.053384981,322925.9879542665,63051.83730959622,343526.0
56,,57441.67285804805,2045,57441.67285804805,343526.0,466163.6001147338,324690.5763480435,57441.67285804805,343526.0
57,,51943.71169553084,2046,51943.71169553084,343526.0,471993.4035544946,326599.4423388205,51943.71169553084,343526.0
58,,46555.70975626398,2047,46555.70975626398,343526.0,477976.8210560156,328646.8119174777,46555.70975626398,343526.0
59,,41275.46785578246,2048,41275.46785578246,343526.0,484106.620076462,330827.194763412,41275.46785578246,343526.0
60,,36100.83079331057,2049,36100.83079331057,343526.0,490375.9474839517,333135.3638638083,36100.83079331057,343526.0
61,,31029.68647208811,2050,31029.68647208811,343526.0,496778.3017965978,335566.3370572393,31029.68647208811,343526.0
