Year,AgS1,AgS2,AgS3,AgS4
2010,1.0225814331439496,1.0225814331439496,1.0225814331439496,1.0225814331439496
2011,1.0215720254119671,1.0215720254119671,1.0215720254119671,1.0215720254119671
2012,1.0215797465329584,1.0215797465329586,1.0215797465329584,1.0215797465329586
2013,1.0224983145191806,1.0224983145191804,1.0224983145191806,1.0224983145191804
2014,1.0247944468342414,1.0247944468342414,1.0247944468342414,1.0247944468342414
2015,1.0283099654635979,1.0283099654635979,1.0283099654635979,1.0283099654635979
2016,1.0265124039638462,1.0265124039638462,1.0265124039638462,1.0265124039638462
2017,1.0290462681829928,1.0290462681829926,1.0290462681829928,1.0290462681829926
2018,1.030758094749742,1.030758094749742,1.030758094749742,1.030758094749742
2019,1.0343577476072785,1.0343577476072785,1.0343577476072785,1.0343577476072785
2020,1.0323558058248203,1.0323558058248206,1.0323558058248203,1.0323558058248206
2021,1.0333477190682028,1.0333477190682028,1.0333477190682028,1.0333477190682028
2022,1.034543520523775,1.0345435205237752,1.034543520523775,1.0345435205237752
2023,1.035124929941092,1.0351249299410918,1.035124929941092,1.0351249299410918
2024,1.0392043047764459,1.0392043047764457,1.0392043047764459,1.0392043047764457
2025,1.0416536525944333,1.040334146146334,1.037831373046659,1.0378313730466593
2026,1.0432475200373281,1.0417458060718,1.0388958059487556,1.0388958059487556
2027,1.0450840648727566,1.0432729242347127,1.0398323554625073,1.0398323554625073
2028,1.047073910458367,1.0448626102875305,1.0406565948235813,1.0406565948235813
2029,1.0491291087368786,1.046462146332104,1.041382154104152,1.041382154104152
2030,1.05119160864634,1.048037716409085,1.0420209730520946,1.0420209730520946
2031,1.0532272601497108,1.0495705815103302,1.0425835187535637,1.042583518753564
2032,1.0552167503979908,1.0510512327737271,1.043078973500708,1.0430789735007078
2033,1.0571495639778903,1.052475509125857,1.0435153973226003,1.0435153973226003
2034,1.0590204461570156,1.0538423410091704,1.0438998688919061,1.0438998688919061
2035,1.060827349489082,1.0551524553663625,1.0442386079143413,1.0442386079143413
2036,1.062570211773594,1.0564076170612977,1.0445370816134096,1.0445370816134094
2037,1.064250205280587,1.0576101724962625,1.0448000975166523,1.0448000975166523
2038,1.0658692616299437,1.0587627685019643,1.0450318844141253,1.045031884414125
2039,1.0674297637539814,1.05986817630661,1.045236163081283,1.045236163081283
2040,1.068934342623971,1.0609291804885532,1.045416208126096,1.045416208126096
2041,1.0703857416551739,1.061948509201332,1.0455749021254699,1.0455749021254697
2042,1.0717867259434872,1.0629287911775191,1.0457147830521052,1.0457147830521052
2043,1.0731400218076597,1.063872530383914,1.04583808585434,1.04583808585434
2044,1.0744482771409873,1.0647820924289777,1.0459467789339367,1.0459467789339367
2045,1.0757140362139705,1.0656596988255411,1.0460425961666076,1.0460425961666076
2046,1.0769397245831154,1.0665074264879875,1.0461270650245125,1.0461270650245127
2047,1.0781276410867064,1.0673272106764247,1.0462015312866053,1.0462015312866053
2048,1.0792799548007865,1.068120850156165,1.0462671807596553,1.0462671807596553
2049,1.0803987054411885,1.068890013718246,1.0463250583784522,1.046325058378452
2050,1.0814858061250743,1.069636247466947,1.0463760850067498,1.0463760850067498
