group_code,lu_code,lu_desc,lu_color_HEX,Note
1,0,Crops,#90EE90,
1,3,Crops,#90EE90,
1,4,Crops,#90EE90,
1,7,Crops,#90EE90,
1,8,Crops,#90EE90,
1,9,Crops,#90EE90,
1,10,Crops,#90EE90,
1,11,Crops,#90EE90,
1,12,Crops,#90EE90,
1,13,Crops,#90EE90,
1,16,Crops,#90EE90,
1,17,Crops,#90EE90,
1,18,Crops,#90EE90,
1,19,Crops,#90EE90,
1,20,Crops,#90EE90,
1,21,Crops,#90EE90,
1,24,Crops,#90EE90,
1,25,Crops,#90EE90,
1,26,Crops,#90EE90,
1,27,Crops,#90EE90,
2,1,Livestock,#4682B4,
2,2,Livestock,#4682B4,
2,5,Livestock,#4682B4,
2,6,Livestock,#4682B4,
2,14,Livestock,#4682B4,
2,15,Livestock,#4682B4,
3,22,Unallocated - modified land,#DBE4AD,
4,23,Unallocated - natural land,#FFC87C,
5,100,Other land,#A9A9A9,
5,101,Other land,#A9A9A9,
5,102,Other land,#A9A9A9,
5,103,Other land,#A9A9A9,
5,104,Other land,#A9A9A9,
5,105,Other land,#A9A9A9,"105 is ""Sheep Carbon Plantings (Belt)"", which occupies 1/3 of the cell and will be ignored in an integerized map. So here, it matches 104."
5,106,Other land,#A9A9A9,"106 is ""Beef Carbon Plantings (Belt)"", which occupies 1/3 of the cell and will be ignored in an integerized map. So here, it matches 104."
5,107,Other land,#A9A9A9,
-1,-1,Other land,#A9A9A9,
-1,-2,Other land,#A9A9A9,
