group_code,lu_code,lu_desc,lu_color_HEX,Note,lu_desc_0
-1,-2,Public land,#A9A9A9,,Public land
-1,-1,Public land,#A9A9A9,,Public land
1,0,Crops,#90EE90,,Apples
2,1,Livestock,#4682B4,,Beef - modified land
2,2,Livestock,#4682B4,,Beef - natural land
1,3,Crops,#90EE90,,Citrus
1,4,Crops,#90EE90,,Cotton
2,5,Livestock,#4682B4,,Dairy - modified land
2,6,Livestock,#4682B4,,Dairy - natural land
1,7,Crops,#90EE90,,Grapes
1,8,Crops,#90EE90,,Hay
1,9,Crops,#90EE90,,Nuts
1,10,Crops,#90EE90,,Other non-cereal crops
1,11,Crops,#90EE90,,Pears
1,12,Crops,#90EE90,,Plantation fruit
1,13,Crops,#90EE90,,Rice
2,14,Livestock,#4682B4,,Sheep - modified land
2,15,Livestock,#4682B4,,Sheep - natural land
1,16,Crops,#90EE90,,Stone fruit
1,17,Crops,#90EE90,,Sugar
1,18,Crops,#90EE90,,Summer cereals
1,19,Crops,#90EE90,,Summer legumes
1,20,Crops,#90EE90,,Summer oilseeds
1,21,Crops,#90EE90,,Tropical stone fruit
3,22,Unallocated - modified land,#FFC87C,,Unallocated - modified land
4,23,Unallocated - natural land,#D2B48C,,Unallocated - natural land
1,24,Crops,#90EE90,,Vegetables
1,25,Crops,#90EE90,,Winter cereals
1,26,Crops,#90EE90,,Winter legumes
1,27,Crops,#90EE90,,Winter oilseeds
5,100,Non-Agricultural land,#356433,,Environmental Plantings
5,101,Non-Agricultural land,#356433,,Riparian Plantings
5,102,Non-Agricultural land,#356433,,Sheep Agroforestry
5,103,Non-Agricultural land,#356433,,Beef Agroforestry
5,104,Non-Agricultural land,#356433,,Carbon Plantings (Block)
5,105,Non-Agricultural land,#356433,"105 is ""Sheep Carbon Plantings (Belt)"", which occupiying 1/3 of the cell and will  be ignored in an intergerized map. So here just make it the same as 104",Sheep Carbon Plantings (Belt)
5,106,Non-Agricultural land,#356433,"106 is ""Beef Carbon Plantings (Belt)"", which occupiying 1/3 of the cell and will  be ignored in an intergerized map. So here just make it the same as 104",Beef Carbon Plantings (Belt)
5,107,Non-Agricultural land,#356433,,BECCS
