Name,Default_run,20250326_Run_1_GHG_1_5C_67_BIO_0_20_56,20250326_Run_2_GHG_1_5C_67_BIO_3_20_56,20250326_Run_3_GHG_1_5C_67_BIO_5_20_56,20250326_Run_4_GHG_1_5C_50_BIO_0_20_56,20250326_Run_5_GHG_1_5C_50_BIO_3_20_56,20250326_Run_6_GHG_1_5C_50_BIO_5_20_56,20250326_Run_7_GHG_1_8C_67_BIO_0_20_56,20250326_Run_8_GHG_1_8C_67_BIO_3_20_56,20250326_Run_9_GHG_1_8C_67_BIO_5_20_56,20250326_Run_10_GHG_1_5C_67_BIO_0_20_50,20250326_Run_11_GHG_1_5C_67_BIO_3_20_50,20250326_Run_12_GHG_1_5C_67_BIO_5_20_50,20250326_Run_13_GHG_1_5C_50_BIO_0_20_50,20250326_Run_14_GHG_1_5C_50_BIO_3_20_50,20250326_Run_15_GHG_1_5C_50_BIO_5_20_50,20250326_Run_16_GHG_1_8C_67_BIO_0_20_50,20250326_Run_17_GHG_1_8C_67_BIO_3_20_50,20250326_Run_18_GHG_1_8C_67_BIO_5_20_50,20250326_Run_19_GHG_1_5C_67_BIO_0_20_40,20250326_Run_20_GHG_1_5C_67_BIO_3_20_40,20250326_Run_21_GHG_1_5C_67_BIO_5_20_40,20250326_Run_22_GHG_1_5C_50_BIO_0_20_40,20250326_Run_23_GHG_1_5C_50_BIO_3_20_40,20250326_Run_24_GHG_1_5C_50_BIO_5_20_40,20250326_Run_25_GHG_1_8C_67_BIO_0_20_40,20250326_Run_26_GHG_1_8C_67_BIO_3_20_40,20250326_Run_27_GHG_1_8C_67_BIO_5_20_40,20250326_Run_28_GHG_1_5C_67_BIO_0_20_30,20250326_Run_29_GHG_1_5C_67_BIO_3_20_30,20250326_Run_30_GHG_1_5C_67_BIO_5_20_30,20250326_Run_31_GHG_1_5C_50_BIO_0_20_30,20250326_Run_32_GHG_1_5C_50_BIO_3_20_30,20250326_Run_33_GHG_1_5C_50_BIO_5_20_30,20250326_Run_34_GHG_1_8C_67_BIO_0_20_30,20250326_Run_35_GHG_1_8C_67_BIO_3_20_30,20250326_Run_36_GHG_1_8C_67_BIO_5_20_30,20250326_Run_37_GHG_1_5C_67_BIO_0_20_20,20250326_Run_38_GHG_1_5C_67_BIO_3_20_20,20250326_Run_39_GHG_1_5C_67_BIO_5_20_20,20250326_Run_40_GHG_1_5C_50_BIO_0_20_20,20250326_Run_41_GHG_1_5C_50_BIO_3_20_20,20250326_Run_42_GHG_1_5C_50_BIO_5_20_20,20250326_Run_43_GHG_1_8C_67_BIO_0_20_20,20250326_Run_44_GHG_1_8C_67_BIO_3_20_20,20250326_Run_45_GHG_1_8C_67_BIO_5_20_20
VERSION,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
INPUT_DIR,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input
OUTPUT_DIR,output,output,output,output,output,output,output,output,output,output,output,output,output,output,output,output,output,output,output,output,output,output,output,output,output,output,output,output,output,output,output,output,output,output,output,output,output,output,output,output,output,output,output,output,output,output
DATA_DIR,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input
RAW_DATA,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data
SSP,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245
RCP,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5
SCENARIO,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2
DIET_DOM,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU
DIET_GLOB,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU
CONVERGENCE,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
IMPORT_TREND,Static,Static,Static,Static,Static,Static,Static,Static,Static,Static,Static,Static,Static,Static,Static,Static,Static,Static,Static,Static,Static,Static,Static,Static,Static,Static,Static,Static,Static,Static,Static,Static,Static,Static,Static,Static,Static,Static,Static,Static,Static,Static,Static,Static,Static,Static
WASTE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FEED_EFFICIENCY,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU
CO2_FERT,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off
RISK_OF_REVERSAL,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
FIRE_RISK,med,med,med,med,med,med,med,med,med,med,med,med,med,med,med,med,med,med,med,med,med,med,med,med,med,med,med,med,med,med,med,med,med,med,med,med,med,med,med,med,med,med,med,med,med,med
AMORTISE_UPFRONT_COSTS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
DISCOUNT_RATE,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
AMORTISATION_PERIOD,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
RESFACTOR,15,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
STEP_SIZE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MODE,snapshot,timeseries,timeseries,timeseries,timeseries,timeseries,timeseries,timeseries,timeseries,timeseries,timeseries,timeseries,timeseries,timeseries,timeseries,timeseries,timeseries,timeseries,timeseries,timeseries,timeseries,timeseries,timeseries,timeseries,timeseries,timeseries,timeseries,timeseries,timeseries,timeseries,timeseries,timeseries,timeseries,timeseries,timeseries,timeseries,timeseries,timeseries,timeseries,timeseries,timeseries,timeseries,timeseries,timeseries,timeseries,timeseries
OBJECTIVE,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit
DEMAND_CONSTRAINT_TYPE,soft,soft,soft,soft,soft,soft,soft,soft,soft,soft,soft,soft,soft,soft,soft,soft,soft,soft,soft,soft,soft,soft,soft,soft,soft,soft,soft,soft,soft,soft,soft,soft,soft,soft,soft,soft,soft,soft,soft,soft,soft,soft,soft,soft,soft,soft
WRITE_OUTPUT_GEOTIFFS,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
WRITE_FULL_RES_MAPS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
PARALLEL_WRITE,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
WRITE_THREADS,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
SOLVE_METHOD,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
PRESOLVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGGREGATE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VERBOSE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FEASIBILITY_TOLERANCE,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
OPTIMALITY_TOLERANCE,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
BARRIER_CONVERGENCE_TOLERANCE,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
CROSSOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCALE_FLAG,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NUMERIC_FOCUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BARHOMOGENOUS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
THREADS,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
EXCLUDE_NO_GO_LU,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
