Name,Default_run,20241219_Run_1_GHG_1_5C_67_BIO_0_1,20241219_Run_2_GHG_1_5C_67_BIO_3_1,20241219_Run_3_GHG_1_5C_67_BIO_5_1,20241219_Run_4_GHG_1_5C_50_BIO_0_1,20241219_Run_5_GHG_1_5C_50_BIO_3_1,20241219_Run_6_GHG_1_5C_50_BIO_5_1,20241219_Run_7_GHG_1_8C_67_BIO_0_1,20241219_Run_8_GHG_1_8C_67_BIO_3_1,20241219_Run_9_GHG_1_8C_67_BIO_5_1
VERSION,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
INPUT_DIR,input,input,input,input,input,input,input,input,input,input
OUTPUT_DIR,output,output,output,output,output,output,output,output,output,output
DATA_DIR,input,input,input,input,input,input,input,input,input,input
RAW_DATA,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data,../raw_data
SSP,245,245,245,245,245,245,245,245,245,245
RCP,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5,rcp4p5
SCENARIO,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2
DIET_DOM,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU
DIET_GLOB,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU
CONVERGENCE,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
IMPORT_TREND,Static,Static,Static,Static,Static,Static,Static,Static,Static,Static
WASTE,1,1,1,1,1,1,1,1,1,1
FEED_EFFICIENCY,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU
CO2_FERT,off,off,off,off,off,off,off,off,off,off
RISK_OF_REVERSAL,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
FIRE_RISK,med,med,med,med,med,med,med,med,med,med
AMORTISE_UPFRONT_COSTS,False,False,False,False,False,False,False,False,False,False
DISCOUNT_RATE,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
AMORTISATION_PERIOD,30,30,30,30,30,30,30,30,30,30
RESFACTOR,1,1,1,1,1,1,1,1,1,1
MODE,timeseries,snapshot,snapshot,snapshot,snapshot,snapshot,snapshot,snapshot,snapshot,snapshot
OBJECTIVE,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit,maxprofit
DEMAND_CONSTRAINT_TYPE,soft,soft,soft,soft,soft,soft,soft,soft,soft,soft
WRITE_OUTPUT_GEOTIFFS,False,True,True,True,True,True,True,True,True,True
WRITE_FULL_RES_MAPS,False,False,False,False,False,False,False,False,False,False
PARALLEL_WRITE,True,True,True,True,True,True,True,True,True,True
WRITE_THREADS,10,10,10,10,10,10,10,10,10,10
SOLVE_METHOD,2,2,2,2,2,2,2,2,2,2
PRESOLVE,0,0,0,0,0,0,0,0,0,0
AGGREGATE,0,0,0,0,0,0,0,0,0,0
VERBOSE,1,1,1,1,1,1,1,1,1,1
FEASIBILITY_TOLERANCE,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
OPTIMALITY_TOLERANCE,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
BARRIER_CONVERGENCE_TOLERANCE,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
CROSSOVER,0,0,0,0,0,0,0,0,0,0
SCALE_FLAG,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NUMERIC_FOCUS,0,0,0,0,0,0,0,0,0,0
BARHOMOGENOUS,1,1,1,1,1,1,1,1,1,1
THREADS,50,50,50,50,50,50,50,50,50,50
