name,GHG,BIO,Status,Endyear
Run_01_GHG_0_BIO_0,0.0,0,End,2026
Run_02_GHG_0_BIO_10,0.0,10,End,2050
Run_03_GHG_0_BIO_20,0.0,20,End,
Run_04_GHG_0_BIO_30,0.0,30,End,
Run_05_GHG_0_BIO_40,0.0,40,End,
Run_06_GHG_0_BIO_50,0.0,50,End,2032
Run_07_GHG_0_2_BIO_0,0.2,0,Pending,
Run_08_GHG_0_2_BIO_10,0.2,10,Pending,
Run_09_GHG_0_2_BIO_20,0.2,20,Pending,
Run_10_GHG_0_2_BIO_30,0.2,30,Pending,
Run_11_GHG_0_2_BIO_40,0.2,40,Pending,
Run_12_GHG_0_2_BIO_50,0.2,50,Pending,
Run_13_GHG_0_4_BIO_0,0.4,0,Pending,
Run_14_GHG_0_4_BIO_10,0.4,10,Pending,
Run_15_GHG_0_4_BIO_20,0.4,20,Pending,
Run_16_GHG_0_4_BIO_30,0.4,30,Pending,
Run_17_GHG_0_4_BIO_40,0.4,40,Pending,
Run_18_GHG_0_4_BIO_50,0.4,50,Pending,
Run_19_GHG_0_6_BIO_0,0.6,0,Pending,
Run_20_GHG_0_6_BIO_10,0.6,10,Pending,
Run_21_GHG_0_6_BIO_20,0.6,20,Pending,
Run_22_GHG_0_6_BIO_30,0.6,30,Pending,
Run_23_GHG_0_6_BIO_40,0.6,40,Pending,
Run_24_GHG_0_6_BIO_50,0.6,50,Pending,
Run_25_GHG_0_8_BIO_0,0.8,0,Pending,
Run_26_GHG_0_8_BIO_10,0.8,10,Pending,
Run_27_GHG_0_8_BIO_20,0.8,20,Pending,
Run_28_GHG_0_8_BIO_30,0.8,30,Pending,
Run_29_GHG_0_8_BIO_40,0.8,40,Pending,
Run_30_GHG_0_8_BIO_50,0.8,50,Pending,
Run_31_GHG_1_BIO_0,1.0,0,End,2050
Run_32_GHG_1_BIO_10,1.0,10,End,2036
Run_33_GHG_1_BIO_20,1.0,20,Pending,
Run_34_GHG_1_BIO_30,1.0,30,Pending,
Run_35_GHG_1_BIO_40,1.0,40,Pending,
Run_36_GHG_1_BIO_50,1.0,50,Pending,
